audit_level,state,district,district_key,constituency,constituency_key,exists_in_nfhs_district_panel,has_nfhs4,has_nfhs5,has_any_nfhs_values,exists_in_district_alias_table,alias_target,appears_in_delimitation_district_summary,appears_in_constituency_panel,appears_in_analysis_master,exists_in_election_master,exists_in_delimitation_summary,exists_in_constituency_panel,has_nfhs5_values,nfhs5_coverage_share,districts_expected,districts_found_in_nfhs,districts_missing_in_nfhs,suspected_break_point,repair_suggestion
district,Assam,BARPETA,BARPETA,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,Biswanath,BISWANATH,,,True,False,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,CACHAR,CACHAR,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,CHIRANG,CHIRANG,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,DHEMAJI,DHEMAJI,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,Dhemaji,DHEMAJI,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,DIBRUGARH,DIBRUGARH,,,True,True,False,True,True,DIBRUGARH,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,Assam,DIMA HASAO,DIMA HASAO,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,GOALPARA,GOALPARA,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,GOLAGHAT,GOLAGHAT,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,HAILAKANDI,HAILAKANDI,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,JORHAT,JORHAT,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,KAMRUP METROPOLITAN,KAMRUP METROPOLITAN,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,KARBI ANGLONG,KARBI ANGLONG,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,KARIMGANJ,KARIMGANJ,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,KOKRAJHAR,KOKRAJHAR,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,LAKHIMPUR,LAKHIMPUR,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,MORIGAON,MORIGAON,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,NAGAON,NAGAON,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,SIVASAGAR,SIVASAGAR,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,SONITPUR,SONITPUR,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,Tinsukia,TINSUKIA,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Assam,TINSUKIA,TINSUKIA,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
constituency,Assam,,,Autonomous District (ST,AUTONOMOUS DISTRICT ST,False,False,False,False,False,,True,True,False,False,True,True,False,0.0,DIBRUGARH,DIBRUGARH,,low_coverage_share,Panel row exists but coverage_share is below threshold; improve district NFHS coverage.
constituency,Assam,,,Barpeta,BARPETA,False,False,False,False,False,,True,True,False,True,True,True,False,0.0,DIBRUGARH,DIBRUGARH,,low_coverage_share,Panel row exists but coverage_share is below threshold; improve district NFHS coverage.
constituency,Assam,,,Darrang-Udalguri,DARRANG UDALGURI,False,False,False,False,False,,False,False,False,True,False,False,False,,,,,delimitation_summary_missing,Constituency missing from delimitation district summary.
constituency,Assam,,,Dhubri,DHUBRI,False,False,False,False,False,,True,True,False,True,True,True,False,0.0,DIBRUGARH,DIBRUGARH,,low_coverage_share,Panel row exists but coverage_share is below threshold; improve district NFHS coverage.
constituency,Assam,,,Dibrugarh,DIBRUGARH,False,False,False,False,False,,True,True,False,True,True,True,False,0.0,DIBRUGARH,DIBRUGARH,,low_coverage_share,Panel row exists but coverage_share is below threshold; improve district NFHS coverage.
constituency,Assam,,,Diphu,DIPHU,False,False,False,False,False,,False,False,False,True,False,False,False,,,,,delimitation_summary_missing,Constituency missing from delimitation district summary.
constituency,Assam,,,Gauhati,GAUHATI,False,False,False,False,False,,True,True,False,False,True,True,False,0.0,DIBRUGARH,DIBRUGARH,,low_coverage_share,Panel row exists but coverage_share is below threshold; improve district NFHS coverage.
constituency,Assam,,,Guwahati,GUWAHATI,False,False,False,False,False,,False,False,False,True,False,False,False,,,,,delimitation_summary_missing,Constituency missing from delimitation district summary.
constituency,Assam,,,Jorhat,JORHAT,False,False,False,False,False,,True,True,False,True,True,True,False,0.0,DIBRUGARH,DIBRUGARH,,low_coverage_share,Panel row exists but coverage_share is below threshold; improve district NFHS coverage.
constituency,Assam,,,Kaliabor,KALIABOR,False,False,False,False,False,,True,True,False,False,True,True,False,0.0,DIBRUGARH,DIBRUGARH,,low_coverage_share,Panel row exists but coverage_share is below threshold; improve district NFHS coverage.
constituency,Assam,,,Karimganj,KARIMGANJ,False,False,False,False,False,,True,True,False,True,True,True,False,0.0,DIBRUGARH,DIBRUGARH,,low_coverage_share,Panel row exists but coverage_share is below threshold; improve district NFHS coverage.
constituency,Assam,,,Kaziranga,KAZIRANGA,False,False,False,False,False,,False,False,False,True,False,False,False,,,,,delimitation_summary_missing,Constituency missing from delimitation district summary.
constituency,Assam,,,Kokrajhar,KOKRAJHAR,False,False,False,False,False,,True,True,False,True,True,True,False,0.0,DIBRUGARH,DIBRUGARH,,low_coverage_share,Panel row exists but coverage_share is below threshold; improve district NFHS coverage.
constituency,Assam,,,Lakhimpur,LAKHIMPUR,False,False,False,False,False,,True,True,False,True,True,True,False,0.0,DIBRUGARH,DIBRUGARH,,low_coverage_share,Panel row exists but coverage_share is below threshold; improve district NFHS coverage.
constituency,Assam,,,Mangaldoi,MANGALDOI,False,False,False,False,False,,True,True,False,False,True,True,False,0.0,DIBRUGARH,DIBRUGARH,,low_coverage_share,Panel row exists but coverage_share is below threshold; improve district NFHS coverage.
constituency,Assam,,,Nagaon,NAGAON,False,False,False,False,False,,False,False,False,True,False,False,False,,,,,delimitation_summary_missing,Constituency missing from delimitation district summary.
constituency,Assam,,,Nawgong,NAWGONG,False,False,False,False,False,,True,True,False,False,True,True,False,0.0,DIBRUGARH,DIBRUGARH,,low_coverage_share,Panel row exists but coverage_share is below threshold; improve district NFHS coverage.
constituency,Assam,,,Silchar,SILCHAR,False,False,False,False,False,,True,True,False,True,True,True,False,0.0,DIBRUGARH,DIBRUGARH,,low_coverage_share,Panel row exists but coverage_share is below threshold; improve district NFHS coverage.
constituency,Assam,,,Sonitpur,SONITPUR,False,False,False,False,False,,False,False,False,True,False,False,False,,,,,delimitation_summary_missing,Constituency missing from delimitation district summary.
constituency,Assam,,,Tezpur,TEZPUR,False,False,False,False,False,,True,True,False,False,True,True,False,0.0,DIBRUGARH,DIBRUGARH,,low_coverage_share,Panel row exists but coverage_share is below threshold; improve district NFHS coverage.
