audit_level,state,district,district_key,constituency,constituency_key,exists_in_nfhs_district_panel,has_nfhs4,has_nfhs5,has_any_nfhs_values,exists_in_district_alias_table,alias_target,appears_in_delimitation_district_summary,appears_in_constituency_panel,appears_in_analysis_master,exists_in_election_master,exists_in_delimitation_summary,exists_in_constituency_panel,has_nfhs5_values,nfhs5_coverage_share,districts_expected,districts_found_in_nfhs,districts_missing_in_nfhs,suspected_break_point,repair_suggestion
district,Tamil Nadu,ARIYALUR,ARIYALUR,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,CHENNAI,CHENNAI,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,Chennai,CHENNAI,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,CUDDALORE,CUDDALORE,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,DINDIGUL,DINDIGUL,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,ERODE,ERODE,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,KANCHEEPURAM,KANCHEEPURAM,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,Kancheepuram,KANCHEEPURAM,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,KARUR,KARUR,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,NAGAPATTINAM,NAGAPATTINAM,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,NAMAKKAL,NAMAKKAL,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,Namakkal,NAMAKKAL,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,PERAMBALUR,PERAMBALUR,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,PUDUKKOTTAI,PUDUKKOTTAI,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,SALEM,SALEM,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,Salem,SALEM,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,SIVAGANGA,SIVAGANGA,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,THANJAVUR,THANJAVUR,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,THE NILGIRIS,THE NILGIRIS,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,THIRUVALLUR,THIRUVALLUR,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,Thiruvallur,THIRUVALLUR,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,THIRUVARUR,THIRUVARUR,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,TIRUCHIRAPPALLI,TIRUCHIRAPPALLI,,,True,True,False,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,Tiruvannamalai,TIRUVANNAMALAI,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,TIRUVANNAMALAI,TIRUVANNAMALAI,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,VELLORE,VELLORE,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
district,Tamil Nadu,Vellore,VELLORE,,,True,True,True,True,False,,False,False,False,False,False,False,False,,,,,delimitation_summary_missing,District exists in NFHS but not delimitation summary; add delimitation district mapping.
