audit_level,state,district,district_key,constituency,constituency_key,exists_in_nfhs_district_panel,has_nfhs4,has_nfhs5,has_any_nfhs_values,exists_in_district_alias_table,alias_target,appears_in_delimitation_district_summary,appears_in_constituency_panel,appears_in_analysis_master,exists_in_election_master,exists_in_delimitation_summary,exists_in_constituency_panel,has_nfhs5_values,nfhs5_coverage_share,districts_expected,districts_found_in_nfhs,districts_missing_in_nfhs,suspected_break_point,repair_suggestion
district,Uttarakhand,ALMORA,ALMORA,,,False,False,False,False,True,ALMORA,True,True,False,False,False,False,False,,,,,missing_nfhs_district_features,District ALMORA has no NFHS district panel rows; extract or map NFHS district features.
district,Uttarakhand,BAGESHWAR,BAGESHWAR,,,False,False,False,False,True,BAGESHWAR,True,True,False,False,False,False,False,,,,,missing_nfhs_district_features,District BAGESHWAR has no NFHS district panel rows; extract or map NFHS district features.
district,Uttarakhand,DEHRADUN,DEHRADUN,,,False,False,False,False,True,DEHRADUN,True,True,False,False,False,False,False,,,,,missing_nfhs_district_features,District DEHRADUN has no NFHS district panel rows; extract or map NFHS district features.
district,Uttarakhand,GARHWAL,GARHWAL,,,False,False,False,False,True,GARHWAL,True,True,False,False,False,False,False,,,,,missing_nfhs_district_features,District GARHWAL has no NFHS district panel rows; extract or map NFHS district features.
district,Uttarakhand,HARDWAR,HARDWAR,,,False,False,False,False,True,HARDWAR,True,True,False,False,False,False,False,,,,,missing_nfhs_district_features,District HARDWAR has no NFHS district panel rows; extract or map NFHS district features.
district,Uttarakhand,NAINITAL,NAINITAL,,,False,False,False,False,True,NAINITAL,True,True,False,False,False,False,False,,,,,missing_nfhs_district_features,District NAINITAL has no NFHS district panel rows; extract or map NFHS district features.
district,Uttarakhand,PITHORAGARH,PITHORAGARH,,,False,False,False,False,True,PITHORAGARH,True,True,False,False,False,False,False,,,,,missing_nfhs_district_features,District PITHORAGARH has no NFHS district panel rows; extract or map NFHS district features.
district,Uttarakhand,TEHRI GARHWAL,TEHRI GARHWAL,,,False,False,False,False,True,TEHRI GARHWAL,True,True,False,False,False,False,False,,,,,missing_nfhs_district_features,District TEHRI GARHWAL has no NFHS district panel rows; extract or map NFHS district features.
district,Uttarakhand,UDHAMSINGH NAGAR,UDHAM SINGH NAGAR,,,False,False,False,False,True,UDHAM SINGH NAGAR,True,True,False,False,False,False,False,,,,,missing_nfhs_district_features,District UDHAMSINGH NAGAR has no NFHS district panel rows; extract or map NFHS district features.
district,Uttarakhand,UTTARKASHI,UTTARKASHI,,,False,False,False,False,True,UTTARKASHI,True,True,False,False,False,False,False,,,,,missing_nfhs_district_features,District UTTARKASHI has no NFHS district panel rows; extract or map NFHS district features.
constituency,Uttarakhand,,,Almora,ALMORA,False,False,False,False,False,,True,True,False,True,True,True,False,0.0,ALMORA; BAGESHWAR; TEHRI GARHWAL; UTTARKASHI,,ALMORA; BAGESHWAR; TEHRI GARHWAL; UTTARKASHI,missing_nfhs_district_features,Upstream district NFHS features are missing for one or more mapped districts.
constituency,Uttarakhand,,,Garhwal,GARHWAL,False,False,False,False,False,,True,True,False,True,True,True,False,0.0,ALMORA; DEHRADUN; GARHWAL; HARDWAR; NAINITAL; PITHORAGARH; UDHAMSINGH NAGAR; UTTARKASHI,,ALMORA; DEHRADUN; GARHWAL; HARDWAR; NAINITAL; PITHORAGARH; UDHAMSINGH NAGAR; UTTARKASHI,missing_nfhs_district_features,Upstream district NFHS features are missing for one or more mapped districts.
constituency,Uttarakhand,,,Hardwar,HARDWAR,False,False,False,False,False,,True,True,False,False,True,True,False,0.0,HARDWAR; NAINITAL; UDHAMSINGH NAGAR,,HARDWAR; NAINITAL; UDHAMSINGH NAGAR,missing_nfhs_district_features,Upstream district NFHS features are missing for one or more mapped districts.
constituency,Uttarakhand,,,Haridwar,HARIDWAR,False,False,False,False,False,,False,False,False,True,False,False,False,,,,,delimitation_summary_missing,Constituency missing from delimitation district summary.
constituency,Uttarakhand,,,Nainital-Udhamsingh Nagar,NAINITAL UDHAMSINGH NAGAR,False,False,False,False,False,,True,True,False,True,True,True,False,0.0,NAINITAL; UDHAMSINGH NAGAR,,NAINITAL; UDHAMSINGH NAGAR,missing_nfhs_district_features,Upstream district NFHS features are missing for one or more mapped districts.
constituency,Uttarakhand,,,Tehri Garhwal,TEHRI GARHWAL,False,False,False,False,False,,True,True,False,True,True,True,False,0.0,ALMORA; BAGESHWAR; HARDWAR; PITHORAGARH; UDHAMSINGH NAGAR,,ALMORA; BAGESHWAR; HARDWAR; PITHORAGARH; UDHAMSINGH NAGAR,missing_nfhs_district_features,Upstream district NFHS features are missing for one or more mapped districts.
