audit_level,state,district,district_key,constituency,constituency_key,exists_in_nfhs_district_panel,has_nfhs4,has_nfhs5,has_any_nfhs_values,exists_in_district_alias_table,alias_target,appears_in_delimitation_district_summary,appears_in_constituency_panel,appears_in_analysis_master,exists_in_election_master,exists_in_delimitation_summary,exists_in_constituency_panel,has_nfhs5_values,nfhs5_coverage_share,districts_expected,districts_found_in_nfhs,districts_missing_in_nfhs,suspected_break_point,repair_suggestion
district,West Bengal,BANKURA,BANKURA,,,True,True,False,True,True,BANKURA,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,BARDHAMAN,BARDDHAMAN,,,True,True,False,True,True,BARDDHAMAN,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,BARDDHAMAN,BARDDHAMAN,,,True,True,False,True,True,BARDDHAMAN,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,BIRBHUM,BIRBHUM,,,True,True,False,True,True,BIRBHUM,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,DAKSHIN DINAJPUR,DAKSHIN DINAJPUR,,,True,True,False,True,True,DAKSHIN DINAJPUR,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,DARJILING,DARJILING,,,True,True,False,True,True,DARJILING,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,DARJEELING,DARJILING,,,True,True,False,True,True,DARJILING,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,HOWRAH,HAORA,,,True,True,False,True,True,HAORA,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,HAORA,HAORA,,,True,True,False,True,True,HAORA,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,HUGLI,HUGLI,,,True,True,False,True,True,HUGLI,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,HOOGHLY,HUGLI,,,True,True,False,True,True,HUGLI,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,JALPAIGURI,JALPAIGURI,,,True,True,False,True,True,JALPAIGURI,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,COOCHBEHAR,KOCH BIHAR,,,True,True,False,True,True,KOCH BIHAR,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,KOCH BIHAR,KOCH BIHAR,,,True,True,False,True,True,KOCH BIHAR,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,KOLKATA,KOLKATA,,,True,True,False,True,True,KOLKATA,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,MALDAH,MALDAH,,,True,True,False,True,True,MALDAH,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
district,West Bengal,MALDAHA,MALDAH,,,True,True,False,True,True,MALDAH,True,True,False,False,False,False,False,,,,,unknown,"Review district mapping across NFHS panel, alias table, and delimitation summary."
