variable,non_null_count,non_null_pct,states_available,constituencies_available,correlation_ready_count
improved_sanitation_pct_nfhs5,197,36.35,18,197,194
lpg_pct_nfhs5,197,36.35,18,197,194
mobile_phone_pct_nfhs5,197,36.35,18,197,194
urban_pct_nfhs5,197,36.35,18,197,194
electricity_pct_nfhs5,197,36.35,18,197,194
bank_account_pct_nfhs5,188,34.69,18,188,186
wealth_index_mean_nfhs5,188,34.69,18,188,186
urban_pct_change,169,31.18,16,169,168
electricity_pct_change,169,31.18,16,169,168
improved_sanitation_pct_change,169,31.18,16,169,168
lpg_pct_change,169,31.18,16,169,168
mobile_phone_pct_change,169,31.18,16,169,168
women_secondary_edu_pct_change,0,0.0,0,0,0
wealth_index_mean_change,0,0.0,0,0,0
male_literacy_pct_change,0,0.0,0,0,0
female_literacy_pct_change,0,0.0,0,0,0
fertility_rate_nfhs5,0,0.0,0,0,0
bank_account_pct_change,0,0.0,0,0,0
male_literacy_pct_nfhs5,0,0.0,0,0,0
female_literacy_pct_nfhs5,0,0.0,0,0,0
women_secondary_edu_pct_nfhs5,0,0.0,0,0,0
fertility_rate_change,0,0.0,0,0,0
