table_section,rank,state,constituency,bjp_swing_2019_2024,bjp_vote_share_2019,bjp_vote_share_2024,winner_party_2024,inc_swing_2019_2024,inc_vote_share_2019,inc_vote_share_2024,margin_2024,winner_2024,margin_2019,margin_change
top_25_bjp_gains,1,Andhra Pradesh,Anakapalle,56.428284248793595,1.0719496548622478,57.50023390365584,BJP,,,,,,,
top_25_bjp_gains,2,Andhra Pradesh,Narsapuram,56.40666108324956,1.054054467122569,57.46071555037213,BJP,,,,,,,
top_25_bjp_gains,3,Assam,Kaziranga,55.0354400200744,0.0,55.0354400200744,BJP,,,,,,,
top_25_bjp_gains,4,Andhra Pradesh,Rajahmundry,53.83264996520062,0.9863830515495908,54.81903301675021,BJP,,,,,,,
top_25_bjp_gains,5,Maharashtra,Ratnagiri- Sindhudurg,49.06951352131968,0.0,49.06951352131968,BJP,,,,,,,
top_25_bjp_gains,6,Maharashtra,Satara,47.673797416369226,0.0,47.673797416369226,BJP,,,,,,,
top_25_bjp_gains,7,Bihar,Nawada,47.20337521698645,0.0,47.20337521698645,BJP,,,,,,,
top_25_bjp_gains,8,Rajasthan,NAGAUR,44.79144882447982,0.0,44.79144882447982,RLTP,,,,,,,
top_25_bjp_gains,9,Maharashtra,Palghar,43.69270838632225,0.0,43.69270838632225,BJP,,,,,,,
top_25_bjp_gains,10,Andhra Pradesh,Thirupathi,43.44707794768321,1.2276220675058906,44.6747000151891,YSRCP,,,,,,,
top_25_bjp_gains,11,Maharashtra,Amravati,43.161985686519614,0.0,43.161985686519614,INC,,,,,,,
top_25_bjp_gains,12,Andhra Pradesh,Rajampet,42.670594828420505,0.0,42.670594828420505,YSRCP,,,,,,,
top_25_bjp_gains,13,Puducherry,PUDUCHERRY,35.83050721588237,0.0,35.83050721588237,INC,,,,,,,
top_25_bjp_gains,14,Andhra Pradesh,Araku,34.95768897344559,1.66276111221753,36.62045008566312,YSRCP,,,,,,,
top_25_bjp_gains,15,Telangana,Chevella,32.80788104059101,15.5330666039068,48.34094764449782,BJP,,,,,,,
top_25_bjp_gains,16,Telangana,Malkajgiri,31.78024962085311,19.4670336384394,51.24728325929251,BJP,,,,,,,
top_25_bjp_gains,17,Tamil Nadu,TIRUNELVELI,31.54027175094243,0.0,31.54027175094243,INC,,,,,,,
