election_year,party,alliance_2024
2024,BJP,NDA
2024,TDP,NDA
2024,YSRCP,OTHER
2024,JnP,NDA
2024,AGP,NDA
2024,INC,INDIA
2024,UPPL,NDA
2024,CPI(ML)(L),INDIA
2024,RJD,INDIA
2024,JD(U),NDA
2024,HAMS,NDA
2024,LJPRV,NDA
2024,IND,OTHER
2024,JKN,INDIA
2024,JMM,INDIA
2024,AJSUP,NDA
2024,JD(S),NDA
2024,CPI(M),INDIA
2024,RSP,INDIA
2024,KEC,OTHER
2024,IUML,INDIA
2024,NCPSP,INDIA
2024,SHS,NDA
2024,SHSUBT,INDIA
2024,NCP,NDA
2024,VOTPP,OTHER
2024,ZPM,OTHER
2024,AAAP,INDIA
2024,SAD,OTHER
2024,BHRTADVSIP,OTHER
2024,RLTP,OTHER
2024,SKM,OTHER
2024,DMK,INDIA
2024,VCK,INDIA
2024,CPI,INDIA
2024,MDMK,OTHER
2024,AIMIM,OTHER
2024,SP,INDIA
2024,RLD,NDA
2024,ADAL,OTHER
2024,ASPKR,OTHER
2024,AITC,INDIA
