election_year,party,alliance_2019
2019,IND,OTHER
2019,NOTA,NONE
2019,BJP,NDA
2019,INC,INDIA
2019,BSP,OTHER
2019,BMUP,OTHER
2019,SUCI(C),OTHER
2019,CPIM,OTHER
2019,SHS,NDA
2019,PSPL,OTHER
2019,APoI,OTHER
2019,AITC,INDIA
2019,PPID,OTHER
2019,BHAPRAP,OTHER
2019,CPI,INDIA
2019,SP,INDIA
2019,PPOI,OTHER
2019,HND,OTHER
2019,VBA,OTHER
2019,NTK,OTHER
2019,MNM,OTHER
2019,AAAP,INDIA
2019,AIFB,OTHER
2019,BSCP,OTHER
2019,RPI(A),OTHER
2019,NCP,NDA
2019,BARESP,OTHER
2019,UPJP,OTHER
2019,YSRCP,OTHER
2019,TDP,NDA
2019,JD(U),NDA
2019,JnP,NDA
2019,SBSP,OTHER
2019,DMK,INDIA
2019,CPI(ML)(L),INDIA
2019,GGP,OTHER
2019,AAPP,OTHER
2019,ADMK,OTHER
2019,ANC,OTHER
2019,RJD,INDIA
2019,BJD,OTHER
2019,BAHUMP,OTHER
2019,VPI,OTHER
2019,JANADIP,OTHER
2019,BTP,OTHER
2019,TRS,OTHER
2019,TNLK,OTHER
2019,SDPI,OTHER
2019,PUJP,OTHER
2019,BKNP,OTHER
2019,RTORP,OTHER
2019,PECP,OTHER
2019,JMM,INDIA
2019,MADP,OTHER
2019,RJBP,OTHER
2019,IPBP,OTHER
2019,SPAKP,OTHER
2019,SMFB,OTHER
2019,NPEP,OTHER
2019,JPJD,OTHER
2019,RSPS,OTHER
2019,ACDP,OTHER
2019,BMFP,OTHER
2019,INLD,OTHER
2019,DMSK,OTHER
2019,SAD,OTHER
2019,IUML,INDIA
2019,JD(S),NDA
2019,RUC,OTHER
2019,PBI,OTHER
2019,HSS,OTHER
2019,AMB,OTHER
2019,HBP,OTHER
2019,BLSD,OTHER
2019,SWAJANPA,OTHER
2019,BLND,OTHER
2019,JKiP,OTHER
2019,JKNPP,OTHER
2019,RasLP,OTHER
2019,SABHP,OTHER
2019,AHNP,OTHER
2019,ASP,OTHER
2019,BPSJP,OTHER
2019,JAJGP,OTHER
2019,SSD,OTHER
2019,BMF,OTHER
2019,BLRP,OTHER
2019,BJKVP,OTHER
2019,BALP,OTHER
2019,BJKD,OTHER
2019,RRP,OTHER
2019,SGUP,OTHER
2019,RJsbhP,OTHER
2019,LOGAP,OTHER
2019,JNJP,OTHER
2019,SatBP,OTHER
2019,JAC,OTHER
2019,HJP,OTHER
2019,ssrd,OTHER
2019,RSOSP,OTHER
2019,RJSPS,OTHER
2019,PMK,OTHER
2019,AJPI,OTHER
2019,BNARP,OTHER
2019,VCK,INDIA
2019,MCPI,OTHER
2019,ABJS,OTHER
2019,LJP,OTHER
2019,BBC,OTHER
2019,PSS,OTHER
2019,RAHIS,OTHER
2019,RPI,OTHER
2019,SANVP,OTHER
2019,SAKAP,OTHER
2019,YJJP,OTHER
2019,RSP,INDIA
2019,NAP,OTHER
2019,UMK,OTHER
2019,RaJSP,OTHER
2019,KPPU,OTHER
2019,NRCP,OTHER
2019,RSPSR,OTHER
2019,BLSP,OTHER
2019,AAM,OTHER
2019,AKBHAD,OTHER
2019,JanSP,OTHER
2019,BSP(A),OTHER
2019,JSVP,OTHER
2019,RaNP,OTHER
2019,ABHM,OTHER
2019,KS,OTHER
2019,KKJHS,OTHER
2019,BBKD,OTHER
2019,AgIMK,OTHER
2019,ABGP,OTHER
2019,RASMARP,OTHER
2019,PRCP,OTHER
2019,MKDVP,OTHER
2019,KBD,OTHER
2019,PRISM,OTHER
2019,RTKP,OTHER
2019,LD,OTHER
2019,PDS,OTHER
2019,RJNP,OTHER
2019,AINHCP,OTHER
2019,MPP,OTHER
2019,PRSHP,OTHER
2019,ILP(AP),OTHER
2019,RKSP,OTHER
2019,BGanP,OTHER
2019,BNJD,OTHER
2019,AJM,OTHER
2019,ASDHP,OTHER
2019,VSIP,OTHER
2019,RVNP,OTHER
2019,YKP,OTHER
2019,JP,OTHER
2019,BNDl,OTHER
2019,VCSMP,OTHER
2019,KMSP,OTHER
2019,MaNPa,OTHER
2019,JANSAPP,OTHER
2019,VPP,OTHER
2019,SVPP,OTHER
2019,BHTJP,OTHER
2019,AVIRP,OTHER
2019,JJJKP,OTHER
2019,JKPP,OTHER
2019,JKP,OTHER
2019,RPIK,OTHER
2019,SDC,OTHER
2019,KKMP,OTHER
2019,rpsn,OTHER
2019,ICF,OTHER
2019,BDJS,OTHER
2019,SMARTIP,OTHER
2019,AABHAP,OTHER
2019,ARK,OTHER
2019,BAAP,OTHER
2019,BLokSP,OTHER
2019,NATJUP,OTHER
2019,DMDK,OTHER
2019,BARP,OTHER
2019,BKrD,OTHER
2019,NEP,OTHER
2019,BJNP,OTHER
2019,BAWPA,OTHER
2019,UKKD,OTHER
2019,UKDD,OTHER
2019,DABAP,OTHER
2019,AINPP,OTHER
2019,AGP,NDA
2019,AIUDF,OTHER
2019,SwaBP,OTHER
2019,HAMS,NDA
2019,BDlP,OTHER
2019,JTVP,OTHER
2019,JDR,OTHER
2019,MOSP,OTHER
2019,AJPR,OTHER
2019,RMGP,OTHER
2019,BMtrP,OTHER
2019,AIMIM,OTHER
2019,PMPT,OTHER
2019,BHAIP,OTHER
2019,BSSPA,OTHER
2019,RaJPa,OTHER
2019,BHBHP,OTHER
2019,SWAP,OTHER
2019,RPWP,OTHER
2019,GAGUP,OTHER
2019,RASAP,OTHER
2019,DSPVAD,OTHER
2019,RMEP,OTHER
2019,JKN,INDIA
2019,JPC,OTHER
2019,PDP,OTHER
2019,VSP,OTHER
2019,BPKP,OTHER
2019,SJPA,OTHER
2019,INCP,OTHER
2019,MLPOIRF,OTHER
2019,MPJVP,OTHER
2019,PSJP,OTHER
2019,MNDP,OTHER
2019,SP(I),OTHER
2019,JNSMP,OTHER
2019,BMVSP,OTHER
2019,bns,OTHER
2019,STBP,OTHER
2019,AIMF,OTHER
2019,JMBP,OTHER
2019,RHSP,OTHER
2019,KRUP,OTHER
2019,FPI,OTHER
2019,DPIN,OTHER
2019,PUNEKP,OTHER
2019,LIP,OTHER
2019,PPIS,OTHER
2019,GPI,OTHER
2019,ETMK,OTHER
2019,SJPI,OTHER
2019,PGSP,OTHER
2019,VIP,OTHER
2019,RLD,NDA
2019,ASaP,OTHER
2019,PMSP,OTHER
2019,PRJP,OTHER
2019,SDU,OTHER
2019,SBSPSP,OTHER
2019,NDPOI,OTHER
2019,RPI(KH),OTHER
2019,VJNP,OTHER
2019,NPT,OTHER
2019,AYSRCP,OTHER
2019,PPA,OTHER
2019,TNRMPI,OTHER
2019,NRCong,OTHER
2019,AHFBK,OTHER
2019,SPL,OTHER
2019,PMP,OTHER
2019,BRM,OTHER
2019,SAAFP,OTHER
2019,LJVM,OTHER
2019,AMiP,OTHER
2019,GJNP,OTHER
2019,ManJP,OTHER
2019,JGHTP,OTHER
2019,SaBP,OTHER
2019,RSJVP,OTHER
2019,JPS,OTHER
2019,BJAZP,OTHER
2019,KPOI,OTHER
2019,BJSAP,OTHER
2019,SVJSP,OTHER
2019,AVVP,OTHER
2019,SDP(MP),OTHER
2019,CSM,OTHER
2019,cvgrp,OTHER
2019,BYPP,OTHER
2019,,OTHER
2019,STBSP,OTHER
2019,ADPT,OTHER
2019,RSP(S),OTHER
2019,aicp,OTHER
2019,YuS,OTHER
2019,LTSP,OTHER
2019,VoP,OTHER
2019,HCP,OTHER
2019,SNP,OTHER
2019,RGD,OTHER
2019,RMPOI,OTHER
2019,RADM,OTHER
2019,JKPDP,OTHER
2019,DSSP,OTHER
2019,BaSaPa,OTHER
2019,JVM,OTHER
2019,PSPU,OTHER
2019,JKP(N),OTHER
2019,BMSM,OTHER
2019,RJANSWP,OTHER
2019,KJP,OTHER
2019,ABML(S),OTHER
2019,PrStP,OTHER
2019,BBM,OTHER
2019,KPPR,OTHER
2019,igp,OTHER
2019,BTARP,OTHER
2019,NATWOMP,OTHER
2019,RPIR,OTHER
2019,RsAD,OTHER
2019,PHRC,OTHER
2019,RJanPty,OTHER
2019,ARP,OTHER
2019,ALoP,OTHER
2019,MSHP,OTHER
2019,SWP,OTHER
2019,ABMP,OTHER
2019,HAPa,OTHER
2019,NEINDP,OTHER
2019,UtPP,OTHER
2019,CHALP,OTHER
2019,ATBP,OTHER
2019,RAJADP,OTHER
2019,NYP,OTHER
2019,SAD(M),OTHER
2019,IDRP,OTHER
2019,BRKP(D),OTHER
2019,IPGP,OTHER
2019,MKat,OTHER
2019,AMPK,OTHER
2019,DUUK,OTHER
2019,APEP,OTHER
2019,NIDP,OTHER
2019,NIP,OTHER
2019,IPFT,OTHER
2019,ADRSP,OTHER
2019,SABJANP,OTHER
2019,BHABHAPA,OTHER
2019,MwSP,OTHER
2019,JaSD,OTHER
2019,svjn,OTHER
2019,SACP,OTHER
2019,RJAPU,OTHER
2019,JANKRPR,OTHER
2019,JRPa,OTHER
2019,SDSP,OTHER
2019,AKSP,OTHER
2019,RAPI,OTHER
2019,JSP,OTHER
2019,ALHP,OTHER
2019,MSJP,OTHER
2019,JHBHP,OTHER
2019,VIPty,OTHER
2019,RBJJP,OTHER
2019,NJANP,OTHER
2019,SFP,OTHER
2019,JDL,OTHER
2019,INL,OTHER
2019,MARD,OTHER
2019,JaSSP,OTHER
2019,ADAL,OTHER
2019,BhBSP,OTHER
2019,RSMD,OTHER
2019,BHHF,OTHER
2019,JeSM,OTHER
2019,WPOI,OTHER
2019,MPOI,OTHER
2019,BHMP,OTHER
2019,IUC,OTHER
2019,RD,OTHER
2019,AlPP,OTHER
2019,NDDHP,OTHER
2019,HMRD,OTHER
2019,RDHP,OTHER
2019,RRS,OTHER
2019,BCUF,OTHER
2019,NNKP,OTHER
2019,NVSP,OTHER
2019,RPC(S),OTHER
2019,NavaP,OTHER
2019,ARPS,OTHER
2019,JPD,OTHER
2019,SAPRP,OTHER
2019,ACP,OTHER
2019,ASDC,OTHER
2019,BOPF,OTHER
2019,UPPL,NDA
2019,ADRP,OTHER
2019,BKVP,OTHER
2019,RDU,OTHER
2019,mimm,OTHER
2019,BBMP,OTHER
2019,ravp,OTHER
2019,SJDD,OTHER
2019,RSWD,OTHER
2019,JAPL,OTHER
2019,AKBMP,OTHER
2019,BNSKP,OTHER
2019,BhNP,OTHER
2019,AAHPty,OTHER
2019,NJP,OTHER
2019,BIP,OTHER
2019,LAJSP,OTHER
2019,BhAmAP,OTHER
2019,APKSP,OTHER
2019,RACHEP,OTHER
2019,RJPD,OTHER
2019,WAP,OTHER
2019,RSTSAHP,OTHER
2019,SWSP,OTHER
2019,JHP,OTHER
2019,LSD,OTHER
2019,JRVP,OTHER
2019,RPP,OTHER
2019,LCD,OTHER
2019,CHKAP,OTHER
2019,BhaRP,OTHER
2019,ABSKP,OTHER
2019,BSHSP,OTHER
2019,SUSP,OTHER
2019,RGOP,OTHER
2019,SSBD,OTHER
2019,BHBP,OTHER
2019,FDLP,OTHER
2019,RP(K),OTHER
2019,NSBHP,OTHER
2019,RPI(KM),OTHER
2019,NIRBHP,OTHER
2019,PAP,OTHER
2019,LoRP,OTHER
2019,BSDL,OTHER
2019,BRP,OTHER
2019,RNNBP,OTHER
2019,GJPP,OTHER
2019,RVZP,OTHER
2019,REALDP,OTHER
2019,ABD,OTHER
2019,LPSP,OTHER
2019,RVP,OTHER
2019,RPIE,OTHER
2019,ToP,OTHER
2019,DKSP,OTHER
2019,RABSP,OTHER
2019,AJNSP,OTHER
2019,NNMP,OTHER
2019,MYSP,OTHER
2019,RJAVP,OTHER
2019,NED,OTHER
2019,HIMJKP,OTHER
2019,INDPP,OTHER
