candidate_election_id,candidate_clean,candidate_raw,party_id,state,constituency,election_year
CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_AAAP_SANJAY_MESHACK,SANJAY MESHACK,SANJAY MESHACK,AAAP,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2019
CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_AINHCP_C_G_SAJI_KUMAR,C G SAJI KUMAR,C G SAJI KUMAR,AINHCP,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2019
CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_AITC_AYAN_MANDAL,AYAN MANDAL,AYAN MANDAL,AITC,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2019
CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_BJP_VISHAL_JOLLY,VISHAL JOLLY,VISHAL JOLLY,BJP,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2019
CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_BSP_PRAKASH_MINJ,PRAKASH MINJ,PRAKASH MINJ,BSP,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2019
CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_INC_KULDEEP_RAI_SHARMA,KULDEEP RAI SHARMA,KULDEEP RAI SHARMA,INC,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2019
CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_IND_PARITOSH_KUMAR_HALDAR,PARITOSH KUMAR HALDAR,PARITOSH KUMAR HALDAR,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2019
CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_IND_HENRY,HENRY,HENRY,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2019
CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_IND_K_VENKAT_RAM_BABU,K VENKAT RAM BABU,K VENKAT RAM BABU,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2019
CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_IND_MINATI_BISWAS,MINATI BISWAS,MINATI BISWAS,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2019
CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_IND_S_SUDERSHAN_RAO,S SUDERSHAN RAO,S SUDERSHAN RAO,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2019
CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_IND_V_V_KHALID,V V KHALID,V V KHALID,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2019
CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_IND_K_KALIMUTHU,K KALIMUTHU,K KALIMUTHU,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2019
CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_IND_C_U_RASHEED,C U RASHEED,C U RASHEED,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2019
CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_IND_GOUR_CHANDRA_MAJUMDER,GOUR CHANDRA MAJUMDER,GOUR CHANDRA MAJUMDER,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2019
