candidate_id,candidate,party,state,constituency
BISHNU_PADA_RAY__BJP,BISHNU PADA RAY,BJP,Andaman & Nicobar Islands,Andaman & Nicobar Islands
KULDEEP_RAI_SHARMA__INC,KULDEEP RAI SHARMA,INC,Andaman & Nicobar Islands,Andaman & Nicobar Islands
MANOJ_PAUL__ANDC,MANOJ PAUL,ANDC,Andaman & Nicobar Islands,Andaman & Nicobar Islands
D_AYYAPPAN__CPI(M),D AYYAPPAN,CPI(M),Andaman & Nicobar Islands,Andaman & Nicobar Islands
V.K._ABDUL_AZIZ__IND,V.K. ABDUL AZIZ,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands
NOTA__NOTA,NOTA,NOTA,Andaman & Nicobar Islands,Andaman & Nicobar Islands
K_J_B_SELVARAJ__ADMK,K J B SELVARAJ,ADMK,Andaman & Nicobar Islands,Andaman & Nicobar Islands
DR_ARUN_KUMAR_MALLIK__BSP,DR ARUN KUMAR MALLIK,BSP,Andaman & Nicobar Islands,Andaman & Nicobar Islands
RINKU_MALA_MONDAL__IND,RINKU MALA MONDAL,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands
K_VENKAT_RAM_BABU__IND,K VENKAT RAM BABU,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands
USHA_KUMARI__IND,USHA KUMARI,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands
SALAMAT_MONDAL__SUCI,SALAMAT MONDAL,SUCI,Andaman & Nicobar Islands,Andaman & Nicobar Islands
ANAND_RAMNATH_ARLEKAR__IND,ANAND RAMNATH ARLEKAR,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands
G_M_HARISH_(BALAYOGI)__TDP,G M HARISH (BALAYOGI),TDP,Andhra Pradesh,Amalapuram
RAPAKA_VARAPRASADA_RAO__YSRCP,RAPAKA VARAPRASADA RAO,YSRCP,Andhra Pradesh,Amalapuram
GOUTHAM_JANGA__INC,GOUTHAM JANGA,INC,Andhra Pradesh,Amalapuram
NOTA__NOTA,NOTA,NOTA,Andhra Pradesh,Amalapuram
DORABABU_YALLA__BSP,DORABABU YALLA,BSP,Andhra Pradesh,Amalapuram
KATRU_NAGA_BABU__TLGUNGP,KATRU NAGA BABU,TLGUNGP,Andhra Pradesh,Amalapuram
VADDI_LALITH_KUMAR__IND,VADDI LALITH KUMAR,IND,Andhra Pradesh,Amalapuram
MAKEY_DAVY_PRASAD__IND,MAKEY DAVY PRASAD,IND,Andhra Pradesh,Amalapuram
GUDE_VENKATESWARULU__IND,GUDE VENKATESWARULU,IND,Andhra Pradesh,Amalapuram
RAMESH_JILLELLA__JJSP,RAMESH JILLELLA,JJSP,Andhra Pradesh,Amalapuram
YALANGI_RAMESH__JRBP,YALANGI RAMESH,JRBP,Andhra Pradesh,Amalapuram
GIDDI_JNANA_PRAKASA_RAO__RPI,GIDDI JNANA PRAKASA RAO,RPI,Andhra Pradesh,Amalapuram
MATHA_KRISHNA__PPOI,MATHA KRISHNA,PPOI,Andhra Pradesh,Amalapuram
YADLA_RAJESH__LBCP,YADLA RAJESH,LBCP,Andhra Pradesh,Amalapuram
KAPA_KALYAN__RPPRINAT,KAPA KALYAN,RPPRINAT,Andhra Pradesh,Amalapuram
PATHURI_RAMESH__PPID,PATHURI RAMESH,PPID,Andhra Pradesh,Amalapuram
C.M.RAMESH__BJP,C.M.RAMESH,BJP,Andhra Pradesh,Anakapalle
BUDI_MUTYALA_NAIDU__YSRCP,BUDI MUTYALA NAIDU,YSRCP,Andhra Pradesh,Anakapalle
NOTA__NOTA,NOTA,NOTA,Andhra Pradesh,Anakapalle
VEGI_VENKATESH__INC,VEGI VENKATESH,INC,Andhra Pradesh,Anakapalle
PALAKA_SREERAMA_MURTHY__BSP,PALAKA SREERAMA MURTHY,BSP,Andhra Pradesh,Anakapalle
VANKAYALA_RAMACHANDRA_RAO__IND,VANKAYALA RAMACHANDRA RAO,IND,Andhra Pradesh,Anakapalle
LOVARAJU_SIDDHA__IND,LOVARAJU SIDDHA,IND,Andhra Pradesh,Anakapalle
KRISHNA_SWAROOP_VADLAMURI__DABAP,KRISHNA SWAROOP VADLAMURI,DABAP,Andhra Pradesh,Anakapalle
GARA_SURYA_RAO__IND,GARA SURYA RAO,IND,Andhra Pradesh,Anakapalle
APPALA_RAJU_NAMMI__BCYP,APPALA RAJU NAMMI,BCYP,Andhra Pradesh,Anakapalle
NAGESWARA_RAO_PETLA__IND,NAGESWARA RAO PETLA,IND,Andhra Pradesh,Anakapalle
ADARI_SARAT_CHANDRA__JBNP,ADARI SARAT CHANDRA,JBNP,Andhra Pradesh,Anakapalle
VIJAYA_LAKSHMI_KARRI__PPOI,VIJAYA LAKSHMI KARRI,PPOI,Andhra Pradesh,Anakapalle
DR._THUMMAPALA_HARI_SHANKAR__IND,DR. THUMMAPALA HARI SHANKAR,IND,Andhra Pradesh,Anakapalle
JUNNURI_J_SRINIVAS__IND,JUNNURI J SRINIVAS,IND,Andhra Pradesh,Anakapalle
APPALANAIDU_TUMMAGUNTA__IND,APPALANAIDU TUMMAGUNTA,IND,Andhra Pradesh,Anakapalle
AMBICA_G_LAKSHMINARAYANA_VALMIKI__TDP,AMBICA G LAKSHMINARAYANA VALMIKI,TDP,Andhra Pradesh,Ananthapur
MALAGUNDLA_SANKAR_NARAYANA__YSRCP,MALAGUNDLA SANKAR NARAYANA,YSRCP,Andhra Pradesh,Ananthapur
MALLIKARJUNA_VAJJALA__INC,MALLIKARJUNA VAJJALA,INC,Andhra Pradesh,Ananthapur
NOTA__NOTA,NOTA,NOTA,Andhra Pradesh,Ananthapur
G.V.RAMANA_REDDY__IND,G.V.RAMANA REDDY,IND,Andhra Pradesh,Ananthapur
BANASI_NARAYANAPPA__BSP,BANASI NARAYANAPPA,BSP,Andhra Pradesh,Ananthapur
V.MURALI_PRASAD_REDDY__IND,V.MURALI PRASAD REDDY,IND,Andhra Pradesh,Ananthapur
DR.NALLANI_RAMESH_NAIDU__ARPS,DR.NALLANI RAMESH NAIDU,ARPS,Andhra Pradesh,Ananthapur
M.SURENDRA__PPOI,M.SURENDRA,PPOI,Andhra Pradesh,Ananthapur
U.C.VENKATASUBBAIAH__JCVIVP,U.C.VENKATASUBBAIAH,JCVIVP,Andhra Pradesh,Ananthapur
P.CHOWDESWARI__IND,P.CHOWDESWARI,IND,Andhra Pradesh,Ananthapur
VADLA_KESAVAIAH__IND,VADLA KESAVAIAH,IND,Andhra Pradesh,Ananthapur
