constituency_id,state,constituency,winning_party,alliance_2019,winner_vote_share,top2_margin_pct,effective_num_parties,margin_votes,party_type,ideology
ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,Andaman & Nicobar Islands,INC,INDIA,45.976767520839765,0.6787395801173162,2.393762300999114,1407.0,national,centre-left
ANDHRA_PRADESH__AMALAPURAM,Andhra Pradesh,Amalapuram,YSRCP,OTHER,39.41600866253817,3.2277687880963057,3.034662427987764,39795.0,regional,regional_centre
ANDHRA_PRADESH__ANAKAPALLI,Andhra Pradesh,Anakapalli,YSRCP,OTHER,47.33389261609491,7.201667190153174,2.5604097280255473,89192.0,regional,regional_centre
ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,YSRCP,OTHER,51.79206529658662,10.53619666454594,2.2758846136977287,141428.0,regional,regional_centre
ANDHRA_PRADESH__ARUKU,Andhra Pradesh,Aruku,YSRCP,OTHER,52.31922928737745,20.854450936123236,2.6504089868397327,224089.0,regional,regional_centre
ANDHRA_PRADESH__BAPATLA,Andhra Pradesh,Bapatla,YSRCP,OTHER,47.23732956860367,1.2684643882472173,2.2942678412239346,16065.0,regional,regional_centre
ANDHRA_PRADESH__CHITTOOR,Andhra Pradesh,Chittoor,YSRCP,OTHER,52.0505171765676,10.403479573647644,2.2458258261393715,137271.0,regional,regional_centre
ANDHRA_PRADESH__ELURU,Andhra Pradesh,Eluru,YSRCP,OTHER,50.96748832575383,12.495076898284012,2.4287064839654455,165925.0,regional,regional_centre
ANDHRA_PRADESH__GUNTUR,Andhra Pradesh,Guntur,TDP,NDA,43.501983759953944,0.3111417607737934,2.5963609167215984,4205.0,regional,regional_centre
ANDHRA_PRADESH__HINDUPUR,Andhra Pradesh,Hindupur,YSRCP,OTHER,52.790034321643255,10.515243023233223,2.1829817792055275,140748.0,regional,regional_centre
ANDHRA_PRADESH__KADAPA,Andhra Pradesh,Kadapa,YSRCP,OTHER,63.79027911437648,30.99763727343634,1.9429250387170651,380726.0,regional,regional_centre
ANDHRA_PRADESH__KAKINADA,Andhra Pradesh,Kakinada,YSRCP,OTHER,43.54495790321992,2.0846309292879255,2.67823006731408,25738.0,regional,regional_centre
ANDHRA_PRADESH__KURNOOL,Andhra Pradesh,Kurnool,YSRCP,OTHER,50.95079048107129,12.544274429513088,2.445411713145113,149067.0,regional,regional_centre
ANDHRA_PRADESH__MACHILIPATNAM,Andhra Pradesh,Machilipatnam,YSRCP,OTHER,46.02794539479499,4.840065243417406,2.563519821632499,60238.0,regional,regional_centre
ANDHRA_PRADESH__NANDYAL,Andhra Pradesh,Nandyal,YSRCP,OTHER,55.491639166710925,19.25335599529825,2.2703868313133824,250119.0,regional,regional_centre
ANDHRA_PRADESH__NARASARAOPET,Andhra Pradesh,Narasaraopet,YSRCP,OTHER,51.867721334056846,10.713778853779688,2.273189179830925,154002.0,regional,regional_centre
