party_id,election_year,alliance
AAAP,2024,UNKNOWN
AACP,2024,UNKNOWN
AADMPRVTNP,2024,UNKNOWN
AADP,2024,UNKNOWN
AAPP,2024,UNKNOWN
AAS,2024,UNKNOWN
AASAMP,2024,UNKNOWN
AASAP,2024,UNKNOWN
AASPP,2024,UNKNOWN
ABASP,2024,UNKNOWN
ABCD(A),2024,UNKNOWN
ABD,2024,UNKNOWN
ABHASP,2024,UNKNOWN
ABHKP,2024,UNKNOWN
ABHM,2024,UNKNOWN
ABHRTJNSVP,2024,UNKNOWN
ABHSP,2024,UNKNOWN
ABKMP,2024,UNKNOWN
ABML(S),2024,UNKNOWN
ABMP,2024,UNKNOWN
ABMVMP,2024,UNKNOWN
ABSHP,2024,UNKNOWN
ABSPARTY,2024,UNKNOWN
ABSTP,2024,UNKNOWN
ABTP,2024,UNKNOWN
ABUAJP,2024,UNKNOWN
ACDP,2024,UNKNOWN
ADAL,2024,UNKNOWN
ADJP,2024,UNKNOWN
ADMK,2024,UNKNOWN
ADPT,2024,UNKNOWN
ADRSP,2024,UNKNOWN
AGP,2024,UNKNOWN
AHFBK,2024,UNKNOWN
AHIMSASP,2024,UNKNOWN
AHNP,2024,UNKNOWN
AIAM,2024,UNKNOWN
AIBPSP,2024,UNKNOWN
AIFB,2024,UNKNOWN
AIJYMKG,2024,UNKNOWN
AIMEIEM,2024,UNKNOWN
AIMEP,2024,UNKNOWN
AIMIM,2024,UNKNOWN
AIMK,2024,UNKNOWN
AIMPP,2024,UNKNOWN
AIMPR,2024,UNKNOWN
AINDKSJNTP,2024,UNKNOWN
AINRS,2024,UNKNOWN
AIPDP,2024,UNKNOWN
AISF,2024,UNKNOWN
AITC,2024,INDIA
AIUC,2024,UNKNOWN
AIUDF,2024,UNKNOWN
AIUUK,2024,UNKNOWN
AIYDPMP,2024,UNKNOWN
AJD,2024,UNKNOWN
AJM,2024,UNKNOWN
AJP,2024,UNKNOWN
AJPI,2024,UNKNOWN
AJPK,2024,UNKNOWN
AJPR,2024,UNKNOWN
AJPTY,2024,UNKNOWN
AJSUP,2024,UNKNOWN
AKBAP,2024,UNKNOWN
AKBHAD,2024,UNKNOWN
