party,party_type,alliance_2024,ideology,region
BJP,national,NDA,centre-right,national
TDP,regional,NDA,regional_centre,andhra_pradesh
YSRCP,regional,OTHER,regional_centre,andhra_pradesh
JnP,regional,NDA,regional_centre,andhra_pradesh
AGP,regional,NDA,regional_centre,assam
INC,national,INDIA,centre-left,national
UPPL,regional,NDA,tribal_regional,assam
CPI(ML)(L),national,INDIA,far-left,national
RJD,regional,INDIA,social_justice,bihar
JD(U),regional,NDA,regional_centre,bihar
HAMS,regional,NDA,social_justice,bihar
LJPRV,regional,NDA,dalit_assertive,bihar
IND,independent,OTHER,independent,local
JKN,regional,INDIA,regional_centre,jammu_kashmir
JMM,regional,INDIA,tribal_regional,jharkhand
AJSUP,regional,NDA,tribal_regional,jharkhand
JD(S),regional,NDA,regional_centre,karnataka
CPI(M),national,INDIA,far-left,national
RSP,national,INDIA,far-left,kerala
KEC,unknown,OTHER,unknown,unknown
IUML,regional,INDIA,muslim_minority,kerala
NCPSP,regional,INDIA,regional_centre,maharashtra
SHS,regional,NDA,marathi_regionalist,maharashtra
SHSUBT,regional,INDIA,marathi_regionalist,maharashtra
NCP,regional,NDA,regional_centre,maharashtra
VOTPP,unknown,OTHER,unknown,unknown
ZPM,unknown,OTHER,unknown,unknown
AAAP,national,INDIA,welfare_populist,delhi_punjab
SAD,unknown,OTHER,unknown,unknown
BHRTADVSIP,unknown,OTHER,unknown,unknown
RLTP,unknown,OTHER,unknown,unknown
SKM,unknown,OTHER,unknown,unknown
DMK,regional,INDIA,dravidian,tamil_nadu
VCK,regional,INDIA,dalit_assertive,tamil_nadu
CPI,national,INDIA,far-left,national
MDMK,unknown,OTHER,unknown,unknown
AIMIM,unknown,OTHER,unknown,unknown
SP,regional,INDIA,socialist,uttar_pradesh
RLD,regional,NDA,agrarian,uttar_pradesh
ADAL,unknown,OTHER,unknown,unknown
ASPKR,unknown,OTHER,unknown,unknown
AITC,regional,INDIA,centre,west_bengal
