party,candidate_count,party_type,alliance_2019,ideology,region
IND,3461,independent,OTHER,independent,local
NOTA,543,nota,NONE,none,none
BJP,436,national,NDA,centre-right,national
INC,421,national,INDIA,centre-left,national
BSP,383,national,OTHER,bahujan_social_justice,uttar_pradesh
BMUP,119,unknown,OTHER,unknown,unknown
SUCI(C),113,unknown,OTHER,unknown,unknown
CPIM,98,unknown,OTHER,unknown,unknown
SHS,98,regional,NDA,marathi_regionalist,maharashtra
PSPL,83,unknown,OTHER,unknown,unknown
APoI,77,unknown,OTHER,unknown,unknown
AITC,62,regional,INDIA,centre,west_bengal
PPID,56,unknown,OTHER,unknown,unknown
BHAPRAP,52,unknown,OTHER,unknown,unknown
CPI,49,national,INDIA,far-left,national
SP,49,regional,INDIA,socialist,uttar_pradesh
PPOI,48,unknown,OTHER,unknown,unknown
HND,47,unknown,OTHER,unknown,unknown
VBA,47,unknown,OTHER,unknown,unknown
NTK,39,unknown,OTHER,unknown,unknown
MNM,37,unknown,OTHER,unknown,unknown
AAAP,35,national,INDIA,welfare_populist,delhi_punjab
AIFB,35,unknown,OTHER,unknown,unknown
BSCP,35,unknown,OTHER,unknown,unknown
RPI(A),34,unknown,OTHER,unknown,unknown
NCP,34,regional,NDA,regional_centre,maharashtra
BARESP,27,unknown,OTHER,unknown,unknown
UPJP,27,unknown,OTHER,unknown,unknown
YSRCP,25,regional,OTHER,regional_centre,andhra_pradesh
TDP,25,regional,NDA,regional_centre,andhra_pradesh
JD(U),25,regional,NDA,regional_centre,bihar
JnP,24,regional,NDA,regional_centre,andhra_pradesh
SBSP,24,unknown,OTHER,unknown,unknown
DMK,24,regional,INDIA,dravidian,tamil_nadu
CPI(ML)(L),22,national,INDIA,far-left,national
GGP,22,unknown,OTHER,unknown,unknown
AAPP,22,unknown,OTHER,unknown,unknown
ADMK,22,unknown,OTHER,unknown,unknown
ANC,21,unknown,OTHER,unknown,unknown
RJD,21,regional,INDIA,social_justice,bihar
BJD,21,regional,OTHER,regional_centre,odisha
BAHUMP,20,unknown,OTHER,unknown,unknown
VPI,20,unknown,OTHER,unknown,unknown
JANADIP,19,unknown,OTHER,unknown,unknown
BTP,19,unknown,OTHER,unknown,unknown
TRS,17,unknown,OTHER,unknown,unknown
TNLK,16,unknown,OTHER,unknown,unknown
SDPI,14,unknown,OTHER,unknown,unknown
PUJP,14,unknown,OTHER,unknown,unknown
BKNP,14,unknown,OTHER,unknown,unknown
RTORP,14,unknown,OTHER,unknown,unknown
PECP,14,unknown,OTHER,unknown,unknown
JMM,13,regional,INDIA,tribal_regional,jharkhand
MADP,13,unknown,OTHER,unknown,unknown
RJBP,13,unknown,OTHER,unknown,unknown
IPBP,12,unknown,OTHER,unknown,unknown
SPAKP,12,unknown,OTHER,unknown,unknown
SMFB,11,unknown,OTHER,unknown,unknown
NPEP,11,unknown,OTHER,unknown,unknown
JPJD,11,unknown,OTHER,unknown,unknown
RSPS,11,unknown,OTHER,unknown,unknown
ACDP,11,unknown,OTHER,unknown,unknown
BMFP,10,unknown,OTHER,unknown,unknown
INLD,10,unknown,OTHER,unknown,unknown
DMSK,10,unknown,OTHER,unknown,unknown
SAD,10,unknown,OTHER,unknown,unknown
IUML,9,regional,INDIA,muslim_minority,kerala
JD(S),9,regional,NDA,regional_centre,karnataka
RUC,9,unknown,OTHER,unknown,unknown
PBI,9,unknown,OTHER,unknown,unknown
HSS,9,unknown,OTHER,unknown,unknown
AMB,9,unknown,OTHER,unknown,unknown
HBP,9,unknown,OTHER,unknown,unknown
BLSD,9,unknown,OTHER,unknown,unknown
SWAJANPA,9,unknown,OTHER,unknown,unknown
BLND,8,unknown,OTHER,unknown,unknown
JKiP,8,unknown,OTHER,unknown,unknown
JKNPP,8,unknown,OTHER,unknown,unknown
RasLP,8,unknown,OTHER,unknown,unknown
SABHP,8,unknown,OTHER,unknown,unknown
AHNP,8,unknown,OTHER,unknown,unknown
ASP,8,unknown,OTHER,unknown,unknown
BPSJP,8,unknown,OTHER,unknown,unknown
JAJGP,7,unknown,OTHER,unknown,unknown
SSD,7,unknown,OTHER,unknown,unknown
BMF,7,unknown,OTHER,unknown,unknown
BLRP,7,unknown,OTHER,unknown,unknown
BJKVP,7,unknown,OTHER,unknown,unknown
BALP,7,unknown,OTHER,unknown,unknown
BJKD,7,unknown,OTHER,unknown,unknown
RRP,7,unknown,OTHER,unknown,unknown
SGUP,7,unknown,OTHER,unknown,unknown
RJsbhP,7,unknown,OTHER,unknown,unknown
LOGAP,7,unknown,OTHER,unknown,unknown
JNJP,7,unknown,OTHER,unknown,unknown
SatBP,7,unknown,OTHER,unknown,unknown
JAC,7,unknown,OTHER,unknown,unknown
HJP,7,unknown,OTHER,unknown,unknown
ssrd,7,unknown,OTHER,unknown,unknown
RSOSP,7,unknown,OTHER,unknown,unknown
RJSPS,7,unknown,OTHER,unknown,unknown
PMK,7,unknown,OTHER,unknown,unknown
AJPI,7,unknown,OTHER,unknown,unknown
BNARP,7,unknown,OTHER,unknown,unknown
VCK,6,regional,INDIA,dalit_assertive,tamil_nadu
MCPI,6,unknown,OTHER,unknown,unknown
ABJS,6,unknown,OTHER,unknown,unknown
LJP,6,unknown,OTHER,unknown,unknown
BBC,6,unknown,OTHER,unknown,unknown
PSS,6,unknown,OTHER,unknown,unknown
RAHIS,6,unknown,OTHER,unknown,unknown
RPI,6,unknown,OTHER,unknown,unknown
SANVP,6,unknown,OTHER,unknown,unknown
SAKAP,6,unknown,OTHER,unknown,unknown
YJJP,6,unknown,OTHER,unknown,unknown
RSP,6,national,INDIA,far-left,kerala
NAP,6,unknown,OTHER,unknown,unknown
UMK,6,unknown,OTHER,unknown,unknown
RaJSP,6,unknown,OTHER,unknown,unknown
KPPU,6,unknown,OTHER,unknown,unknown
NRCP,5,unknown,OTHER,unknown,unknown
RSPSR,5,unknown,OTHER,unknown,unknown
BLSP,5,unknown,OTHER,unknown,unknown
AAM,5,unknown,OTHER,unknown,unknown
AKBHAD,5,unknown,OTHER,unknown,unknown
JanSP,5,unknown,OTHER,unknown,unknown
BSP(A),5,unknown,OTHER,unknown,unknown
JSVP,5,unknown,OTHER,unknown,unknown
RaNP,5,unknown,OTHER,unknown,unknown
ABHM,5,unknown,OTHER,unknown,unknown
KS,5,unknown,OTHER,unknown,unknown
KKJHS,5,unknown,OTHER,unknown,unknown
BBKD,5,unknown,OTHER,unknown,unknown
AgIMK,5,unknown,OTHER,unknown,unknown
ABGP,5,unknown,OTHER,unknown,unknown
RASMARP,5,unknown,OTHER,unknown,unknown
PRCP,5,unknown,OTHER,unknown,unknown
MKDVP,5,unknown,OTHER,unknown,unknown
KBD,5,unknown,OTHER,unknown,unknown
PRISM,5,unknown,OTHER,unknown,unknown
RTKP,5,unknown,OTHER,unknown,unknown
LD,5,unknown,OTHER,unknown,unknown
PDS,5,unknown,OTHER,unknown,unknown
RJNP,5,unknown,OTHER,unknown,unknown
AINHCP,4,unknown,OTHER,unknown,unknown
MPP,4,unknown,OTHER,unknown,unknown
PRSHP,4,unknown,OTHER,unknown,unknown
ILP(AP),4,unknown,OTHER,unknown,unknown
RKSP,4,unknown,OTHER,unknown,unknown
BGanP,4,unknown,OTHER,unknown,unknown
BNJD,4,unknown,OTHER,unknown,unknown
AJM,4,unknown,OTHER,unknown,unknown
ASDHP,4,unknown,OTHER,unknown,unknown
VSIP,4,unknown,OTHER,unknown,unknown
RVNP,4,unknown,OTHER,unknown,unknown
YKP,4,unknown,OTHER,unknown,unknown
JP,4,unknown,OTHER,unknown,unknown
BNDl,4,unknown,OTHER,unknown,unknown
VCSMP,4,unknown,OTHER,unknown,unknown
KMSP,4,unknown,OTHER,unknown,unknown
MaNPa,4,unknown,OTHER,unknown,unknown
JANSAPP,4,unknown,OTHER,unknown,unknown
VPP,4,unknown,OTHER,unknown,unknown
SVPP,4,unknown,OTHER,unknown,unknown
BHTJP,4,unknown,OTHER,unknown,unknown
AVIRP,4,unknown,OTHER,unknown,unknown
JJJKP,4,unknown,OTHER,unknown,unknown
JKPP,4,unknown,OTHER,unknown,unknown
JKP,4,unknown,OTHER,unknown,unknown
RPIK,4,unknown,OTHER,unknown,unknown
SDC,4,unknown,OTHER,unknown,unknown
KKMP,4,unknown,OTHER,unknown,unknown
rpsn,4,unknown,OTHER,unknown,unknown
ICF,4,unknown,OTHER,unknown,unknown
BDJS,4,unknown,OTHER,unknown,unknown
