election_year,election_type,constituency_id,state,constituency,candidate,party,votes,vote_share,rank,winner,margin_votes,party_raw,party_clean,party_id,candidate_raw,candidate_clean,candidate_election_id
2019,lok_sabha,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,INC,95308.0,45.976767520839765,1.0,True,1407.0,INC,INC,INC,KULDEEP RAI SHARMA,KULDEEP RAI SHARMA,CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_INC_KULDEEP_RAI_SHARMA
2019,lok_sabha,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,Andaman & Nicobar Islands,VISHAL JOLLY,BJP,93901.0,45.29802794072245,2.0,False,,BJP,BJP,BJP,VISHAL JOLLY,VISHAL JOLLY,CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_BJP_VISHAL_JOLLY
2019,lok_sabha,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,Andaman & Nicobar Islands,PARITOSH KUMAR HALDAR,IND,5341.0,2.576508953380673,3.0,False,,IND,IND,IND,PARITOSH KUMAR HALDAR,PARITOSH KUMAR HALDAR,CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_IND_PARITOSH_KUMAR_HALDAR
2019,lok_sabha,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,Andaman & Nicobar Islands,SANJAY MESHACK,AAAP,2839.0,1.369539209632603,4.0,False,,AAAP,AAAP,AAAP,SANJAY MESHACK,SANJAY MESHACK,CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_AAAP_SANJAY_MESHACK
2019,lok_sabha,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,Andaman & Nicobar Islands,PRAKASH MINJ,BSP,2486.0,1.1992513121333743,5.0,False,,BSP,BSP,BSP,PRAKASH MINJ,PRAKASH MINJ,CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_BSP_PRAKASH_MINJ
2019,lok_sabha,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,Andaman & Nicobar Islands,AYAN MANDAL,AITC,1721.0,0.830213800555727,6.0,False,,AITC,AITC,AITC,AYAN MANDAL,AYAN MANDAL,CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_AITC_AYAN_MANDAL
2019,lok_sabha,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,Andaman & Nicobar Islands,NOTA,NOTA,1412.0,0.6811515899969126,7.0,False,,NOTA,NOTA,NOTA,NOTA,NOTA,CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_NOTA_NOTA
2019,lok_sabha,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,Andaman & Nicobar Islands,HENRY,IND,994.0,0.4795075640629824,8.0,False,,IND,IND,IND,HENRY,HENRY,CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_IND_HENRY
2019,lok_sabha,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,Andaman & Nicobar Islands,K VENKAT RAM BABU,IND,914.0,0.4409154059895029,9.0,False,,IND,IND,IND,K VENKAT RAM BABU,K VENKAT RAM BABU,CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_IND_K_VENKAT_RAM_BABU
2019,lok_sabha,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,Andaman & Nicobar Islands,MINATI BISWAS,IND,618.0,0.2981244211176289,10.0,False,,IND,IND,IND,MINATI BISWAS,MINATI BISWAS,CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_IND_MINATI_BISWAS
