state,district,state_key,district_key,total_population,urban_population,rural_population,urban_pct,literacy_rate,female_literacy_pct,male_literacy_pct,sc_population,st_population,sc_pct,st_pct,area_sq_km,population_density,sex_ratio,source_name,source_year,source_file
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,36842,0,36842,0.0,68.7584821670919,61.650636053366426,74.2847493607372,0,23681,0.0,64.27718364909613,,,777.4883002846528,Census 2011,2011,census_district_demographics_2011.csv
Andaman And Nicobar Islands,North & Middle Andaman,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,105597,2741,102856,2.595717681373524,74.51253350000474,69.96412803532009,78.71894424089973,0,758,0.0,0.7178234230139113,,,924.8099742986822,Census 2011,2011,census_district_demographics_2011.csv
Andaman And Nicobar Islands,South Andaman,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,238142,140747,97395,59.10213234120819,79.89602842001831,76.19769256442869,83.1171484015933,0,4091,0.0,1.7178826078558171,,,870.9647007063002,Census 2011,2011,census_district_demographics_2011.csv
Andhra Pradesh,Anantapur,ANDHRA PRADESH,ANANTAPUR,4081148,1145711,2935437,28.073252918051487,56.62524368143473,48.22277307994979,64.83299790021289,583135,154127,14.288504116978851,3.776559928725937,,,976.8262940816036,Census 2011,2011,census_district_demographics_2011.csv
Andhra Pradesh,Chittoor,ANDHRA PRADESH,CHITTOOR,4174064,1231386,2942678,29.500889301170275,63.915598802509976,56.77367961379364,71.03584147767394,785760,159165,18.82481916904005,3.8131902146205703,,,996.9648895514504,Census 2011,2011,census_district_demographics_2011.csv
Andhra Pradesh,East Godavari,ANDHRA PRADESH,EAST GODAVARI,5154296,1313972,3840324,25.49275400559068,63.80264152466215,60.80782849855761,66.81484289143273,945269,213195,18.339439566528583,4.13625837553761,,,1005.80615234223,Census 2011,2011,census_district_demographics_2011.csv
Andhra Pradesh,Guntur,ANDHRA PRADESH,GUNTUR,4887813,1652738,3235075,33.81344580899474,60.56780404651324,54.170691523528866,66.98266476707228,957407,247089,19.58763561535599,5.0552056717390785,,,1002.7744075957552,Census 2011,2011,census_district_demographics_2011.csv
Andhra Pradesh,Krishna,ANDHRA PRADESH,KRISHNA,4517398,1843660,2673738,40.81243228956138,66.62503503122815,62.69975906912951,70.5202712387673,871063,132464,19.282405490948552,2.932307492056268,,,992.347097414411,Census 2011,2011,census_district_demographics_2011.csv
Andhra Pradesh,Kurnool,ANDHRA PRADESH,KURNOOL,4053463,1149286,2904177,28.353188372510125,52.47762222080231,43.7283416640354,61.119679172549205,737945,82831,18.20529754434665,2.0434625898891885,,,987.7448660693487,Census 2011,2011,census_district_demographics_2011.csv
Andhra Pradesh,Prakasam,ANDHRA PRADESH,PRAKASAM,3397448,664582,2732866,19.56121182723032,56.05486824228067,47.3498886303073,64.5969941053113,787861,151145,23.18978833524457,4.448780378684236,,,981.2918862304084,Census 2011,2011,census_district_demographics_2011.csv
