state,constituency,state_key,constituency_key,variable,value,unit,method,confidence,geography_level,districts_used,districts_missing,mapping_share,source_name,source_year,notes,skipped,skip_reason
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,urban_pct,25.4928,percent,district_proxy,medium,district,EAST GODAVARI,,1.0,Census 2011,2011,Census 2011 district-level urban_pct aggregated for mapped component districts (EAST GODAVARI) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,literacy_rate,63.8026,percent,district_proxy,medium,district,EAST GODAVARI,,1.0,Census 2011,2011,Census 2011 district-level literacy_rate aggregated for mapped component districts (EAST GODAVARI) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,female_literacy_pct,60.8078,percent,district_proxy,medium,district,EAST GODAVARI,,1.0,Census 2011,2011,Census 2011 district-level female_literacy_pct aggregated for mapped component districts (EAST GODAVARI) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,male_literacy_pct,66.8148,percent,district_proxy,medium,district,EAST GODAVARI,,1.0,Census 2011,2011,Census 2011 district-level male_literacy_pct aggregated for mapped component districts (EAST GODAVARI) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,sc_pct,18.3394,percent,district_proxy,medium,district,EAST GODAVARI,,1.0,Census 2011,2011,Census 2011 district-level sc_pct aggregated for mapped component districts (EAST GODAVARI) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,st_pct,4.1363,percent,district_proxy,medium,district,EAST GODAVARI,,1.0,Census 2011,2011,Census 2011 district-level st_pct aggregated for mapped component districts (EAST GODAVARI) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,religion_hindu_pct,96.683,percent,district_proxy,medium,district,EAST GODAVARI,,1.0,Census 2011,2011,Census 2011 district-level religion_hindu_pct aggregated for mapped component districts (EAST GODAVARI) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,religion_muslim_pct,1.509,percent,district_proxy,medium,district,EAST GODAVARI,,1.0,Census 2011,2011,Census 2011 district-level religion_muslim_pct aggregated for mapped component districts (EAST GODAVARI) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,sex_ratio,1005.8062,females_per_1000_males,district_proxy,medium,district,EAST GODAVARI,,1.0,Census 2011,2011,Census 2011 district-level sex_ratio aggregated for mapped component districts (EAST GODAVARI) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,religion_christian_pct,1.5099,percent,district_proxy,medium,district,EAST GODAVARI,,1.0,Census 2011,2011,Census 2011 district-level religion_christian_pct aggregated for mapped component districts (EAST GODAVARI) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,religion_sikh_pct,0.0143,percent,district_proxy,medium,district,EAST GODAVARI,,1.0,Census 2011,2011,Census 2011 district-level religion_sikh_pct aggregated for mapped component districts (EAST GODAVARI) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Anakapalle,ANDHRA PRADESH,ANAKAPALLE,literacy_rate,59.8577,percent,district_proxy,medium,district,VISAKHAPATNAM,,1.0,Census 2011,2011,Census 2011 district-level literacy_rate aggregated for mapped component districts (VISAKHAPATNAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Anakapalle,ANDHRA PRADESH,ANAKAPALLE,female_literacy_pct,53.2315,percent,district_proxy,medium,district,VISAKHAPATNAM,,1.0,Census 2011,2011,Census 2011 district-level female_literacy_pct aggregated for mapped component districts (VISAKHAPATNAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Anakapalle,ANDHRA PRADESH,ANAKAPALLE,male_literacy_pct,66.5235,percent,district_proxy,medium,district,VISAKHAPATNAM,,1.0,Census 2011,2011,Census 2011 district-level male_literacy_pct aggregated for mapped component districts (VISAKHAPATNAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Anakapalle,ANDHRA PRADESH,ANAKAPALLE,sc_pct,7.6793,percent,district_proxy,medium,district,VISAKHAPATNAM,,1.0,Census 2011,2011,Census 2011 district-level sc_pct aggregated for mapped component districts (VISAKHAPATNAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Anakapalle,ANDHRA PRADESH,ANAKAPALLE,st_pct,14.4153,percent,district_proxy,medium,district,VISAKHAPATNAM,,1.0,Census 2011,2011,Census 2011 district-level st_pct aggregated for mapped component districts (VISAKHAPATNAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Anakapalle,ANDHRA PRADESH,ANAKAPALLE,religion_hindu_pct,95.682,percent,district_proxy,medium,district,VISAKHAPATNAM,,1.0,Census 2011,2011,Census 2011 district-level religion_hindu_pct aggregated for mapped component districts (VISAKHAPATNAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Anakapalle,ANDHRA PRADESH,ANAKAPALLE,religion_muslim_pct,2.0121,percent,district_proxy,medium,district,VISAKHAPATNAM,,1.0,Census 2011,2011,Census 2011 district-level religion_muslim_pct aggregated for mapped component districts (VISAKHAPATNAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Anakapalle,ANDHRA PRADESH,ANAKAPALLE,sex_ratio,1005.9699,females_per_1000_males,district_proxy,medium,district,VISAKHAPATNAM,,1.0,Census 2011,2011,Census 2011 district-level sex_ratio aggregated for mapped component districts (VISAKHAPATNAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Anakapalle,ANDHRA PRADESH,ANAKAPALLE,religion_christian_pct,1.8088,percent,district_proxy,medium,district,VISAKHAPATNAM,,1.0,Census 2011,2011,Census 2011 district-level religion_christian_pct aggregated for mapped component districts (VISAKHAPATNAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Anakapalle,ANDHRA PRADESH,ANAKAPALLE,religion_sikh_pct,0.0536,percent,district_proxy,medium,district,VISAKHAPATNAM,,1.0,Census 2011,2011,Census 2011 district-level religion_sikh_pct aggregated for mapped component districts (VISAKHAPATNAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation. Single-district proxy used.,False,
Andhra Pradesh,Araku,ANDHRA PRADESH,ARAKU,literacy_rate,55.5833,percent,district_weighted_estimate,medium,district_weighted_estimate,"VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM",,1.0,Census 2011,2011,"Census 2011 district-level literacy_rate aggregated for mapped component districts (VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation.",False,
Andhra Pradesh,Araku,ANDHRA PRADESH,ARAKU,female_literacy_pct,47.9871,percent,district_weighted_estimate,medium,district_weighted_estimate,"VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM",,1.0,Census 2011,2011,"Census 2011 district-level female_literacy_pct aggregated for mapped component districts (VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation.",False,
Andhra Pradesh,Araku,ANDHRA PRADESH,ARAKU,male_literacy_pct,63.2871,percent,district_weighted_estimate,medium,district_weighted_estimate,"VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM",,1.0,Census 2011,2011,"Census 2011 district-level male_literacy_pct aggregated for mapped component districts (VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation.",False,
Andhra Pradesh,Araku,ANDHRA PRADESH,ARAKU,sc_pct,9.4194,percent,district_weighted_estimate,medium,district_weighted_estimate,"VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM",,1.0,Census 2011,2011,"Census 2011 district-level sc_pct aggregated for mapped component districts (VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation.",False,
Andhra Pradesh,Araku,ANDHRA PRADESH,ARAKU,st_pct,10.8527,percent,district_weighted_estimate,medium,district_weighted_estimate,"VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM",,1.0,Census 2011,2011,"Census 2011 district-level st_pct aggregated for mapped component districts (VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation.",False,
Andhra Pradesh,Araku,ANDHRA PRADESH,ARAKU,religion_hindu_pct,97.3707,percent,district_weighted_estimate,medium,district_weighted_estimate,"VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM",,1.0,Census 2011,2011,"Census 2011 district-level religion_hindu_pct aggregated for mapped component districts (VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation.",False,
Andhra Pradesh,Araku,ANDHRA PRADESH,ARAKU,religion_muslim_pct,1.0765,percent,district_weighted_estimate,medium,district_weighted_estimate,"VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM",,1.0,Census 2011,2011,"Census 2011 district-level religion_muslim_pct aggregated for mapped component districts (VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation.",False,
Andhra Pradesh,Araku,ANDHRA PRADESH,ARAKU,sex_ratio,1013.6937,females_per_1000_males,district_weighted_estimate,medium,district_weighted_estimate,"VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM",,1.0,Census 2011,2011,"Census 2011 district-level sex_ratio aggregated for mapped component districts (VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation.",False,
Andhra Pradesh,Araku,ANDHRA PRADESH,ARAKU,religion_christian_pct,1.1,percent,district_weighted_estimate,medium,district_weighted_estimate,"VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM",,1.0,Census 2011,2011,"Census 2011 district-level religion_christian_pct aggregated for mapped component districts (VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation.",False,
Andhra Pradesh,Araku,ANDHRA PRADESH,ARAKU,religion_sikh_pct,0.0272,percent,district_weighted_estimate,medium,district_weighted_estimate,"VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM",,1.0,Census 2011,2011,"Census 2011 district-level religion_sikh_pct aggregated for mapped component districts (VIZIANAGARAM, VISAKHAPATNAM, SRIKAKULAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation.",False,
Andhra Pradesh,Bapatla,ANDHRA PRADESH,BAPATLA,literacy_rate,58.3113,percent,district_weighted_estimate,medium,district_weighted_estimate,"GUNTUR, PRAKASAM",,1.0,Census 2011,2011,"Census 2011 district-level literacy_rate aggregated for mapped component districts (GUNTUR, PRAKASAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation.",False,
Andhra Pradesh,Bapatla,ANDHRA PRADESH,BAPATLA,female_literacy_pct,50.7603,percent,district_weighted_estimate,medium,district_weighted_estimate,"GUNTUR, PRAKASAM",,1.0,Census 2011,2011,"Census 2011 district-level female_literacy_pct aggregated for mapped component districts (GUNTUR, PRAKASAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation.",False,
Andhra Pradesh,Bapatla,ANDHRA PRADESH,BAPATLA,male_literacy_pct,65.7898,percent,district_weighted_estimate,medium,district_weighted_estimate,"GUNTUR, PRAKASAM",,1.0,Census 2011,2011,"Census 2011 district-level male_literacy_pct aggregated for mapped component districts (GUNTUR, PRAKASAM) using delimitation segment weights. Constituency boundaries may not align exactly with districts; this is a district-level approximation.",False,
