state,constituency,state_key,constituency_key,variable,value,unit,source_name,source_url_or_document,source_year,geography_level,method,confidence,notes,entered_by,last_updated
Maharashtra,Baramati,MAHARASHTRA,BARAMATI,urban_pct,,percent,,,,,,,,,
Maharashtra,Baramati,MAHARASHTRA,BARAMATI,literacy_rate,,percent,,,,,,,,,
Maharashtra,Baramati,MAHARASHTRA,BARAMATI,sc_pct,,percent,,,,,,,,,
Maharashtra,Baramati,MAHARASHTRA,BARAMATI,st_pct,,percent,,,,,,,,,
Maharashtra,Baramati,MAHARASHTRA,BARAMATI,religion_hindu_pct,,percent,,,,,,,,,
Maharashtra,Baramati,MAHARASHTRA,BARAMATI,religion_muslim_pct,,percent,,,,,,,,,
Maharashtra,Baramati,MAHARASHTRA,BARAMATI,population_density,,persons_per_sq_km,,,,,,,,,
Maharashtra,Baramati,MAHARASHTRA,BARAMATI,sex_ratio,,females_per_1000_males,,,,,,,,,
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,urban_pct,,percent,,,,,,,,,
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,literacy_rate,,percent,,,,,,,,,
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,sc_pct,,percent,,,,,,,,,
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,st_pct,,percent,,,,,,,,,
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,religion_hindu_pct,,percent,,,,,,,,,
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,religion_muslim_pct,,percent,,,,,,,,,
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,population_density,,persons_per_sq_km,,,,,,,,,
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,sex_ratio,,females_per_1000_males,,,,,,,,,
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,urban_pct,,percent,,,,,,,,,
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,literacy_rate,,percent,,,,,,,,,
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,sc_pct,,percent,,,,,,,,,
