state,constituency,state_key,constituency_key,variable,value,unit,source_name,source_url_or_document,source_year,geography_level,method,confidence,notes,entered_by,last_updated,override_allowed
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,urban_pct,,percent,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,literacy_rate,,percent,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,female_literacy_pct,,percent,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,male_literacy_pct,,percent,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,sc_pct,,percent,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,st_pct,,percent,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,religion_hindu_pct,,percent,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,religion_muslim_pct,,percent,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,religion_christian_pct,,percent,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,religion_sikh_pct,,percent,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,population_density,,persons_per_sq_km,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,sex_ratio,,females_per_1000_males,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,electricity_pct,,percent,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,lpg_pct,,percent,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,improved_sanitation_pct,,percent,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,mobile_phone_pct,,percent,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,bank_account_pct,,percent,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,wealth_index_mean,,index,,,,,,,,,,false
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,fertility_rate,,births_per_woman,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,urban_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,literacy_rate,,percent,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,female_literacy_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,male_literacy_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,sc_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,st_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,religion_hindu_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,religion_muslim_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,religion_christian_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,religion_sikh_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,population_density,,persons_per_sq_km,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,sex_ratio,,females_per_1000_males,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,electricity_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,lpg_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,improved_sanitation_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,mobile_phone_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,bank_account_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,wealth_index_mean,,index,,,,,,,,,,false
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,fertility_rate,,births_per_woman,,,,,,,,,,false
Andhra Pradesh,Ananthapur,ANDHRA PRADESH,ANANTHAPUR,urban_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Ananthapur,ANDHRA PRADESH,ANANTHAPUR,literacy_rate,,percent,,,,,,,,,,false
Andhra Pradesh,Ananthapur,ANDHRA PRADESH,ANANTHAPUR,female_literacy_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Ananthapur,ANDHRA PRADESH,ANANTHAPUR,male_literacy_pct,,percent,,,,,,,,,,false
Andhra Pradesh,Ananthapur,ANDHRA PRADESH,ANANTHAPUR,sc_pct,,percent,,,,,,,,,,false
