row_index,state,constituency,state_key,constituency_key,canonical_state_key,canonical_constituency_key,repair_class,completion_category,exists_in_election_master,exists_in_geojson,exists_in_delimitation_reference,reason
0,Andaman & Nicobar,Andaman and Nicobar Islands,ANDAMAN AND NICOBAR,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,alias_duplicate,no_election_data_needs_election_results,False,True,False,Name variant of election master seat ANDAMAN AND NICOBAR ISLANDS::ANDAMAN NICOBAR ISLANDS
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,true_missing,election_only_needs_demographics,True,False,False,Canonical seat with real data gap
2,Andhra Pradesh,ADILABAD,ANDHRA PRADESH,ADILABAD,ANDHRA PRADESH,ADILABAD,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
3,Andhra Pradesh,ANANTAPUR,ANDHRA PRADESH,ANANTAPUR,ANDHRA PRADESH,ANANTHAPUR,alias_duplicate,reference_only_not_in_current_election,False,False,True,Alias of canonical seat ANDHRA PRADESH::ANANTHAPUR
4,Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,ANDHRA PRADESH,AMALAPURAM,true_missing,election_only_needs_demographics,True,True,True,Canonical seat with real data gap
5,Andhra Pradesh,Anakapalle,ANDHRA PRADESH,ANAKAPALLE,ANDHRA PRADESH,ANAKAPALLE,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
6,Andhra Pradesh,Anantapuramu,ANDHRA PRADESH,ANANTAPURAMU,ANDHRA PRADESH,ANANTHAPUR,alias_duplicate,no_election_data_needs_election_results,False,True,False,Alias of canonical seat ANDHRA PRADESH::ANANTHAPUR
7,Andhra Pradesh,Ananthapur,ANDHRA PRADESH,ANANTHAPUR,ANDHRA PRADESH,ANANTHAPUR,true_missing,election_only_needs_demographics,True,False,False,Canonical seat with real data gap
8,Andhra Pradesh,Araku,ANDHRA PRADESH,ARAKU,ANDHRA PRADESH,ARAKU,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
9,Andhra Pradesh,BHONGIR,ANDHRA PRADESH,BHONGIR,ANDHRA PRADESH,BHONGIR,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
10,Andhra Pradesh,Bapatla,ANDHRA PRADESH,BAPATLA,ANDHRA PRADESH,BAPATLA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
11,Andhra Pradesh,CHEVELLA,ANDHRA PRADESH,CHEVELLA,ANDHRA PRADESH,CHEVELLA,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
12,Andhra Pradesh,Chittoor,ANDHRA PRADESH,CHITTOOR,ANDHRA PRADESH,CHITTOOR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
13,Andhra Pradesh,Eluru,ANDHRA PRADESH,ELURU,ANDHRA PRADESH,ELURU,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
14,Andhra Pradesh,Guntur,ANDHRA PRADESH,GUNTUR,ANDHRA PRADESH,GUNTUR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
15,Andhra Pradesh,HYDERABAD,ANDHRA PRADESH,HYDERABAD,ANDHRA PRADESH,HYDERABAD,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
16,Andhra Pradesh,Hindupur,ANDHRA PRADESH,HINDUPUR,ANDHRA PRADESH,HINDUPUR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
