variable,constituencies_needed,fields_satisfied,manual_values_entered,valid_values,completion_pct
bank_account_pct,193,0,0,0,0.0
electricity_pct,191,0,0,0,0.0
female_literacy_pct,205,0,0,0,0.0
fertility_rate,205,0,0,0,0.0
improved_sanitation_pct,191,0,0,0,0.0
literacy_rate,205,0,0,0,0.0
lpg_pct,191,0,0,0,0.0
male_literacy_pct,205,0,0,0,0.0
mobile_phone_pct,191,0,0,0,0.0
population_density,205,0,0,0,0.0
religion_christian_pct,205,0,0,0,0.0
religion_hindu_pct,205,0,0,0,0.0
religion_muslim_pct,205,0,0,0,0.0
religion_sikh_pct,205,0,0,0,0.0
sc_pct,205,0,0,0,0.0
sex_ratio,205,0,0,0,0.0
st_pct,205,0,0,0,0.0
urban_pct,191,0,0,0,0.0
wealth_index_mean,193,0,0,0,0.0
