state,constituency,state_key,constituency_key,exists_in_election_master,exists_in_frontend_constituencies,exists_in_geojson,exists_in_delimitation_reference,has_election_data,has_demographic_data,demographic_source_type,data_quality_label,nfhs5_coverage_share,change_coverage_share,districts_used,districts_missing,winner_2019,winner_2024,winner_party_2019,winner_party_2024,bjp_vote_share_2019,bjp_vote_share_2024,inc_vote_share_2019,inc_vote_share_2024,bjp_swing_2019_2024,inc_swing_2019_2024,margin_2024,priority_rank,priority_reason,completion_category,completion_priority,fields_to_fill,notes
Andaman & Nicobar,Andaman and Nicobar Islands,ANDAMAN AND NICOBAR,ANDAMAN AND NICOBAR ISLANDS,False,False,True,False,False,False,election_only,election_only,,,,,,,,,,,,,,,,,,no_election_data_needs_election_results,1,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Seat in GeoJSON/frontend but missing from election master
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,True,True,False,False,True,False,election_only,election_only,,,,,KULDEEP RAI SHARMA,BISHNU PADA RAY,INC,BJP,45.29802794072245,50.58218197260437,45.976767520839765,38.53560741479601,5.2841540318819185,-7.441160106043753,12.046574557808356,127.0,seat_flip,election_only_needs_demographics,1,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Election data present; demographics missing
Andhra Pradesh,ADILABAD,ANDHRA PRADESH,ADILABAD,False,False,False,True,False,False,election_only,election_only,,,,,,,,,,,,,,,,,,reference_only_not_in_current_election,2,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Seat in delimitation reference only
Andhra Pradesh,ANANTAPUR,ANDHRA PRADESH,ANANTAPUR,False,False,False,True,False,False,election_only,election_only,,,,,,,,,,,,,,,,,,reference_only_not_in_current_election,2,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Seat in delimitation reference only
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,True,True,True,True,True,False,election_only,election_only,,,,,CHINTA ANURADHA,G M HARISH (BALAYOGI),YSRCP,TDP,0.9355216786506556,0.0,0.6397138442446437,1.1591676619737363,-0.9355216786506556,0.5194538177290926,26.300393665081863,124.0,seat_flip,election_only_needs_demographics,1,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Election data present; demographics missing
Andhra Pradesh,Anakapalle,ANDHRA PRADESH,ANAKAPALLE,True,True,True,True,True,True,generated,high,1.0,1.0,VISAKHAPATNAM→Visakhapatnam,,Dr.Beesetti Venkata Satyavathi,C.M.RAMESH,YSRCP,BJP,1.0719496548622478,57.50023390365584,0.8172041621618567,1.9354395728768337,56.428284248793595,1.118235410714977,22.374016472853597,25.0,seat_flip;top_bjp_gain,partial_demographics_missing_core_fields,1,literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Partial demographics; core fields missing
Andhra Pradesh,Anantapuramu,ANDHRA PRADESH,ANANTAPURAMU,False,False,True,False,False,False,election_only,election_only,,,,,,,,,,,,,,,,,,no_election_data_needs_election_results,1,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Seat in GeoJSON/frontend but missing from election master
Andhra Pradesh,Ananthapur,ANDHRA PRADESH,ANANTHAPUR,True,True,False,False,True,False,election_only,election_only,,,,,TALARI RANGAIAH,AMBICA G LAKSHMINARAYANA VALMIKI,YSRCP,TDP,0.5664878202138708,0.0,2.2408452320111807,3.0002888030502044,-0.5664878202138708,0.7594435710390237,13.09020652195042,126.0,seat_flip,election_only_needs_demographics,1,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Election data present; demographics missing
Andhra Pradesh,Araku,ANDHRA PRADESH,ARAKU,True,True,True,True,True,True,generated,high,1.0,1.0,VIZIANAGARAM→Vizianagaram; VISAKHAPATNAM→Visakhapatnam; SRIKAKULAM→Srikakulam,,GODDETI. MADHAVI,GUMMA THANUJA RANI,YSRCP,YSRCP,1.66276111221753,36.62045008566312,1.6500114467799183,0.0,34.95768897344559,-1.6500114467799183,4.343700217700288,84.0,top_bjp_gain,partial_demographics_missing_core_fields,1,literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Partial demographics; core fields missing
Andhra Pradesh,BHONGIR,ANDHRA PRADESH,BHONGIR,False,False,False,True,False,False,election_only,election_only,,,,,,,,,,,,,,,,,,reference_only_not_in_current_election,2,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Seat in delimitation reference only
Andhra Pradesh,Bapatla,ANDHRA PRADESH,BAPATLA,True,True,True,True,True,True,generated,high,1.0,1.0,GUNTUR→Guntur; PRAKASAM→Prakasam,,NANDIGAM SURESH,KRISHNA PRASAD TENNETI,YSRCP,TDP,0.8172969114688446,0.0,1.0386958622715343,3.325709497249653,-0.8172969114688446,2.2870136349781185,15.993219270494984,144.0,seat_flip,partial_demographics_missing_core_fields,1,literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Partial demographics; core fields missing
Andhra Pradesh,CHEVELLA,ANDHRA PRADESH,CHEVELLA,False,False,False,True,False,False,election_only,election_only,,,,,,,,,,,,,,,,,,reference_only_not_in_current_election,2,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Seat in delimitation reference only
Andhra Pradesh,Chittoor,ANDHRA PRADESH,CHITTOOR,True,True,True,True,True,True,generated,high,1.0,1.0,CHITTOOR→Chittoor,,N. REDDEPPA,DAGGUMALLA PRASADA RAO,YSRCP,TDP,0.7954697030327282,0.0,1.867640995792256,2.1249498716220168,-0.7954697030327282,0.2573088758297608,15.539198101006647,159.0,seat_flip,partial_demographics_missing_core_fields,1,literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Partial demographics; core fields missing
Andhra Pradesh,Eluru,ANDHRA PRADESH,ELURU,True,True,True,True,True,True,generated,high,1.0,1.0,WEST GODAVARI→West Godavari; KRISHNA→Krishna,,KOTAGIRI SRIDHAR,PUTTA MAHESH KUMAR,YSRCP,TDP,0.6334704647784547,0.0,1.534576929535824,1.5068930262241065,-0.6334704647784547,-0.0276839033117175,13.158505957458814,171.0,seat_flip,partial_demographics_missing_core_fields,1,literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Partial demographics; core fields missing
Andhra Pradesh,Guntur,ANDHRA PRADESH,GUNTUR,True,True,True,True,True,True,generated,high,1.0,1.0,GUNTUR→Guntur,,Jayadev Galla,DR CHANDRA SEKHAR PEMMASANI,TDP,TDP,0.8761544802193754,0.0,1.0510746044688986,0.0,-0.8761544802193754,-1.0510746044688986,24.182826786850583,,,partial_demographics_missing_core_fields,2,literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Partial demographics; core fields missing
Andhra Pradesh,HYDERABAD,ANDHRA PRADESH,HYDERABAD,False,False,False,True,False,False,election_only,election_only,,,,,,,,,,,,,,,,,,reference_only_not_in_current_election,2,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Seat in delimitation reference only
Andhra Pradesh,Hindupur,ANDHRA PRADESH,HINDUPUR,True,True,True,True,True,True,generated,high,1.0,1.0,ANANTAPUR→Anantapur,,KURUVA GORANTLA MADHAV,B K PARTHASARATHI,YSRCP,TDP,1.031367621108184,0.0,2.0288170314244005,3.887416783693734,-1.031367621108184,1.8585997522693336,9.349950823919984,183.0,seat_flip,partial_demographics_missing_core_fields,1,literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Partial demographics; core fields missing
Andhra Pradesh,KARIMNAGAR,ANDHRA PRADESH,KARIMNAGAR,False,False,False,True,False,False,election_only,election_only,,,,,,,,,,,,,,,,,,reference_only_not_in_current_election,2,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Seat in delimitation reference only
Andhra Pradesh,KHAMMAM,ANDHRA PRADESH,KHAMMAM,False,False,False,True,False,False,election_only,election_only,,,,,,,,,,,,,,,,,,reference_only_not_in_current_election,2,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Seat in delimitation reference only
Andhra Pradesh,Kadapa,ANDHRA PRADESH,KADAPA,True,True,True,True,True,False,election_only,election_only,0.0,0.0,,KADAPA,Y.S.Avinash Reddy,Y. S. AVINASH REDDY,YSRCP,YSRCP,0.3325891803081152,0.0,0.6791006983965701,10.668809924544716,-0.3325891803081152,9.989709226148143,4.742525388150305,,,election_only_needs_demographics,1,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Election data present; demographics missing
Andhra Pradesh,Kakinada,ANDHRA PRADESH,KAKINADA,True,True,True,True,True,True,generated,high,1.0,1.0,EAST GODAVARI→East Godavari,,VANGA GEETHAVISWANATH,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),YSRCP,JNP,0.7772211670466649,0.0,0.6997906297710696,1.5873779800466687,-0.7772211670466649,0.8875873502755991,17.25751859485954,196.0,seat_flip,partial_demographics_missing_core_fields,1,literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Partial demographics; core fields missing
Andhra Pradesh,Kurnoolu,ANDHRA PRADESH,KURNOOLU,True,True,True,True,True,False,election_only,election_only,,,,,AYUSHMAN DOCTOR SANJEEV KUMAR,BASTIPATI NAGARAJU PANCHALINGALA,YSRCP,TDP,2.0548216105499577,0.0,3.071545121839359,5.288101714783811,-2.0548216105499577,2.216556592944452,8.363365845594316,213.0,seat_flip,election_only_needs_demographics,1,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Election data present; demographics missing
Andhra Pradesh,MAHABUBABAD,ANDHRA PRADESH,MAHABUBABAD,False,False,False,True,False,False,election_only,election_only,,,,,,,,,,,,,,,,,,reference_only_not_in_current_election,2,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Seat in delimitation reference only
Andhra Pradesh,MAHBUBNAGAR,ANDHRA PRADESH,MAHBUBNAGAR,False,False,False,True,False,False,election_only,election_only,,,,,,,,,,,,,,,,,,reference_only_not_in_current_election,2,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Seat in delimitation reference only
Andhra Pradesh,MALKAJGIRI,ANDHRA PRADESH,MALKAJGIRI,False,False,False,True,False,False,election_only,election_only,,,,,,,,,,,,,,,,,,reference_only_not_in_current_election,2,urban_pct;literacy_rate;female_literacy_pct;male_literacy_pct;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,Seat in delimitation reference only
