state,constituency,state_key,constituency_key,canonical_seat_key,exclude_reason,repair_class,completion_category,exists_in_election_master,exists_in_frontend_constituencies,exists_in_geojson,exists_in_delimitation_reference,possible_alias,notes
Assam,Autonomous District,ASSAM,AUTONOMOUS DISTRICT,ASSAM::AUTONOMOUS DISTRICT,reference_old_name,reference_old_name,no_election_data_needs_election_results,False,False,True,False,,
Dadra & Nagar Haveli,Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI::DADRA AND NAGAR HAVELI,true_missing,true_missing,no_election_data_needs_election_results,False,False,True,False,state:DADRA AND NAGAR HAVELI->DADRA & NAGAR HAVELI,
Daman & Diu,Daman and Diu,DAMAN AND DIU,DAMAN AND DIU,DAMAN AND DIU::DAMAN AND DIU,true_missing,true_missing,no_election_data_needs_election_results,False,False,True,False,state:DAMAN AND DIU->DAMAN & DIU,
Gujarat,Surat,GUJARAT,SURAT,GUJARAT::SURAT,uncontested_2024_not_in_election_master,true_missing,no_election_data_needs_election_results,False,False,True,True,,2024 uncontested Lok Sabha seat (BJP unopposed); present in GeoJSON/delimitation but excluded from election master because no contested poll results were recorded.
Jammu & Kashmir,Ladakh,JAMMU AND KASHMIR,LADAKH,JAMMU AND KASHMIR::LADAKH,true_missing,true_missing,no_election_data_needs_election_results,False,False,True,False,,
Karnataka,Belagavi,KARNATAKA,BELAGAVI,KARNATAKA::BELAGAVI,true_missing,true_missing,no_election_data_needs_election_results,False,False,True,False,,
Karnataka,Chikballapur,KARNATAKA,CHIKBALLAPUR,KARNATAKA::CHIKBALLAPUR,true_missing,true_missing,no_election_data_needs_election_results,False,False,True,False,,
Karnataka,Chikodi,KARNATAKA,CHIKODI,KARNATAKA::CHIKODI,true_missing,true_missing,no_election_data_needs_election_results,False,False,True,False,,
Karnataka,Davangere,KARNATAKA,DAVANGERE,KARNATAKA::DAVANGERE,true_missing,true_missing,no_election_data_needs_election_results,False,False,True,False,,
Karnataka,Haasan,KARNATAKA,HAASAN,KARNATAKA::HAASAN,true_missing,true_missing,no_election_data_needs_election_results,False,False,True,False,,
Madhya Pradesh,Mandsaur,MADHYA PRADESH,MANDSAUR,MADHYA PRADESH::MANDSAUR,true_missing,true_missing,no_election_data_needs_election_results,False,False,True,False,,
Tamil Nadu,Thiruvallur,TAMIL NADU,THIRUVALLUR,TAMIL NADU::THIRUVALLUR,true_missing,true_missing,no_election_data_needs_election_results,False,False,True,False,,
West Bengal,Cooch Behar,WEST BENGAL,COOCH BEHAR,WEST BENGAL::COOCH BEHAR,true_missing,true_missing,no_election_data_needs_election_results,False,False,True,False,,
