filename,geo_code,state,survey,survey_version_code,dataset_type_code,dataset_type,file_format_code,file_format,inner_data_files,size_mb,download_status,parse_ok,parse_note,path
APHR42DT.zip,AP,Andhra Pradesh,NFHS-4 (2015-16),42,HR,Household Recode,DT,Stata,APHR42FL.DTA,0.82,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/APHR42DT.zip
APHR42FL.zip,AP,Andhra Pradesh,NFHS-4 (2015-16),42,HR,Household Recode,FL,Flat (ASCII/Stata .dta),APHR42FL.DAT,2.4,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/APHR42FL.zip
APHR42SD.zip,AP,Andhra Pradesh,NFHS-4 (2015-16),42,HR,Household Recode,SD,SAS,APHR42FL.SAS7BDAT,1.13,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/APHR42SD.zip
APHR42SV.zip,AP,Andhra Pradesh,NFHS-4 (2015-16),42,HR,Household Recode,SV,SPSS,APHR42FL.SAV,0.86,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/APHR42SV.zip
APIR42.zip,,,,,,,,,APIR42.DAT,4.49,complete,False,Does not match DHS pattern [CC][DD][VV][FF]: APIR42,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/APIR42.zip
APIR42DT.zip,AP,Andhra Pradesh,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,DT,Stata,APIR42FL.DTA,1.55,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/APIR42DT.zip
APIR42FL.zip,AP,Andhra Pradesh,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,FL,Flat (ASCII/Stata .dta),APIR42FL.DAT,3.23,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/APIR42FL.zip
APIR42SD.zip,AP,Andhra Pradesh,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SD,SAS,APIR42FL.SAS7BDAT,2.51,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/APIR42SD.zip
APIR42SV.zip,AP,Andhra Pradesh,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SV,SPSS,APIR42FL.SAV,1.64,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/APIR42SV.zip
ARHR42DT.zip,AR,Arunachal Pradesh,NFHS-4 (2015-16),42,HR,Household Recode,DT,Stata,ARHR42FL.DTA,0.57,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/ARHR42DT.zip
