variable_id,variable_name,category,source,source_year,geography_level,priority,description,raw_file_expected,processed_column,status,matched_raw_filename,raw_file_found,processed_file_found,coverage_status
POP_DENSITY,Population density,Population,CENSUS_2011,2011,state,high,Persons per sq km,India State Population,population_density,planned,India State Population 2011.xlsx,True,False,raw_available
LITERACY_RATE,Literacy rate,Education,CENSUS_2011,2011,state,high,Overall literacy %,literacy,literacy_rate,planned,,False,True,processed_available
MALE_LITERACY,Male literacy,Education,CENSUS_2011,2011,state,medium,Male literacy %,literacy,male_literacy,planned,,False,True,processed_available
FEMALE_LITERACY,Female literacy,Education,CENSUS_2011,2011,state,medium,Female literacy %,literacy,female_literacy,planned,,False,True,processed_available
WORKING_AGE_PCT,Working-age share,Age,CENSUS_2011,2011,state,medium,Share in working-age bands,PCA_AY,working_age_pct,planned,PCA_AY_2011_Revised.xlsx,True,False,raw_available
ELDERLY_PCT,Elderly share,Age,CENSUS_2011,2011,state,medium,Share in elderly age bands,PCA_AY,elderly_pct,planned,PCA_AY_2011_Revised.xlsx,True,False,raw_available
INTERNET_PCT,Internet access,NFHS,NFHS_5,2021,state,high,Households with internet,internet,internet_pct,planned,,False,False,planned
BANK_ACCOUNT_PCT,Bank account access,NFHS,NFHS_5,2021,state,high,Households with bank account,bank,bank_account_pct,planned,,False,False,planned
MOBILE_PHONE_PCT,Mobile phone access,NFHS,NFHS_5,2021,state,medium,Households with mobile phone,mobile,mobile_phone_pct,planned,,False,False,planned
WOMEN_SECONDARY_EDU_PCT,Women with secondary education,NFHS,NFHS_5,2021,state,high,Women age 15-49 with secondary+ education,education,women_secondary_edu_pct,planned,,False,False,planned
FERTILITY_RATE,Total fertility rate,NFHS,NFHS_5,2021,state,high,Total fertility rate (TFR),fertility,fertility_rate,planned,,False,False,planned
ELECTRICITY_PCT,Electricity access,NFHS,NFHS_5,2021,state,high,Households with electricity,electricity,electricity_pct,planned,,False,False,planned
LPG_PCT,LPG/clean fuel access,NFHS,NFHS_5,2021,state,medium,Households using LPG/clean cooking fuel,lpg,lpg_pct,planned,,False,False,planned
IMPROVED_SANITATION_PCT,Improved sanitation,NFHS,NFHS_5,2021,state,high,Households with improved sanitation facility,sanitation,improved_sanitation_pct,planned,,False,False,planned
