state,census_state_code,district_count_2011,population_total,urban_pct,rural_pct,sc_pct,st_pct,sex_ratio,literacy_rate,male_literacy,female_literacy,child_0_6_pct,worker_pct,main_worker_pct,marginal_worker_pct,non_worker_pct,source_year,geography_level
ANDAMAN & NICOBAR ISLANDS,35,3,380581,37.702355083411945,62.297644916588055,0.0,7.496433085203938,875.9753735132177,77.32414387475991,81.02538066061685,73.09886894378482,10.740946079809554,40.07951001232327,33.0836274012628,6.995882611060457,59.92048998767674,2011,state_from_districts
ANDHRA PRADESH,28,13,49386799,29.583634282513433,70.41636571748657,17.100517083522664,5.327628138037454,996.3886832229582,60.28439300145774,66.70686651843629,53.83864183515168,10.574453306844203,46.51021419711774,38.93989363432929,7.570320562788449,53.48978580288226,2011,state_from_districts
ARUNACHAL PRADESH,12,16,1383727,22.935810315185005,77.064189684815,0.0,68.78676212865689,938.2318829211443,55.35810170647822,61.61375631730521,48.690608600882335,15.334527692239872,42.46914311854867,34.59649193807738,7.872651180471292,57.53085688145133,2011,state_from_districts
ASSAM,18,27,31205576,14.095371929683337,85.90462807031668,7.150391968409749,12.447682427012403,957.7582478885868,61.45689155040753,66.30494553667904,56.39501503098394,14.86314497127052,38.357535845516836,27.838367732741098,10.519168112775743,61.64246415448316,2011,state_from_districts
BIHAR,10,38,104099452,11.294983570134452,88.70501642986555,15.914901261920186,1.2839385552192917,917.8884795222505,50.43691584466746,58.23341238354869,41.94296836322701,18.380465633959343,33.3575118147596,20.518466321993703,12.8390454927659,66.6424881852404,2011,state_from_districts
CHANDIGARH,4,1,1055450,97.25320953147947,2.7467904685205364,18.86266521388981,0.0,817.6636017793454,76.31228385996495,80.14046012919714,71.63043638515798,11.315931593159316,38.290397460798715,36.565351271969305,1.7250461888294093,61.70960253920129,2011,state_from_districts
CHHATTISGARH,22,18,25545198,23.24208643832003,76.75791356167997,12.817551854559905,30.623767331926725,990.6028998133313,60.20670499402666,68.63527676334918,51.698177741672765,14.33415783271674,47.68107493236107,32.263261376952336,15.41781355540873,52.31892506763893,2011,state_from_districts
DADRA & NAGAR HAVELI,26,1,343709,46.72411836757257,53.275881632427435,1.7997783008300627,51.95208737623979,773.8903798513626,64.94738281511395,73.55542939719241,53.82430026208911,14.807584322784681,45.72501738389161,37.90968522791082,7.815332155980786,54.27498261610839,2011,state_from_districts
DAMAN & DIU,25,2,243247,75.17091680472934,24.829083195270652,2.517605561425218,6.3158024559398465,618.3990791811099,77.45460375667531,82.92892262859196,68.60219912637446,11.072695655033773,49.85508557145618,47.86698294326343,1.9881026281927423,50.14491442854383,2011,state_from_districts
GOA,30,2,1458545,62.172507533192324,37.827492466807676,1.744821037403714,10.234514533319164,973.3000514110994,79.9075105670377,83.31615120274914,76.40536276506279,9.914743802899464,39.57697568467206,32.63889698295219,6.938078701719864,60.42302431532794,2011,state_from_districts
GUJARAT,24,26,60439692,42.5963173339798,57.4036826660202,6.741343089571005,14.75383759401024,919.2528974705998,67.99068069374013,74.54408937590938,60.86162110611034,12.86780548120596,40.979274017478446,33.69536363620119,7.283910381277257,59.02072598252155,2011,state_from_districts
HARYANA,6,21,25351462,34.87807922083547,65.12192077916453,20.1708879748237,0.0,878.6188745921186,65.47546646422207,72.57695483290001,57.392908060301295,13.335408427332515,35.17157314240891,27.672104275485175,7.4994688669237295,64.8284268575911,2011,state_from_districts
HIMACHAL PRADESH,2,12,6864602,10.030472269186182,89.96952773081381,25.190855930176287,5.712290384788513,971.5256702355313,73.41628837330991,79.05486501087202,67.6124513669289,11.332018957544808,51.85183350760904,30.04545638625517,21.80637712135387,48.14816649239096,2011,state_from_districts
JAMMU & KASHMIR,1,20,12267013,27.48210179609331,72.51789820390668,7.5363497209956485,10.3945923918072,891.9171561092959,56.14428712189349,63.935781919108635,47.40861616428678,16.197594312486665,34.20360767531591,20.853348732898546,13.350258942417359,65.79639232468409,2011,state_from_districts
JHARKHAND,20,24,32988134,24.04822594694201,75.95177405305799,12.082053504451025,26.20652019905097,948.4654597389357,55.55958090869887,64.27830196898286,46.36713117765246,16.337677663125778,39.706016714979995,20.669841464812773,19.036175250167226,60.293983285020005,2011,state_from_districts
KARNATAKA,29,30,61095297,38.670672146826625,61.329327853173375,17.145332806877096,6.954687526930265,972.9380862777665,66.5310162908284,72.68615078469723,60.20467900310137,11.721087140308034,45.62150995026671,38.29620633483458,7.3253036154321345,54.37849004973329,2011,state_from_districts
KERALA,32,14,33406061,47.70070317479214,52.299296825207854,9.098866819407412,1.4513504001564268,1084.3078720382305,84.2237101824127,85.50914520697415,83.03822121040594,10.396182297577676,34.78130211161382,27.928306183719176,6.852995927894642,65.21869788838617,2011,state_from_districts
