state,nfhs4_state_raw,sdist_code,district_code_nfhs4,census_district,district_resolved,nfhs5_state,mapping_method,match_cost,confidence,state_key,district_key_resolved
Andhra Pradesh,Andhra Pradesh,1,1,ADILABAD,Adilabad,Andhra Pradesh,census_rank,,medium,ANDHRA PRADESH,ADILABAD
Andhra Pradesh,Andhra Pradesh,2,2,NIZAMABAD,Nizamabad,Andhra Pradesh,census_rank,,medium,ANDHRA PRADESH,NIZAMABAD
Andhra Pradesh,Andhra Pradesh,3,3,KARIMNAGAR,Karimnagar,Andhra Pradesh,census_rank,,medium,ANDHRA PRADESH,KARIMNAGAR
Andhra Pradesh,Andhra Pradesh,4,4,MEDAK,Medak,Andhra Pradesh,census_rank,,medium,ANDHRA PRADESH,MEDAK
Andhra Pradesh,Andhra Pradesh,5,5,HYDERABAD,Hyderabad,Andhra Pradesh,census_rank,,medium,ANDHRA PRADESH,HYDERABAD
Andhra Pradesh,Andhra Pradesh,6,6,RANGAREDDY,Rangareddy,Andhra Pradesh,census_rank,,medium,ANDHRA PRADESH,RANGAREDDY
Andhra Pradesh,Andhra Pradesh,7,7,MAHBUBNAGAR,Mahbubnagar,Andhra Pradesh,census_rank,,medium,ANDHRA PRADESH,MAHBUBNAGAR
Andhra Pradesh,Andhra Pradesh,8,8,NALGONDA,Nalgonda,Andhra Pradesh,census_rank,,medium,ANDHRA PRADESH,NALGONDA
Andhra Pradesh,Andhra Pradesh,9,9,WARANGAL,Warangal,Andhra Pradesh,census_rank,,medium,ANDHRA PRADESH,WARANGAL
Andhra Pradesh,Andhra Pradesh,10,10,KHAMMAM,Khammam,Andhra Pradesh,census_rank,,medium,ANDHRA PRADESH,KHAMMAM
Andhra Pradesh,Andhra Pradesh,11,11,SRIKAKULAM,Srikakulam,Andhra Pradesh,census_rank_nfhs5,16.2723742344999,medium,ANDHRA PRADESH,SRIKAKULAM
Andhra Pradesh,Andhra Pradesh,12,12,VIZIANAGARAM,Vizianagaram,Andhra Pradesh,census_rank_nfhs5,27.73090654651953,medium,ANDHRA PRADESH,VIZIANAGARAM
Andhra Pradesh,Andhra Pradesh,13,13,VISAKHAPATNAM,Visakhapatnam,Andhra Pradesh,census_rank_nfhs5,26.415305459777265,medium,ANDHRA PRADESH,VISAKHAPATNAM
Andhra Pradesh,Andhra Pradesh,14,14,EAST GODAVARI,East Godavari,Andhra Pradesh,census_rank_nfhs5,25.047312260008557,medium,ANDHRA PRADESH,EAST GODAVARI
Andhra Pradesh,Andhra Pradesh,15,15,WEST GODAVARI,West Godavari,Andhra Pradesh,census_rank_nfhs5,18.560650463427375,medium,ANDHRA PRADESH,WEST GODAVARI
Andhra Pradesh,Andhra Pradesh,16,16,KRISHNA,Krishna,Andhra Pradesh,census_rank_nfhs5,36.64174233288186,medium,ANDHRA PRADESH,KRISHNA
Andhra Pradesh,Andhra Pradesh,17,17,GUNTUR,Guntur,Andhra Pradesh,census_rank_nfhs5,21.498553049569548,medium,ANDHRA PRADESH,GUNTUR
Andhra Pradesh,Andhra Pradesh,18,18,PRAKASAM,Prakasam,Andhra Pradesh,census_rank_nfhs5,20.348780635509005,medium,ANDHRA PRADESH,PRAKASAM
Andhra Pradesh,Andhra Pradesh,19,19,SRI POTTI SRIRAMULU NELLORE,Sri Potti Sriramulu Nellore,Andhra Pradesh,census_rank_nfhs5,27.622970285041482,medium,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE
Andhra Pradesh,Andhra Pradesh,20,20,Y.S.R.,Y.S.R.,Andhra Pradesh,census_rank_nfhs5,25.802334605925342,medium,ANDHRA PRADESH,Y S R
Andhra Pradesh,Andhra Pradesh,21,21,KURNOOL,Kurnool,Andhra Pradesh,census_rank_nfhs5,20.011819942639995,medium,ANDHRA PRADESH,KURNOOL
Andhra Pradesh,Andhra Pradesh,22,22,ANANTAPUR,Anantapur,Andhra Pradesh,census_rank_nfhs5,25.398595866501296,medium,ANDHRA PRADESH,ANANTAPUR
Andhra Pradesh,Andhra Pradesh,23,23,CHITTOOR,Chittoor,Andhra Pradesh,census_rank_nfhs5,20.492413850498036,medium,ANDHRA PRADESH,CHITTOOR
Arunachalpradesh,Arunachalpradesh,1,1,TAWANG,Tawang,Arunachal Pradesh,census_rank_nfhs5,29.477097698859403,medium,ARUNACHALPRADESH,TAWANG
Arunachalpradesh,Arunachalpradesh,2,2,WEST KAMENG,West Kameng,Arunachal Pradesh,census_rank_nfhs5,17.59166122318543,medium,ARUNACHALPRADESH,WEST KAMENG
Arunachalpradesh,Arunachalpradesh,3,3,EAST KAMENG,East Kameng,Arunachal Pradesh,census_rank_nfhs5,24.45873020539434,medium,ARUNACHALPRADESH,EAST KAMENG
Arunachalpradesh,Arunachalpradesh,4,4,PAPUM PARE,Papumpare,Arunachal Pradesh,census_rank_fuzzy_nfhs5,,medium,ARUNACHALPRADESH,PAPUMPARE
Arunachalpradesh,Arunachalpradesh,5,5,UPPER SUBANSIRI,Upper Subansiri,Arunachal Pradesh,census_rank_nfhs5,23.629476775494346,medium,ARUNACHALPRADESH,UPPER SUBANSIRI
Arunachalpradesh,Arunachalpradesh,6,6,WEST SIANG,West Siang,Arunachal Pradesh,census_rank_nfhs5,32.436580403077166,medium,ARUNACHALPRADESH,WEST SIANG
Arunachalpradesh,Arunachalpradesh,7,7,EAST SIANG,East Siang,Arunachal Pradesh,census_rank_nfhs5,20.588508285118657,medium,ARUNACHALPRADESH,EAST SIANG
Arunachalpradesh,Arunachalpradesh,8,8,UPPER SIANG,Upper Siang,Arunachal Pradesh,census_rank_nfhs5,13.966361884286508,high,ARUNACHALPRADESH,UPPER SIANG
Arunachalpradesh,Arunachalpradesh,9,9,CHANGLANG,Changlang,Arunachal Pradesh,census_rank_nfhs5,17.797712778619715,medium,ARUNACHALPRADESH,CHANGLANG
Arunachalpradesh,Arunachalpradesh,10,10,TIRAP,Tirap,Arunachal Pradesh,census_rank_nfhs5,23.415639671588906,medium,ARUNACHALPRADESH,TIRAP
Arunachalpradesh,Arunachalpradesh,11,11,LOWER SUBANSIRI,Lower Subansiri,Arunachal Pradesh,census_rank_nfhs5,35.219610377295076,medium,ARUNACHALPRADESH,LOWER SUBANSIRI
Assam,Assam,1,1,KOKRAJHAR,Kokrajhar,Assam,census_rank,,medium,ASSAM,KOKRAJHAR
