survey,survey_year,state,district,household_count,person_count,internet_pct,electricity_pct,improved_sanitation_pct,lpg_pct,mobile_phone_pct,bank_account_pct,women_secondary_edu_pct,female_literacy_pct,male_literacy_pct,fertility_rate,wealth_index_mean,urban_pct
NFHS-5,2020,ARUNACHAL PRADESH,Kra Daadi,5,,,60.0,0.0,0.0,0.0,20.0,,,,,-93322.4,0.0
NFHS-5,2020,ARUNACHAL PRADESH,Kurung Kumey,5,,,20.0,0.0,0.0,20.0,0.0,,,,,-103764.79999999999,0.0
NFHS-5,2020,ARUNACHAL PRADESH,Lohit,5,,,83.00422094415458,16.9957790558454,0.0,0.0,16.9957790558454,,,,,-48704.566663403595,33.9915581116908
NFHS-5,2020,ARUNACHAL PRADESH,Longding,5,,,58.0926859190482,16.185371838096412,16.185371838096412,16.185371838096412,16.185371838096412,,,,,-34749.95848672133,16.185371838096412
NFHS-5,2020,ARUNACHAL PRADESH,Namsai,5,,,80.0,0.0,0.0,0.0,40.0,,,,,-55936.999999999985,0.0
NFHS-5,2020,ARUNACHAL PRADESH,Siang,5,,,100.0,16.185371838096412,16.185371838096412,0.0,37.13902887857231,,,,,-53485.45616835977,16.185371838096412
NFHS-5,2020,ARUNACHAL PRADESH,Tirap,5,,,35.78323729381994,35.78323729381994,35.78323729381994,35.78323729381994,35.78323729381994,,,,,-23849.501624805627,53.674855940729906
NFHS-5,2020,ARUNACHAL PRADESH,West Siang,5,,,75.54860641296574,75.54860641296574,56.6614548097243,0.0,56.6614548097243,,,,,32211.157829661748,75.54860641296574
NFHS-5,2020,ASSAM,Biswanath,5,,,58.94580932345499,76.83742797036494,58.94580932345499,41.05419067654502,58.94580932345499,,,,,19380.102236043782,53.674855940729906
NFHS-5,2020,ASSAM,Dhemaji,1,,,100.0,0.0,0.0,0.0,0.0,,,,,-32767.0,0.0
NFHS-5,2020,ASSAM,Tinsukia,5,,,100.0,80.34407916360445,40.172039581802224,80.34407916360445,59.827960418197776,,,,,67619.53379388142,41.03223749081335
NFHS-5,2020,Andaman & Nicobar Islands,Nicobars,7,,,100.0,25.105790373036534,25.105790373036534,12.552895186518267,12.552895186518267,,,,,2378.537211180821,25.105790373036534
NFHS-5,2020,Andaman & Nicobar Islands,North & Middle Andaman,7,,,100.0,27.53173711191096,27.53173711191096,42.51057903730365,42.51057903730365,,,,,13332.150095080922,25.105790373036534
NFHS-5,2020,Andaman & Nicobar Islands,South Andaman,7,,,100.0,12.552895186518267,42.51057903730365,27.53173711191096,70.0423161492146,,,,,5987.4515798608645,25.105790373036534
NFHS-5,2020,Andhra Pradesh,Anantapur,6,,,100.0,48.29750039691737,40.81541686512535,7.48208353179202,40.81541686512535,,,,,-5333.622417383877,22.446250595376057
NFHS-5,2020,Andhra Pradesh,Chittoor,8,,,84.7997903302299,39.199161320919565,23.99895165114944,39.199161320919565,65.20020966977012,,,,,35881.995427701375,8.798741981379328
NFHS-5,2020,Andhra Pradesh,East Godavari,5,,,100.0,60.0,40.0,60.0,60.0,,,,,75633.40000000001,0.0
NFHS-5,2020,Andhra Pradesh,Guntur,12,,,100.0,23.561703476729047,34.48146012291062,12.641946830547477,53.16048670763688,,,,,-19993.02461117041,12.641946830547477
NFHS-5,2020,Andhra Pradesh,Krishna,9,,,100.0,41.76129788703165,41.76129788703166,37.547315610182494,56.32097341527375,,,,,37469.10750756955,12.641946830547477
NFHS-5,2020,Andhra Pradesh,Kurnool,7,,,100.0,52.97259007899833,26.486295039499158,20.54111488150252,94.05481984200337,,,,,8274.805976482654,17.835540473989923
NFHS-5,2020,Andhra Pradesh,Prakasam,6,,,100.0,24.377460741452715,5.471825926815896,24.377460741452715,5.471825926815896,,,,,-3837.964353592985,5.471825926815896
NFHS-5,2020,Andhra Pradesh,Sri Potti Sriramulu Nellore,9,,,100.0,41.76129788703166,37.547315610182494,27.201622358789564,41.76129788703165,,,,,13640.55352425983,12.641946830547477
NFHS-5,2020,Andhra Pradesh,Srikakulam,4,,,100.0,39.19916132091954,8.798741981379326,39.19916132091954,100.0,,,,,23565.46430771535,8.798741981379326
NFHS-5,2020,Andhra Pradesh,Visakhapatnam,8,,,100.0,31.83698391475677,31.83698391475677,48.87773793606758,48.87773793606759,,,,,51732.053718589676,14.79622989344597
NFHS-5,2020,Andhra Pradesh,Vizianagaram,5,,,100.0,76.68686995523936,53.373739910478704,30.060609865718057,69.93939013428194,,,,,37787.95085823141,6.747479820957414
NFHS-5,2020,Andhra Pradesh,West Godavari,9,,,100.0,79.05994872311817,51.28061532258194,74.35969233870904,67.52041021505461,,,,,82163.1040604954,18.80102553763656
NFHS-5,2020,Andhra Pradesh,Y.S.R.,9,,,100.0,27.201622358789564,27.201622358789564,33.33333333333334,37.5473156101825,,,,,615.4025814861333,12.641946830547477
NFHS-5,2020,Arunachal Pradesh,East Kameng,5,,,80.17353230304447,40.520596909133424,20.694129212177888,0.0,40.520596909133424,,,,,-17916.96280260593,20.694129212177888
NFHS-5,2020,Arunachal Pradesh,Papumpare,16,,,93.81763933575536,62.90583601453223,25.541114686042977,24.999999999999996,56.18236066424463,,,,,35549.956648512394,25.811672029064457
NFHS-5,2020,Arunachal Pradesh,Tawang,37,,,94.68264412161412,73.41322060807057,52.14379709452703,35.37727133443881,46.477387734028056,,,,,73137.52248454379,38.85040739856231
NFHS-5,2020,Arunachal Pradesh,Upper Subansiri,2,,,100.0,50.0,0.0,0.0,50.0,,,,,-56690.0,100.0
NFHS-5,2020,Arunachal Pradesh,West Kameng,21,,,95.28720124188943,57.584811177005,28.895528196470345,33.40208173864522,42.82767925486633,,,,,43267.507492055774,24.595219870231137
NFHS-5,2020,Arunachal Pradesh,West Siang,2,,,100.0,50.0,0.0,0.0,50.0,,,,,-50257.5,0.0
NFHS-5,2020,BIHAR,Kishanganj,5,,,100.0,65.13596017147883,30.271920342957642,55.04532005715961,10.090640114319214,,,,,13067.465374468711,30.271920342957642
NFHS-5,2020,Bihar,Araria,5,,,57.537102260754395,57.537102260754395,36.30565339113158,42.462897739245605,78.76855113037719,,,,,14748.915059905476,36.30565339113158
NFHS-5,2020,Bihar,Bhagalpur,1,,,0.0,0.0,0.0,0.0,100.0,,,,,-65114.0,0.0
