state,district,survey,survey_year,fertility_rate,electricity_pct,improved_sanitation_pct,lpg_pct,mobile_phone_pct,bank_account_pct,women_secondary_edu_pct,female_literacy_pct,male_literacy_pct,wealth_index_mean,urban_pct,household_count,person_count,state_key,district_key,district_panel_id,nfhs4_sdist_code,district_name_source
Andaman & Nicobar Islands,Nicobars,NFHS-5,2020,,100.0,25.105790373036537,25.105790373036537,12.552895186518269,12.552895186518269,,,,2378.537211180821,25.105790373036537,7,,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,ANDAMAN AND NICOBAR ISLANDS__NICOBARS__NFHS-5,,
Andaman & Nicobar Islands,North & Middle Andaman,NFHS-5,2020,,100.0,27.53173711191096,27.53173711191096,42.51057903730365,42.51057903730365,,,,13332.150095080922,25.105790373036537,7,,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS__NORTH AND MIDDLE ANDAMAN__NFHS-5,,
Andaman & Nicobar Islands,South Andaman,NFHS-5,2020,,100.0,12.552895186518269,42.51057903730365,27.53173711191096,70.0423161492146,,,,5987.4515798608645,25.105790373036537,7,,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,ANDAMAN AND NICOBAR ISLANDS__SOUTH ANDAMAN__NFHS-5,,
Andhra Pradesh,ADILABAD,NFHS-4,2016,,49.77781502828379,16.207152544704307,11.12942641414282,5.251325807499228,,,,,,10.65860702919422,227,,ANDHRA PRADESH,ADILABAD,ANDHRA PRADESH__ADILABAD__NFHS-4,,state_file_census_name
Andhra Pradesh,ANANTAPUR,NFHS-4,2016,,75.67008529713961,14.902520589682094,10.68926974507891,2.7740361353449647,,,,,,21.98282377410076,74,,ANDHRA PRADESH,ANANTAPUR,ANDHRA PRADESH__ANANTAPUR__NFHS-4,,state_file_census_name
Andhra Pradesh,Anantapur,NFHS-5,2020,,100.0,48.29750039691737,40.81541686512535,7.48208353179202,40.81541686512535,,,,-5333.622417383877,22.446250595376057,6,,ANDHRA PRADESH,ANANTAPUR,ANDHRA PRADESH__ANANTAPUR__NFHS-5,,
Andhra Pradesh,CHITTOOR,NFHS-4,2016,,76.23045085847883,6.6828737825695,4.8140514262888265,0.5780274314217204,,,,,,13.87265835412129,160,,ANDHRA PRADESH,CHITTOOR,ANDHRA PRADESH__CHITTOOR__NFHS-4,,state_file_census_name
Andhra Pradesh,Chittoor,NFHS-5,2020,,84.7997903302299,39.199161320919565,23.99895165114944,39.199161320919565,65.20020966977012,,,,35881.995427701375,8.798741981379328,8,,ANDHRA PRADESH,CHITTOOR,ANDHRA PRADESH__CHITTOOR__NFHS-5,,
Andhra Pradesh,EAST GODAVARI,NFHS-4,2016,,63.26819221950812,15.4587226604554,8.233002391046753,2.7247774728983294,,,,,,9.082591576327763,205,,ANDHRA PRADESH,EAST GODAVARI,ANDHRA PRADESH__EAST GODAVARI__NFHS-4,,state_file_census_name
Andhra Pradesh,East Godavari,NFHS-5,2020,,100.0,60.0,40.0,60.0,60.0,,,,75633.40000000001,0.0,5,,ANDHRA PRADESH,EAST GODAVARI,ANDHRA PRADESH__EAST GODAVARI__NFHS-5,,
Andhra Pradesh,GUNTUR,NFHS-4,2016,,72.82236529468939,15.995268548312264,4.577548286957669,0.0,,,,,,0.0,88,,ANDHRA PRADESH,GUNTUR,ANDHRA PRADESH__GUNTUR__NFHS-4,,state_file_census_name
Andhra Pradesh,Guntur,NFHS-5,2020,,100.0,23.561703476729047,34.48146012291062,12.641946830547475,53.16048670763688,,,,-19993.02461117041,12.641946830547475,12,,ANDHRA PRADESH,GUNTUR,ANDHRA PRADESH__GUNTUR__NFHS-5,,
Andhra Pradesh,HYDERABAD,NFHS-4,2016,,75.05591769610817,49.00299803286964,39.34683277989529,11.774139774954676,,,,,,54.945985616455154,74,,ANDHRA PRADESH,HYDERABAD,ANDHRA PRADESH__HYDERABAD__NFHS-4,,state_file_census_name
Andhra Pradesh,KARIMNAGAR,NFHS-4,2016,,59.89535028789887,13.953022972804677,12.791874199142969,1.3525575616352672,,,,,,26.285516080811096,146,,ANDHRA PRADESH,KARIMNAGAR,ANDHRA PRADESH__KARIMNAGAR__NFHS-4,,state_file_census_name
Andhra Pradesh,KHAMMAM,NFHS-4,2016,,81.32613742962143,14.0664882959981,8.785244166769814,2.485682287343763,,,,,,13.35019180734004,200,,ANDHRA PRADESH,KHAMMAM,ANDHRA PRADESH__KHAMMAM__NFHS-4,,state_file_census_name
Andhra Pradesh,KRISHNA,NFHS-4,2016,,96.98055541345208,96.38282260327485,62.62250023384024,31.314670176438092,,,,,,100.0,166,,ANDHRA PRADESH,KRISHNA,ANDHRA PRADESH__KRISHNA__NFHS-4,,state_file_census_name
Andhra Pradesh,KURNOOL,NFHS-4,2016,,77.30003479990812,19.9165748183084,14.552317691375617,3.901268339526031,,,,,,12.535980638635989,128,,ANDHRA PRADESH,KURNOOL,ANDHRA PRADESH__KURNOOL__NFHS-4,,state_file_census_name
Andhra Pradesh,Krishna,NFHS-5,2020,,100.0,41.76129788703165,41.76129788703166,37.547315610182494,56.32097341527375,,,,37469.10750756955,12.641946830547475,9,,ANDHRA PRADESH,KRISHNA,ANDHRA PRADESH__KRISHNA__NFHS-5,,
Andhra Pradesh,Kurnool,NFHS-5,2020,,100.0,52.97259007899833,26.48629503949916,20.54111488150252,94.05481984200335,,,,8274.805976482654,17.835540473989923,7,,ANDHRA PRADESH,KURNOOL,ANDHRA PRADESH__KURNOOL__NFHS-5,,
Andhra Pradesh,MAHBUBNAGAR,NFHS-4,2016,,76.18912652252416,31.050067135966568,20.958678561110418,4.9218899877096325,,,,,,13.076564270443782,224,,ANDHRA PRADESH,MAHBUBNAGAR,ANDHRA PRADESH__MAHBUBNAGAR__NFHS-4,,state_file_census_name
