state_2019,constituency_id_2019,constituency_id,constituency_2019,party_2019,winner_2019,vote_share_2019,state_2024,constituency_id_2024,constituency_2024,party_2024,winner_2024,vote_share_2024,state,constituency,seat_flipped,max_positive_swing,max_negative_swing,avg_abs_swing,swing_range,top2_margin_pct,effective_num_parties,winner_vote_share,margin_votes,winner_vote_share_change,flip_score,close_margin_score,fragmentation_score,swing_score,volatility_score
Bihar,BIHAR__PURNIA,BIHAR__PURNIA,Purnia,JDU,SANTOSH KUMAR,54.84895228521414,Bihar,BIHAR__PURNIA,Purnia,IND,RAJESH RANJAN ALIAS PAPPU YADAV,47.46070557698162,Bihar,Purnia,True,47.339035472816754,-32.01752257483058,13.891035133363754,79.35655804764733,1.9941564284304647,2.3090036066707595,47.46070557698162,23847.0,-7.388246708232522,40,18.005843571569535,11.545018033353799,27.78207026672751,97.33293187165086
Daman & Diu,DAMAN_&_DIU__DAMAN_&_DIU,DADRA_&_NAGAR_HAVELI_AND_DAMAN_&_DIU__DAMAN_&_DIU,Daman & diu,BJP,LALUBHAI BABUBHAI PATEL,42.983228343756075,Dadra & Nagar Haveli and Daman & Diu,DADRA_&_NAGAR_HAVELI_AND_DAMAN_&_DIU__DAMAN_&_DIU,Daman & Diu,IND,PATEL UMESHBHAI BABUBHAI,46.01558272914187,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,True,23.22122129823492,-22.536813546478857,14.38744865806672,45.75803484471378,6.736283951953254,2.6243672592187455,46.01558272914187,6225.0,3.032354385385794,40,13.263716048046746,13.121836296093727,28.77489731613344,95.16044966027391
Assam,ASSAM__KOKRAJHAR,ASSAM__KOKRAJHAR,Kokrajhar,IND,Naba Kumar Sarania,32.75193732954373,Assam,ASSAM__KOKRAJHAR,Kokrajhar,UPPL,JOYANTA BASUMATARY,39.387561458111826,Assam,Kokrajhar,True,18.269740054042167,-32.423301554639906,8.689177276958064,50.69304160868207,4.15490666099609,3.392170848290887,39.387561458111826,51583.0,6.635624128568097,40,15.84509333900391,16.960854241454435,17.37835455391613,90.18430213437446
Lakshadweep,LAKSHADWEEP__LAKSHADWEEP,LAKSHADWEEP__LAKSHADWEEP,Lakshadweep,NCP,MOHAMMED FAIZAL PP,48.609840668808104,Lakshadweep,LAKSHADWEEP__LAKSHADWEEP,Lakshadweep,INC,MUHAMMED HAMDULLAH SAYEED,52.288617886178855,Lakshadweep,Lakshadweep,True,46.90853658536585,-48.20130408344225,11.671028023752127,95.1098406688081,5.3800813008130035,2.026438655416363,52.288617886178855,2647.0,3.678777217370751,40,14.619918699186996,10.132193277081816,23.342056047504254,88.09416802377307
Mizoram,MIZORAM__MIZORAM,MIZORAM__MIZORAM,MIZORAM,MNF,C LALROSANGA,44.891227550483265,Mizoram,MIZORAM__MIZORAM,MIZORAM,ZPM,RICHARD VANLALHMANGAIHA,42.445902600257256,Mizoram,MIZORAM,True,42.445902600257256,-42.304195889144445,12.793680349092728,84.7500984894017,13.898432030219638,3.2599557420864853,42.445902600257256,68288.0,-2.4453249502260093,40,6.101567969780362,16.299778710432427,25.587360698185456,87.98870737839825
Uttar Pradesh,UTTAR_PRADESH__JALAUN,UTTAR_PRADESH__JALAUN,Jalaun,BJP,BHANU PRATAP SINGH VERMA,51.48550163502086,Uttar Pradesh,UTTAR_PRADESH__JALAUN,Jalaun,SP,NARAYAN DAS AHIRWAR,46.96226313146121,Uttar Pradesh,Jalaun,True,46.96226313146121,-28.589516359526797,9.588829964861123,75.551779490988,4.774174918441844,2.459753567950128,46.96226313146121,53898.0,-4.523238503559654,40,15.225825081558156,12.298767839750639,19.177659929722246,86.70225285103103
Bihar,BIHAR__JAMUI_(SC),BIHAR__JAMUI,Jamui (SC),LJP,CHIRAG KUMAR PASWAN,55.748959317780255,Bihar,BIHAR__JAMUI,Jamui,LJPRV,ARUN BHARTI,51.98415494575856,Bihar,Jamui,True,51.98415494575856,-55.748959317780255,12.52507489705378,107.73311426353882,11.486745238365124,2.2963454686423725,51.98415494575856,112482.0,-3.7648043720216933,40,8.513254761634876,11.481727343211862,25.05014979410756,85.04513189895431
Punjab,PUNJAB__HOSHIARPUR,PUNJAB__HOSHIARPUR,Hoshiarpur,BJP,SOM PARKASH,42.52359983084222,Punjab,PUNJAB__HOSHIARPUR,Hoshiarpur,AAAP,DR. RAJ KUMAR CHABBEWAL,32.03624727855475,Punjab,Hoshiarpur,True,27.503101539443268,-21.437973806181848,3.878424442831501,48.941075345625116,4.650679768262016,4.262399473395964,32.03624727855475,44111.0,-10.487352552287476,40,15.349320231737984,21.311997366979817,7.756848885663002,84.4181664843808
Punjab,PUNJAB__FIROZPUR,PUNJAB__FIROZPUR,Firozpur,SAD,SUKHBIR SINGH BADAL,54.04515060582765,Punjab,PUNJAB__FIROZPUR,Firozpur,INC,SHER SINGH GHUBAYA,23.697666460761788,Punjab,Firozpur,True,22.67297120738769,-31.501232872973677,0.5952910551180218,54.17420408036136,0.2881483226159069,4.680449620366454,23.697666460761788,3242.0,-30.347484145065863,40,19.711851677384093,23.402248101832267,1.1905821102360437,84.30468188945241
Punjab,PUNJAB__FARIDKOT,PUNJAB__FARIDKOT,Faridkot,INC,Mohammad Sadique,42.98336217250784,Punjab,PUNJAB__FARIDKOT,Faridkot,IND,SARABJEET SINGH KHALSA,29.381490554041335,Punjab,Faridkot,True,29.23635445946389,-27.176155347168123,2.7063841698555473,56.412509806632016,6.905481268267202,5.112037714210161,29.381490554041335,70053.0,-13.601871618466504,40,13.094518731732798,25.560188571050805,5.412768339711095,84.0674756424947
