state,constituency_id,constituency_x,actual_winner,actual_party,actual_vote_share,constituency_y,sim_winner,sim_party,sim_vote_share,sim_alliance,flipped,volatility_score,top2_margin_pct,effective_num_parties
Maharashtra,MAHARASHTRA__SATARA,Satara,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,BJP,47.673797416369226,Satara,SHASHIKANT JAYVANTRAO SHINDE,NCPSP,46.328176037964454,INDIA,True,77.43910877084771,2.735466659543711,2.3234736801147475
Uttar Pradesh,UTTAR_PRADESH__AMROHA,Amroha,KANWAR SINGH TANWAR,BJP,42.90179978211742,Amroha,KUNWAR DANISH ALI,INC,41.73790048246467,INDIA,True,74.5383010797308,2.5812783044773937,2.7135616007056997
Uttar Pradesh,UTTAR_PRADESH__BANSGAON,Bansgaon,KAMLESH PASWAN,BJP,45.37571856645529,Bansgaon,SADAL PRASAD,INC,46.50737536794674,INDIA,True,50.31827305356676,0.3334169521880099,2.4175182745042503
Uttar Pradesh,UTTAR_PRADESH__FARRUKHABAD,Farrukhabad,MUKESH RAJPUT,BJP,47.20118321445085,Farrukhabad,DR. NAVAL KISHOR SHAKYA,SP,49.19615662529339,INDIA,True,44.552369467403736,0.2590458060309899,2.2465748409201245
Uttar Pradesh,UTTAR_PRADESH__DOMARIYAGANJ,Domariyaganj,JAGDAMBIKA PAL,BJP,45.46799939153946,Domariyaganj,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,SP,43.556940142632776,INDIA,True,43.95464631254472,4.193274548193514,2.5985749542723435
Uttar Pradesh,UTTAR_PRADESH__MEERUT,Meerut,ARUN GOVIL,BJP,46.213843966785035,Meerut,SUNITA VERMA,SP,47.580786715474325,INDIA,True,41.11360843048088,0.8951533177333388,2.356298124522003
West Bengal,WEST_BENGAL__PURULIA,Purulia,JYOTIRMAY SINGH MAHATO,BJP,40.34042808388737,Purulia,SHANTIRAM MAHATO,AITC,40.44720283526628,INDIA,True,37.076244723779226,1.190989234444757,3.0377173725748383
Uttar Pradesh,UTTAR_PRADESH__UNNAO,Unnao,SWAMI SACHCHIDANAND HARI SAKSHI,BJP,47.31219538790313,Unnao,ANNU TANDON,SP,46.82763124507436,INDIA,True,36.18464189562347,2.7504259866034033,2.349326972882365
Uttar Pradesh,UTTAR_PRADESH__ALIGARH,Aligarh,SATISH KUMAR GAUTAM,BJP,44.2781943343986,Aligarh,BIJENDRA SINGH,SP,45.17175769200611,INDIA,True,35.88752157382345,1.3805778539324507,2.550490752403829
Uttar Pradesh,UTTAR_PRADESH__AKBARPUR,Akbarpur,DEVENDRA SINGH ALIAS BHOLE SINGH,BJP,47.603070233947555,Akbarpur,RAJARAM PAL,SP,45.79434528910163,INDIA,True,35.861507396680814,4.079753218400427,2.377263702936822
