state,constituency_id,constituency_x,actual_winner,actual_party,actual_vote_share,constituency_y,sim_winner,sim_party,sim_vote_share,sim_alliance,flipped
Uttar Pradesh,UTTAR_PRADESH__BAREILLY,Bareilly,CHHATRA PAL SINGH GANGWAR,BJP,50.65633044469335,Bareilly,PRAVEEN SINGH ARON,SP,49.79861055507699,INDIA,True
Uttar Pradesh,UTTAR_PRADESH__FARRUKHABAD,Farrukhabad,MUKESH RAJPUT,BJP,47.20118321445085,Farrukhabad,DR. NAVAL KISHOR SHAKYA,SP,49.19615662529339,INDIA,True
Uttar Pradesh,UTTAR_PRADESH__KANPUR,Kanpur,RAMESH AWASTHI,BJP,49.92754080478163,Kanpur,ALOK MISRA,INC,49.05522461337451,INDIA,True
Maharashtra,MAHARASHTRA__MUMBAI_NORTH_WEST,Mumbai North West,RAVINDRA DATTARAM WAIKAR,SHS,47.400305150381335,Mumbai North West,AMOL GAJANAN KIRTIKAR,SHSUBT,47.9161174765411,INDIA,True
Uttar Pradesh,UTTAR_PRADESH__MEERUT,Meerut,ARUN GOVIL,BJP,46.213843966785035,Meerut,SUNITA VERMA,SP,47.580786715474325,INDIA,True
Uttar Pradesh,UTTAR_PRADESH__MAHARAJGANJ,Maharajganj,PANKAJ CHAUDHARY,BJP,48.85038716974087,Maharajganj,VIRENDRA CHAUDHARY,INC,47.39560008224332,INDIA,True
West Bengal,WEST_BENGAL__BALURGHAT,Balurghat,SUKANTA MAJUMDAR,BJP,46.47153336113563,Balurghat,BIPLAB MITRA,AITC,46.89764218828012,INDIA,True
Uttar Pradesh,UTTAR_PRADESH__UNNAO,Unnao,SWAMI SACHCHIDANAND HARI SAKSHI,BJP,47.31219538790313,Unnao,ANNU TANDON,SP,46.82763124507436,INDIA,True
Uttar Pradesh,UTTAR_PRADESH__BANSGAON,Bansgaon,KAMLESH PASWAN,BJP,45.37571856645529,Bansgaon,SADAL PRASAD,INC,46.50737536794674,INDIA,True
Uttar Pradesh,UTTAR_PRADESH__PHULPUR,Phulpur,PRAVEEN PATEL,BJP,44.59886640442087,Phulpur,AMAR NATH SINGH MAURYA,SP,46.43979537877763,INDIA,True
