state,party_id,seats
Andaman & Nicobar Islands,BJP,1
Andhra Pradesh,TDP,16
Andhra Pradesh,YSRCP,4
Andhra Pradesh,BJP,3
Andhra Pradesh,JNP,2
Arunachal Pradesh,BJP,2
Assam,BJP,9
Assam,INC,3
Assam,AGP,1
Assam,UPPL,1
Bihar,BJP,12
Bihar,JDU,12
Bihar,LJPRV,5
Bihar,RJD,4
Bihar,INC,3
Bihar,CPI(ML)(L),2
Bihar,HAMS,1
Bihar,IND,1
Chandigarh,INC,1
Chhattisgarh,BJP,10
Chhattisgarh,INC,1
Dadra & Nagar Haveli and Daman & Diu,BJP,1
Dadra & Nagar Haveli and Daman & Diu,IND,1
Goa,BJP,1
Goa,INC,1
Gujarat,BJP,24
Gujarat,INC,1
Haryana,BJP,5
Haryana,INC,5
Himachal Pradesh,BJP,4
Jammu and Kashmir,BJP,2
Jammu and Kashmir,JKN,2
Jammu and Kashmir,IND,1
Jharkhand,BJP,8
Jharkhand,JMM,3
Jharkhand,INC,2
Jharkhand,AJSUP,1
Karnataka,BJP,17
Karnataka,INC,9
Karnataka,JD(S),2
Kerala,INC,14
Kerala,IUML,2
Kerala,BJP,1
Kerala,CPIM,1
Kerala,KEC,1
Kerala,RSP,1
Ladakh,IND,1
Lakshadweep,INC,1
Madhya Pradesh,BJP,29
Maharashtra,INC,14
Maharashtra,SHSUBT,10
Maharashtra,NCPSP,9
Maharashtra,BJP,7
Maharashtra,SHS,6
Maharashtra,IND,1
Maharashtra,NCP,1
Manipur,INC,2
Meghalaya,INC,1
Meghalaya,VOTPP,1
Mizoram,ZPM,1
NCT OF Delhi,BJP,7
Nagaland,INC,1
Odisha,BJP,20
Odisha,INC,1
Puducherry,INC,1
Punjab,INC,7
Punjab,AAAP,3
Punjab,IND,2
Punjab,SAD,1
Rajasthan,BJP,14
Rajasthan,INC,8
Rajasthan,BHRTADVSIP,1
Rajasthan,CPIM,1
Rajasthan,RLTP,1
Sikkim,SKM,1
Tamil Nadu,DMK,22
Tamil Nadu,INC,9
Tamil Nadu,CPI,2
Tamil Nadu,CPIM,2
Tamil Nadu,VCK,2
Tamil Nadu,IUML,1
Tamil Nadu,MDMK,1
Telangana,BJP,8
Telangana,INC,8
Telangana,AIMIM,1
Tripura,BJP,2
Uttar Pradesh,SP,48
Uttar Pradesh,BJP,18
Uttar Pradesh,INC,10
Uttar Pradesh,RLD,2
Uttar Pradesh,ADAL,1
Uttar Pradesh,ASPKR,1
Uttarakhand,BJP,5
West Bengal,AITC,32
West Bengal,BJP,9
West Bengal,INC,1
