election_year,election_type,constituency,candidate,party,votes,vote_share,rank,winner,margin_votes,party_raw,party_clean,party_id,candidate_raw,candidate_clean,candidate_election_id,alliance,state,constituency_id,swing,sim_vote_share_raw,sim_vote_share,sim_rank
2024,lok_sabha,Andaman & Nicobar Islands,BISHNU PADA RAY,BJP,102436.0,50.58218197260437,1.0,True,24396.0,BJP,BJP,BJP,BISHNU PADA RAY,BISHNU PADA RAY,CAND_2024_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_BJP_BISHNU_PADA_RAY,NDA,Andaman & Nicobar Islands,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,0.0,50.58218197260437,50.58218197260436,1.0
2024,lok_sabha,Amalapuram,G M HARISH (BALAYOGI),TDP,796981.0,61.25411765067565,1.0,True,342196.0,TDP,TDP,TDP,G M HARISH (BALAYOGI),G M HARISH BALAYOGI,CAND_2024_ANDHRA_PRADESH_AMALAPURAM_TDP_G_M_HARISH_BALAYOGI,NDA,Andhra Pradesh,ANDHRA_PRADESH__AMALAPURAM,0.0,61.25411765067565,61.25411765067565,1.0
2024,lok_sabha,Anakapalle,C.M.RAMESH,BJP,762069.0,57.50023390365584,1.0,True,296530.0,BJP,BJP,BJP,C.M.RAMESH,C.M.RAMESH,CAND_2024_ANDHRA_PRADESH_ANAKAPALLE_BJP_C_M_RAMESH,NDA,Andhra Pradesh,ANDHRA_PRADESH__ANAKAPALLE,0.0,57.50023390365584,57.50023390365584,1.0
2024,lok_sabha,Ananthapur,AMBICA G LAKSHMINARAYANA VALMIKI,TDP,768245.0,53.334495025089765,1.0,True,188555.0,TDP,TDP,TDP,AMBICA G LAKSHMINARAYANA VALMIKI,AMBICA G LAKSHMINARAYANA VALMIKI,CAND_2024_ANDHRA_PRADESH_ANANTHAPUR_TDP_AMBICA_G_LAKSHMINARAYANA_VALMIKI,NDA,Andhra Pradesh,ANDHRA_PRADESH__ANANTHAPUR,0.0,53.334495025089765,53.334495025089765,1.0
2024,lok_sabha,Araku,GUMMA THANUJA RANI,YSRCP,477005.0,40.96415030336341,1.0,True,50580.0,YSRCP,YSRCP,YSRCP,GUMMA THANUJA RANI,GUMMA THANUJA RANI,CAND_2024_ANDHRA_PRADESH_ARAKU_YSRCP_GUMMA_THANUJA_RANI,OTHER,Andhra Pradesh,ANDHRA_PRADESH__ARAKU,0.0,40.96415030336341,40.96415030336341,1.0
2024,lok_sabha,Bapatla,KRISHNA PRASAD TENNETI,TDP,717493.0,55.16015821702178,1.0,True,208031.0,TDP,TDP,TDP,KRISHNA PRASAD TENNETI,KRISHNA PRASAD TENNETI,CAND_2024_ANDHRA_PRADESH_BAPATLA_TDP_KRISHNA_PRASAD_TENNETI,NDA,Andhra Pradesh,ANDHRA_PRADESH__BAPATLA,0.0,55.16015821702178,55.16015821702178,1.0
2024,lok_sabha,Chittoor,DAGGUMALLA PRASADA RAO,TDP,778071.0,54.83787302032551,1.0,True,220479.0,TDP,TDP,TDP,DAGGUMALLA PRASADA RAO,DAGGUMALLA PRASADA RAO,CAND_2024_ANDHRA_PRADESH_CHITTOOR_TDP_DAGGUMALLA_PRASADA_RAO,NDA,Andhra Pradesh,ANDHRA_PRADESH__CHITTOOR,0.0,54.83787302032551,54.837873020325524,1.0
2024,lok_sabha,Eluru,PUTTA MAHESH KUMAR,TDP,746351.0,54.00322275114703,1.0,True,181857.0,TDP,TDP,TDP,PUTTA MAHESH KUMAR,PUTTA MAHESH KUMAR,CAND_2024_ANDHRA_PRADESH_ELURU_TDP_PUTTA_MAHESH_KUMAR,NDA,Andhra Pradesh,ANDHRA_PRADESH__ELURU,0.0,54.00322275114703,54.00322275114703,1.0
2024,lok_sabha,Guntur,DR CHANDRA SEKHAR PEMMASANI,TDP,864948.0,60.682306571411935,1.0,True,344695.0,TDP,TDP,TDP,DR CHANDRA SEKHAR PEMMASANI,DR CHANDRA SEKHAR PEMMASANI,CAND_2024_ANDHRA_PRADESH_GUNTUR_TDP_DR_CHANDRA_SEKHAR_PEMMASANI,NDA,Andhra Pradesh,ANDHRA_PRADESH__GUNTUR,0.0,60.682306571411935,60.682306571411935,1.0
2024,lok_sabha,Hindupur,B K PARTHASARATHI,TDP,725534.0,51.22601298135545,1.0,True,132427.0,TDP,TDP,TDP,B K PARTHASARATHI,B K PARTHASARATHI,CAND_2024_ANDHRA_PRADESH_HINDUPUR_TDP_B_K_PARTHASARATHI,NDA,Andhra Pradesh,ANDHRA_PRADESH__HINDUPUR,0.0,51.22601298135545,51.22601298135545,1.0
