state,party_id,avg_vote_share_2019,avg_vote_share_2024,avg_swing,max_swing,min_swing,constituencies_seen,seats_2019,seats_2024,seat_change,alliance_2024
Andaman & Nicobar Islands,BJP,45.29802794072245,50.58218197260437,5.2841540318819185,5.2841540318819185,5.2841540318819185,1,0,1,1,NDA
Andaman & Nicobar Islands,ANDC,0.0,4.0757676012522595,4.0757676012522595,4.0757676012522595,4.0757676012522595,1,0,0,0,UNKNOWN
Andaman & Nicobar Islands,CPIM,0.0,2.971152611671292,2.971152611671292,2.971152611671292,2.971152611671292,1,0,0,0,INDIA
Andaman & Nicobar Islands,ADMK,0.0,0.4513268218493537,0.4513268218493537,0.4513268218493537,0.4513268218493537,1,0,0,0,UNKNOWN
Andaman & Nicobar Islands,NOTA,0.6811515899969126,0.893271576286084,0.2121199862891714,0.2121199862891714,0.2121199862891714,1,0,0,0,NONE
Andaman & Nicobar Islands,SUCI,0.0,0.173321350622673,0.173321350622673,0.173321350622673,0.173321350622673,1,0,0,0,UNKNOWN
Andaman & Nicobar Islands,AINHCP,0.1022692188947206,0.0,-0.1022692188947206,-0.1022692188947206,-0.1022692188947206,1,0,0,0,UNKNOWN
Andaman & Nicobar Islands,IND,0.5047532674693835,0.39246669366068515,-0.11228657380869839,0.9812151901646016,-2.4076317399534535,1,0,0,0,OTHER
Andaman & Nicobar Islands,AITC,0.830213800555727,0.0,-0.830213800555727,-0.830213800555727,-0.830213800555727,1,0,0,0,INDIA
Andaman & Nicobar Islands,BSP,1.1992513121333743,0.3550371826145352,-0.8442141295188391,-0.8442141295188391,-0.8442141295188391,1,0,0,0,OTHER
Andaman & Nicobar Islands,AAAP,1.369539209632603,0.0,-1.369539209632603,-1.369539209632603,-1.369539209632603,1,0,0,0,UNKNOWN
Andaman & Nicobar Islands,INC,45.976767520839765,38.53560741479601,-7.441160106043753,-7.441160106043753,-7.441160106043753,1,1,0,-1,INDIA
Andhra Pradesh,TDP,39.50943847690189,37.27066237374682,-2.238776103155069,30.535400407813512,-41.46032697393199,25,3,16,13,NDA
Andhra Pradesh,YSRCP,49.0701266336348,39.42056561462267,-9.649561019012138,-3.169023550002869,-18.014602569812475,25,22,4,-18,OTHER
Andhra Pradesh,BJP,0.9683168099852173,11.749829096002037,10.781512286016818,56.428284248793595,-2.7337681507782996,25,0,3,3,NDA
Andhra Pradesh,JNP,8.652048679684682,6.4758195930642,-2.1762290866204825,46.10126348688092,-23.300912923047637,17,0,2,2,UNKNOWN
Andhra Pradesh,CPIM,0.8263425794400372,2.6435125746600314,1.8171699952199942,10.574050298640126,-1.604356376653901,4,0,0,0,INDIA
Andhra Pradesh,INC,1.290453201470614,2.6952113721815643,1.40475817071095,9.989709226148143,-1.6500114467799183,25,0,0,0,INDIA
Andhra Pradesh,BHRTADVSIP,0.0,0.5810493411024136,0.5810493411024136,0.5810493411024136,0.5810493411024136,1,0,0,0,UNKNOWN
Andhra Pradesh,BSP,0.2591622011689687,0.681798381490639,0.42263618032167016,2.2113539067968,-2.8348831197876017,25,0,0,0,OTHER
Andhra Pradesh,JAC,0.0,0.3923851956862944,0.3923851956862944,0.3923851956862944,0.3923851956862944,1,0,0,0,UNKNOWN
Andhra Pradesh,NRCP,0.01050340564234131,0.3676540294761633,0.35715062383382207,1.2833349807628025,-0.036312062280886,11,0,0,0,UNKNOWN
Andhra Pradesh,TLGUNGP,0.0,0.2875246136748274,0.2875246136748274,0.2875246136748274,0.2875246136748274,1,0,0,0,UNKNOWN
Andhra Pradesh,JJSP,0.0,0.24545455420855558,0.24545455420855558,0.8491589964664741,0.0206059207679006,7,0,0,0,UNKNOWN
Andhra Pradesh,NAVAP,0.01854038946252472,0.24570213286430914,0.22716174340178444,0.5773945419431914,-0.0927019473126236,5,0,0,0,UNKNOWN
Andhra Pradesh,NMSP,0.0,0.1996677607398067,0.1996677607398067,0.1996677607398067,0.1996677607398067,1,0,0,0,UNKNOWN
Andhra Pradesh,RPC(S),0.0265509302022429,0.21207548110434674,0.18552455090210382,0.2700504926341269,0.1036268817987774,3,0,0,0,UNKNOWN
Andhra Pradesh,BCYP,0.0,0.18489077299736317,0.18489077299736317,0.7410120145615553,0.0436157769896245,7,0,0,0,UNKNOWN
Andhra Pradesh,JBNP,0.0,0.17655063665309925,0.17655063665309925,0.6227859624112775,0.0380251878282917,9,0,0,0,UNKNOWN
Andhra Pradesh,TLRDSMTP,0.0,0.1647449639526426,0.1647449639526426,0.4258681174293333,0.0232921814741565,3,0,0,0,UNKNOWN
Andhra Pradesh,RSP,0.0,0.14388829475571616,0.14388829475571616,0.2038310644648453,0.083023855521153,3,0,0,0,UNKNOWN
Andhra Pradesh,YGATLSIP,0.0,0.135540569039486,0.135540569039486,0.135540569039486,0.135540569039486,1,0,0,0,UNKNOWN
Andhra Pradesh,AHNP,0.0,0.1134119791402966,0.1134119791402966,0.1134119791402966,0.1134119791402966,1,0,0,0,UNKNOWN
Andhra Pradesh,URPI,0.0,0.1095785385188453,0.1095785385188453,0.1095785385188453,0.1095785385188453,1,0,0,0,UNKNOWN
Andhra Pradesh,JRBP,0.0,0.09389888603679082,0.09389888603679082,0.2530707980988828,0.0305627727837409,11,0,0,0,UNKNOWN
Andhra Pradesh,ARPS,0.0297484231242125,0.12025770363049273,0.09050928050628022,0.3463553888149911,-0.11899369249685,4,0,0,0,UNKNOWN
Andhra Pradesh,IBP,0.0,0.0896157156599665,0.0896157156599665,0.0896157156599665,0.0896157156599665,1,0,0,0,UNKNOWN
Andhra Pradesh,LBCP,0.0,0.08144392293933225,0.08144392293933225,0.3111596519525232,0.0235249799153562,8,0,0,0,UNKNOWN
Andhra Pradesh,JCVIVP,0.0,0.07950378108869913,0.07950378108869913,0.1763364777691075,0.0258741011583995,5,0,0,0,UNKNOWN
Andhra Pradesh,AIFB,0.022322263472654813,0.09961142718387024,0.07728916371121546,0.4004560961704385,-0.0821282058550769,6,0,0,0,UNKNOWN
Andhra Pradesh,NBBHNRSVP,0.0,0.07591412578887155,0.07591412578887155,0.1195312343658841,0.032297017211859,2,0,0,0,UNKNOWN
Andhra Pradesh,JMBP,0.0,0.06241619610473047,0.06241619610473047,0.1687494855198612,0.0178832531396469,4,0,0,0,UNKNOWN
Andhra Pradesh,SUCI,0.0,0.06055666545934647,0.06055666545934647,0.0912210989035817,0.0239664908879694,4,0,0,0,UNKNOWN
Andhra Pradesh,JNSHSK,0.0,0.0586815888666488,0.0586815888666488,0.0894503957215349,0.0279127820117627,2,0,0,0,UNKNOWN
Andhra Pradesh,RPI,0.0,0.055798682044353,0.055798682044353,0.055798682044353,0.055798682044353,1,0,0,0,UNKNOWN
Andhra Pradesh,BRRTD,0.0,0.0552942236640533,0.0552942236640533,0.0552942236640533,0.0552942236640533,1,0,0,0,UNKNOWN
Andhra Pradesh,BHRJWNKP,0.0,0.0529648369920313,0.0529648369920313,0.0529648369920313,0.0529648369920313,1,0,0,0,UNKNOWN
Andhra Pradesh,JHUP,0.0,0.0514259675821115,0.0514259675821115,0.0514259675821115,0.0514259675821115,1,0,0,0,UNKNOWN
Andhra Pradesh,PRJPP,0.0,0.0456339551230062,0.0456339551230062,0.0456339551230062,0.0456339551230062,1,0,0,0,UNKNOWN
Andhra Pradesh,AINDKSJNTP,0.0,0.0401269622639937,0.0401269622639937,0.0401269622639937,0.0401269622639937,1,0,0,0,UNKNOWN
Andhra Pradesh,PPID,0.0,0.0388131328269948,0.0388131328269948,0.0388131328269948,0.0388131328269948,1,0,0,0,UNKNOWN
Andhra Pradesh,RRS,0.0517113555443914,0.0882391875791902,0.036527832034798806,0.1764783751583804,-0.1034227110887828,2,0,0,0,UNKNOWN
Andhra Pradesh,RPPRINAT,0.0,0.0358128904624171,0.0358128904624171,0.0446543171732356,0.0269714637515986,2,0,0,0,UNKNOWN
Andhra Pradesh,BYPP,0.0,0.034295362211787,0.034295362211787,0.034295362211787,0.034295362211787,1,0,0,0,UNKNOWN
Andhra Pradesh,RPIA,0.0,0.0330026045888159,0.0330026045888159,0.0330026045888159,0.0330026045888159,1,0,0,0,UNKNOWN
Andhra Pradesh,BNGLRNNP,0.0,0.0323424568059824,0.0323424568059824,0.0323424568059824,0.0323424568059824,1,0,0,0,UNKNOWN
Andhra Pradesh,CHALP,0.0,0.0308241717045211,0.0308241717045211,0.0308241717045211,0.0308241717045211,1,0,0,0,UNKNOWN
Andhra Pradesh,NETHNP,0.0,0.0306176651110994,0.0306176651110994,0.0306176651110994,0.0306176651110994,1,0,0,0,UNKNOWN
Andhra Pradesh,ALPP,0.0097381849497141,0.037250111350880334,0.02751192640116627,0.0776236492883872,-0.0096104049196787,3,0,0,0,UNKNOWN
Andhra Pradesh,APRS,0.0,0.0251162679751447,0.0251162679751447,0.0251162679751447,0.0251162679751447,1,0,0,0,UNKNOWN
Andhra Pradesh,LJD,0.0,0.0221696667043176,0.0221696667043176,0.0221696667043176,0.0221696667043176,1,0,0,0,UNKNOWN
Andhra Pradesh,RPI(A),0.08465849886235077,0.10656359617984064,0.021905097317489852,0.2953068988414073,-0.2914259543456776,8,0,0,0,UNKNOWN
Andhra Pradesh,ALLJP,0.0,0.0197155536662501,0.0197155536662501,0.0197155536662501,0.0197155536662501,1,0,0,0,UNKNOWN
Andhra Pradesh,SDPI,0.3068599804599239,0.32471684646059706,0.017856866000673155,0.4935852431398629,-0.4578715111385166,2,0,0,0,UNKNOWN
Andhra Pradesh,NNKP,0.03085389099915125,0.035946234244317046,0.0050923432451658,0.0481523138175253,-0.0379676273271937,2,0,0,0,UNKNOWN
Andhra Pradesh,IPBP,0.07923728886503886,0.0745351688189989,-0.004702120046039963,0.3900570658124686,-0.1922970061304943,7,0,0,0,UNKNOWN
Andhra Pradesh,DABAP,0.1794118810714006,0.16836418861346875,-0.011047692457931801,0.0683427953500946,-0.0904381802659582,2,0,0,0,UNKNOWN
Andhra Pradesh,MCPI,0.02475083592445855,0.01094451900592895,-0.0138063169185296,0.0218890380118579,-0.0495016718489171,2,0,0,0,UNKNOWN
Andhra Pradesh,AYSRCP,0.10763332394564823,0.09224921282500118,-0.015384111120647054,0.1808784948148415,-0.2801529838569906,4,0,0,0,UNKNOWN
Andhra Pradesh,SP,0.06343378955982804,0.04573959981672989,-0.017694189743098155,0.1004650759093572,-0.2947175008363489,9,0,0,0,INDIA
Andhra Pradesh,ANC,0.03959309661418743,0.016587466336846098,-0.023005630277341333,0.0497623990105383,-0.072127245701424,3,0,0,0,UNKNOWN
Andhra Pradesh,NPT,0.034087833199522966,0.009681689889860233,-0.02440614330966273,0.0290450696695807,-0.0604156237335812,3,0,0,0,UNKNOWN
Andhra Pradesh,RDHP,0.029961522240731,0.0,-0.029961522240731,-0.029961522240731,-0.029961522240731,1,0,0,0,UNKNOWN
Andhra Pradesh,HMRD,0.0330749981131712,0.0,-0.0330749981131712,-0.0330749981131712,-0.0330749981131712,1,0,0,0,UNKNOWN
Andhra Pradesh,PRSHP,0.15344948669343542,0.11096332342074436,-0.04248616327269104,0.5548166171037218,-0.2586313764181847,5,0,0,0,UNKNOWN
Andhra Pradesh,NDDHP,0.0464677825840526,0.0,-0.0464677825840526,-0.0464677825840526,-0.0464677825840526,1,0,0,0,UNKNOWN
Andhra Pradesh,PPOI,0.10245739251544939,0.05473915206125498,-0.047718240454194365,0.1256842857770161,-0.169287072115264,21,0,0,0,UNKNOWN
Andhra Pradesh,BCUF,0.0499579321880727,0.0,-0.0499579321880727,-0.0499579321880727,-0.0499579321880727,1,0,0,0,UNKNOWN
Andhra Pradesh,AINPP,0.05318605625102021,0.0,-0.05318605625102021,-0.0323350652694761,-0.0793744001360703,3,0,0,0,UNKNOWN
Andhra Pradesh,ILP(AP),0.0752511702037923,0.0217487236656281,-0.0535024465381641,-0.0535024465381641,-0.0535024465381641,1,0,0,0,UNKNOWN
Andhra Pradesh,IND,0.19884561183966895,0.13966300228776174,-0.05918260955190721,0.5318104273645783,-0.8601373734313618,25,0,0,0,OTHER
Andhra Pradesh,IUML,0.06283138190091303,0.0,-0.06283138190091303,-0.0290798792280613,-0.1271691030535286,3,0,0,0,UNKNOWN
Andhra Pradesh,VJNP,0.06510718164002945,0.0,-0.06510718164002945,-0.0542350253965936,-0.0759793378834653,2,0,0,0,UNKNOWN
Andhra Pradesh,JPD,0.0695081517911862,0.0,-0.0695081517911862,-0.0695081517911862,-0.0695081517911862,1,0,0,0,UNKNOWN
Andhra Pradesh,CPI(ML)(L),0.1794666398846815,0.1061435415621712,-0.0733230983225103,0.072652934313541,-0.2192991309585616,2,0,0,0,UNKNOWN
Andhra Pradesh,BAHUMP,0.0817149698289369,0.0,-0.0817149698289369,-0.0817149698289369,-0.0817149698289369,1,0,0,0,UNKNOWN
Andhra Pradesh,SUCI(C),0.08755475757243356,0.0,-0.08755475757243356,-0.0669742964718924,-0.1081352186729747,2,0,0,0,UNKNOWN
Andhra Pradesh,RD,0.0908883667360497,0.0,-0.0908883667360497,-0.0908883667360497,-0.0908883667360497,1,0,0,0,UNKNOWN
Andhra Pradesh,ACP,0.1037039469902864,0.0,-0.1037039469902864,-0.1037039469902864,-0.1037039469902864,1,0,0,0,UNKNOWN
Andhra Pradesh,VCK,0.12754965380904812,0.0088398038124811,-0.11870984999656697,-0.0209102838434129,-0.2442420028489523,3,0,0,0,UNKNOWN
Andhra Pradesh,JAJGP,0.13967858337048505,0.0,-0.13967858337048505,-0.0649483943541699,-0.4383279139499952,7,0,0,0,UNKNOWN
Andhra Pradesh,APOI,0.140512001100424,0.0,-0.140512001100424,-0.140512001100424,-0.140512001100424,1,0,0,0,UNKNOWN
Andhra Pradesh,MPP,0.14364767472372197,0.0,-0.14364767472372197,-0.0339669925358707,-0.2610892841985279,4,0,0,0,UNKNOWN
Andhra Pradesh,RPI(KH),0.1463222739973801,0.0,-0.1463222739973801,-0.1463222739973801,-0.1463222739973801,1,0,0,0,UNKNOWN
Andhra Pradesh,SMFB,0.1773080978552199,0.0,-0.1773080978552199,-0.1773080978552199,-0.1773080978552199,1,0,0,0,UNKNOWN
Andhra Pradesh,RKSP,0.2825980067856192,0.0,-0.2825980067856192,-0.2825980067856192,-0.2825980067856192,1,0,0,0,UNKNOWN
Andhra Pradesh,NOTA,1.508879309482494,1.219406916449179,-0.28947239303331485,0.3972717806056864,-0.9596632878649518,25,0,0,0,NONE
Andhra Pradesh,NVSP,0.3639179511911817,0.0,-0.3639179511911817,-0.3639179511911817,-0.3639179511911817,1,0,0,0,UNKNOWN
Andhra Pradesh,SAPRP,0.4091502516647644,0.0,-0.4091502516647644,-0.4091502516647644,-0.4091502516647644,1,0,0,0,UNKNOWN
Andhra Pradesh,CPI,0.6733606230545689,0.20198250139788165,-0.4713781216566872,0.605947504193645,-1.5118758315913063,3,0,0,0,INDIA
Arunachal Pradesh,BJP,57.69855749277663,48.19460562977423,-9.503951863002392,-7.370389006709907,-11.637514719294876,2,2,2,0,NDA
Arunachal Pradesh,INC,21.395484874426497,30.893499085703326,9.498014211276828,11.962211626031602,7.0338167965220535,2,0,0,0,INDIA
Arunachal Pradesh,GNASURKP,0.0,7.636241758461646,7.636241758461646,7.636241758461646,7.636241758461646,1,0,0,0,UNKNOWN
Arunachal Pradesh,ANCHDMCP,0.0,2.0473468277254416,2.0473468277254416,2.0473468277254416,2.0473468277254416,1,0,0,0,UNKNOWN
Arunachal Pradesh,IND,1.806477377939697,3.756564546058102,1.9500871681184047,7.789477833225942,-1.0154513919354122,2,0,0,0,OTHER
Arunachal Pradesh,NOTA,1.2124345976350108,1.0438428071964863,-0.16859179043852454,0.0470842780725107,-0.3842678589495598,2,0,0,0,NONE
Arunachal Pradesh,AIFB,0.5361279339119757,0.0,-0.5361279339119757,-0.5361279339119757,-0.5361279339119757,1,0,0,0,UNKNOWN
Arunachal Pradesh,PPA,4.568824804157266,0.0,-4.568824804157266,-1.3301331249476709,-7.807516483366863,2,0,0,0,UNKNOWN
Arunachal Pradesh,NPEP,7.568585861404929,0.0,-7.568585861404929,-7.568585861404929,-7.568585861404929,1,0,0,0,UNKNOWN
Arunachal Pradesh,JD(S),8.844739873568964,0.0,-8.844739873568964,-5.431937395542938,-12.257542351594989,2,0,0,0,UNKNOWN
Assam,BJP,49.78565263400596,51.4038403007839,1.61818766677794,55.0354400200744,-12.722995220840197,11,9,9,0,NDA
Assam,INC,34.7493849027246,35.122301792229834,0.37291688950523405,34.56476827923136,-29.044310202924343,14,3,3,0,INDIA
Assam,UPPL,21.11782140406966,39.387561458111826,18.269740054042167,18.269740054042167,18.269740054042167,1,0,1,1,UNKNOWN
Assam,AGP,32.92467731616388,22.964067415527534,-9.960609900636348,16.402466794113643,-40.436811734788066,3,0,1,1,UNKNOWN
Assam,ASMJTYP,0.0,32.42070464249227,32.42070464249227,32.42070464249227,32.42070464249227,1,0,0,0,UNKNOWN
Assam,AAAP,0.0,6.674834845306359,6.674834845306359,10.784763150442531,2.5649065401701865,2,0,0,0,UNKNOWN
Assam,BOPF,7.549485124891432,13.624697751044508,6.075212626153077,17.147416077738516,0.5748711551932658,4,0,0,0,UNKNOWN
Assam,GNASURKP,0.0,2.5954007248959456,2.5954007248959456,7.586734069219715,0.5295436130350152,4,0,0,0,UNKNOWN
Assam,CPIM,0.9663690667212839,1.9007760048827274,0.9344069381614434,5.702328014648182,-1.9012021074901064,3,0,0,0,INDIA
Assam,BHRJWNKP,0.0,0.6936285335689045,0.6936285335689045,0.6936285335689045,0.6936285335689045,1,0,0,0,UNKNOWN
Assam,ESBD,0.0,0.5618706142829639,0.5618706142829639,0.6531240116162051,0.4706172169497227,2,0,0,0,UNKNOWN
Assam,SUCI,0.0,0.2951554842415737,0.2951554842415737,0.506681725937778,0.0872801212330475,6,0,0,0,UNKNOWN
Assam,JPJD,0.0,0.2786455208329301,0.2786455208329301,0.2786455208329301,0.2786455208329301,1,0,0,0,UNKNOWN
Assam,BAHUMP,0.0,0.26685053886792115,0.26685053886792115,0.3261237376481216,0.1713746505040269,3,0,0,0,UNKNOWN
Assam,HSP,0.0,0.2562348997883932,0.2562348997883932,0.2562348997883932,0.2562348997883932,1,0,0,0,UNKNOWN
Assam,NOTA,1.0405871235816737,1.2708974315598938,0.2303103079782201,1.0546714564835125,-0.3620070157800942,14,0,0,0,NONE
Assam,RUC,0.0,0.22088162786718818,0.22088162786718818,0.3655127554534817,0.1469207440583697,4,0,0,0,UNKNOWN
Assam,RPPRINAT,0.0,0.19264655340721,0.19264655340721,0.2745693462897526,0.1420764849152757,4,0,0,0,UNKNOWN
Assam,BNGNBNRMS,0.0,0.10873020683458565,0.10873020683458565,0.1462237912441965,0.0712366224249748,2,0,0,0,UNKNOWN
Assam,BGANP,0.14269914980342155,0.23751790098586878,0.09481875118244722,0.4933958480735309,-0.3707794527300762,6,0,0,0,UNKNOWN
Assam,AITC,0.5251235234566674,0.5922267571556428,0.06710323369897546,1.894408036755656,-0.7652796282503612,10,0,0,0,INDIA
Assam,VPI,0.4384096859492643,0.47588375390167675,0.037474067952412385,0.5321064556482857,-0.3011502346591576,8,0,0,0,UNKNOWN
Assam,TNRMPI,0.136197001266327,0.1414243840091816,0.005227382742854586,0.2828487680183632,-0.272394002532654,2,0,0,0,UNKNOWN
Assam,BNJD,0.122966994163222,0.0,-0.122966994163222,-0.122966994163222,-0.122966994163222,1,0,0,0,UNKNOWN
Assam,NRCONG,0.13440880890806356,0.0,-0.13440880890806356,-0.1170229232258185,-0.1517946945903086,2,0,0,0,UNKNOWN
Assam,SP,0.1351093149453127,0.0,-0.1351093149453127,-0.1351093149453127,-0.1351093149453127,1,0,0,0,INDIA
Assam,AIFB,0.186165777494629,0.0,-0.186165777494629,-0.0884493564256351,-0.3249634912308063,3,0,0,0,UNKNOWN
Assam,SUCI(C),0.20229800456831146,0.0,-0.20229800456831146,-0.1099925288093638,-0.31427505221687,6,0,0,0,UNKNOWN
Assam,AJM,0.312366893960806,0.10283926921580093,-0.20952762474500508,0.1953042213752156,-0.6807474978361453,5,0,0,0,UNKNOWN
Assam,RPI(A),0.22961656585711598,0.0,-0.22961656585711598,-0.2069446074487585,-0.2522247708463773,3,0,0,0,UNKNOWN
Assam,SWABP,0.2330252977025746,0.0,-0.2330252977025746,-0.2330252977025746,-0.2330252977025746,1,0,0,0,UNKNOWN
Assam,PUJP,0.2931849805589792,0.0,-0.2931849805589792,-0.1392482070942879,-0.6642176162651192,5,0,0,0,UNKNOWN
Assam,HND,0.29587990943512354,0.0,-0.29587990943512354,-0.1203113580839083,-0.4617196981611331,5,0,0,0,UNKNOWN
Assam,NCP,0.44869159280669235,0.0,-0.44869159280669235,-0.3526829849741623,-0.5447002006392224,2,0,0,0,NDA
Assam,CPI,1.3646703875739992,0.8103852828649603,-0.5542851047090389,0.5785366419427893,-1.6871068513608671,2,0,0,0,INDIA
Assam,ADRP,0.6454558273715341,0.0,-0.6454558273715341,-0.6454558273715341,-0.6454558273715341,1,0,0,0,UNKNOWN
Assam,BMUP,0.6825511839550755,0.0,-0.6825511839550755,-0.6825511839550755,-0.6825511839550755,1,0,0,0,UNKNOWN
Assam,NPEP,0.7158795227955108,0.0,-0.7158795227955108,-0.1687978943456819,-1.6248067537050677,7,0,0,0,UNKNOWN
Assam,IND,1.2375841976557627,0.43785949444620276,-0.79972470320956,20.980871927551007,-32.423301554639906,14,1,0,-1,OTHER
Assam,ASDC,5.975863436586886,1.4107526503785,-4.565110786208386,-4.565110786208386,-4.565110786208386,1,0,0,0,UNKNOWN
Assam,AIUDF,25.17700326141763,7.532735034631318,-17.644268226786313,8.860656594395605,-38.456122805611,4,1,0,-1,UNKNOWN
Bihar,BJP,52.46117382788473,45.90798469986016,-6.553189128024577,47.20337521698645,-60.59156306399126,18,17,12,-5,NDA
Bihar,JDU,47.79585477062125,40.33973211638765,-7.456122654233594,45.15072915739076,-48.78641689509928,18,16,12,-4,NDA
Bihar,LJPRV,0.0,51.47048897309783,51.47048897309783,53.29396775276892,48.38003173898947,5,0,5,5,UNKNOWN
Bihar,RJD,22.002319856696595,32.11641503021847,10.114095173521873,49.220514230134896,-32.67320084641224,28,0,4,4,INDIA
Bihar,INC,22.76916385075633,28.037272692095996,5.268108841339664,42.094291639261655,-34.81966055113156,13,1,3,2,INDIA
Bihar,CPI(ML)(L),10.48826631279104,23.854927929918052,13.366661617127011,34.10641367444291,-7.579533107909139,5,0,2,2,UNKNOWN
Bihar,IND,0.871555047141404,1.6942698764637414,0.8227148293223374,47.339035472816754,-12.962345841724751,40,0,1,1,OTHER
Bihar,HAMS,32.892751359657936,17.120553657730053,-15.77219770192788,18.498599363241645,-38.20393817099351,3,0,1,1,UNKNOWN
Bihar,RSHTLKM,0.0,24.609496926187795,24.609496926187795,24.609496926187795,24.609496926187795,1,0,0,0,UNKNOWN
Bihar,CPIM,1.4225448888045196,17.776068044456412,16.353523155651892,35.552136088912825,-2.845089777609039,2,0,0,0,INDIA
Bihar,CPI,11.528096267744706,21.9302866438089,10.402190376064192,21.832397562214435,-1.0280168100860516,2,0,0,0,INDIA
Bihar,VSIP,9.441620813500768,15.765644260451442,6.3240234469506715,42.27540961620135,-27.060351898453995,7,0,0,0,UNKNOWN
