state_2019,constituency_id_2019,constituency_id,constituency_2019,party_2019,winner_2019,vote_share_2019,state_2024,constituency_id_2024,constituency_2024,party_2024,winner_2024,vote_share_2024,state,constituency,seat_flipped
Andaman & Nicobar Islands,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,INC,KULDEEP RAI SHARMA,45.976767520839765,Andaman & Nicobar Islands,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,BJP,BISHNU PADA RAY,50.58218197260437,Andaman & Nicobar Islands,Andaman & Nicobar Islands,True
Andhra Pradesh,ANDHRA_PRADESH__AMALAPURAM,ANDHRA_PRADESH__AMALAPURAM,Amalapuram,YSRCP,CHINTA ANURADHA,39.41600866253817,Andhra Pradesh,ANDHRA_PRADESH__AMALAPURAM,Amalapuram,TDP,G M HARISH (BALAYOGI),61.25411765067565,Andhra Pradesh,Amalapuram,True
Andhra Pradesh,ANDHRA_PRADESH__ANAKAPALLI,ANDHRA_PRADESH__ANAKAPALLE,Anakapalli,YSRCP,Dr.Beesetti Venkata Satyavathi,47.33389261609491,Andhra Pradesh,ANDHRA_PRADESH__ANAKAPALLE,Anakapalle,BJP,C.M.RAMESH,57.50023390365584,Andhra Pradesh,Anakapalle,True
Andhra Pradesh,ANDHRA_PRADESH__ANANTAPUR,ANDHRA_PRADESH__ANANTHAPUR,Anantapur,YSRCP,TALARI RANGAIAH,51.79206529658662,Andhra Pradesh,ANDHRA_PRADESH__ANANTHAPUR,Ananthapur,TDP,AMBICA G LAKSHMINARAYANA VALMIKI,53.334495025089765,Andhra Pradesh,Ananthapur,True
Andhra Pradesh,ANDHRA_PRADESH__ARUKU,ANDHRA_PRADESH__ARAKU,Aruku,YSRCP,GODDETI. MADHAVI,52.31922928737745,Andhra Pradesh,ANDHRA_PRADESH__ARAKU,Araku,YSRCP,GUMMA THANUJA RANI,40.96415030336341,Andhra Pradesh,Araku,False
Andhra Pradesh,ANDHRA_PRADESH__BAPATLA,ANDHRA_PRADESH__BAPATLA,Bapatla,YSRCP,NANDIGAM SURESH,47.23732956860367,Andhra Pradesh,ANDHRA_PRADESH__BAPATLA,Bapatla,TDP,KRISHNA PRASAD TENNETI,55.16015821702178,Andhra Pradesh,Bapatla,True
Andhra Pradesh,ANDHRA_PRADESH__CHITTOOR,ANDHRA_PRADESH__CHITTOOR,Chittoor,YSRCP,N. REDDEPPA,52.0505171765676,Andhra Pradesh,ANDHRA_PRADESH__CHITTOOR,Chittoor,TDP,DAGGUMALLA PRASADA RAO,54.83787302032551,Andhra Pradesh,Chittoor,True
Andhra Pradesh,ANDHRA_PRADESH__ELURU,ANDHRA_PRADESH__ELURU,Eluru,YSRCP,KOTAGIRI SRIDHAR,50.96748832575383,Andhra Pradesh,ANDHRA_PRADESH__ELURU,Eluru,TDP,PUTTA MAHESH KUMAR,54.00322275114703,Andhra Pradesh,Eluru,True
Andhra Pradesh,ANDHRA_PRADESH__GUNTUR,ANDHRA_PRADESH__GUNTUR,Guntur,TDP,Jayadev Galla,43.501983759953944,Andhra Pradesh,ANDHRA_PRADESH__GUNTUR,Guntur,TDP,DR CHANDRA SEKHAR PEMMASANI,60.682306571411935,Andhra Pradesh,Guntur,False
Andhra Pradesh,ANDHRA_PRADESH__HINDUPUR,ANDHRA_PRADESH__HINDUPUR,Hindupur,YSRCP,KURUVA GORANTLA MADHAV,52.790034321643255,Andhra Pradesh,ANDHRA_PRADESH__HINDUPUR,Hindupur,TDP,B K PARTHASARATHI,51.22601298135545,Andhra Pradesh,Hindupur,True
Andhra Pradesh,ANDHRA_PRADESH__KADAPA,ANDHRA_PRADESH__KADAPA,Kadapa,YSRCP,Y.S.Avinash Reddy,63.79027911437648,Andhra Pradesh,ANDHRA_PRADESH__KADAPA,Kadapa,YSRCP,Y. S. AVINASH REDDY,45.77567654456401,Andhra Pradesh,Kadapa,False
Andhra Pradesh,ANDHRA_PRADESH__KAKINADA,ANDHRA_PRADESH__KAKINADA,Kakinada,YSRCP,VANGA GEETHAVISWANATH,43.54495790321992,Andhra Pradesh,ANDHRA_PRADESH__KAKINADA,Kakinada,JNP,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),54.8727142291001,Andhra Pradesh,Kakinada,True
Andhra Pradesh,ANDHRA_PRADESH__KURNOOL,ANDHRA_PRADESH__KURNOOLU,Kurnool,YSRCP,AYUSHMAN DOCTOR SANJEEV KUMAR,50.95079048107129,Andhra Pradesh,ANDHRA_PRADESH__KURNOOLU,Kurnoolu,TDP,BASTIPATI NAGARAJU PANCHALINGALA,49.51336809991133,Andhra Pradesh,Kurnoolu,True
Andhra Pradesh,ANDHRA_PRADESH__MACHILIPATNAM,ANDHRA_PRADESH__MACHILIPATNAM,Machilipatnam,YSRCP,BALASHOWRY VALLABHANENI,46.02794539479499,Andhra Pradesh,ANDHRA_PRADESH__MACHILIPATNAM,Machilipatnam,JNP,BALASHOWRY VALLABHANENI,55.216218852991304,Andhra Pradesh,Machilipatnam,True
Andhra Pradesh,ANDHRA_PRADESH__NANDYAL,ANDHRA_PRADESH__NANDYAL,Nandyal,YSRCP,POCHA . BRAHMANANDA REDDY,55.491639166710925,Andhra Pradesh,ANDHRA_PRADESH__NANDYAL,Nandyal,TDP,DR BYREDDY SHABARI,49.92324222560519,Andhra Pradesh,Nandyal,True
Andhra Pradesh,ANDHRA_PRADESH__NARASARAOPET,ANDHRA_PRADESH__NARSARAOPET,Narasaraopet,YSRCP,LAVU SRI KRISHNA DEVARAYALU,51.867721334056846,Andhra Pradesh,ANDHRA_PRADESH__NARSARAOPET,Narsaraopet,TDP,LAVU SRIKRISHNA DEVARAYALU,53.88188206077879,Andhra Pradesh,Narsaraopet,True
Andhra Pradesh,ANDHRA_PRADESH__NARSAPURAM,ANDHRA_PRADESH__NARSAPURAM,Narsapuram,YSRCP,KANUMURU RAGHU RAMA KRISHNA RAJU,38.14379768675206,Andhra Pradesh,ANDHRA_PRADESH__NARSAPURAM,Narsapuram,BJP,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),57.46071555037213,Andhra Pradesh,Narsapuram,True
Andhra Pradesh,ANDHRA_PRADESH__NELLORE,ANDHRA_PRADESH__NELLORE,Nellore,YSRCP,Adala Prabhakara Reddy,53.132157919436594,Andhra Pradesh,ANDHRA_PRADESH__NELLORE,Nellore,TDP,PRABHAKAR REDDY VEMIREDDY,55.69749260167383,Andhra Pradesh,Nellore,True
Andhra Pradesh,ANDHRA_PRADESH__ONGOLE,ANDHRA_PRADESH__ONGOLE,Ongole,YSRCP,MAGUNTA SREENIVASULU REDDY,55.06701590025984,Andhra Pradesh,ANDHRA_PRADESH__ONGOLE,Ongole,TDP,MAGUNTA SREENIVASULU REDDY,49.352207192447835,Andhra Pradesh,Ongole,True
