candidate_id,year,poll_type,source,source_file,source_page,source_table_index,source_table_title,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,raw_row_label,raw_column_label,raw_cell_value,extraction_confidence,evidence_text,candidate_status,notes
4b2a1239-3b77-4cff-8e48-9e023574694a,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,109,244,2019_pre_poll_table_244.csv,state,Uttar Pradesh,electorate,all voters,INC,7.9,001: Congress,(%),7.9,medium,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 402 24.8 4: Don’t like at all 617 38.1 8: No response 370 22.8 Total 1621 100.0 Q29: If Vidhan Sabha or State elections are held in Uttar Pradesh tomorrow, which party will you vote for? N ",needs_review,party_marginal_percent
b5739c93-85e1-4051-b563-1085540dbfe6,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,109,244,2019_pre_poll_table_244.csv,state,Uttar Pradesh,electorate,all voters,BJP,37.2,002: BJP,(%),37.2,high,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 402 24.8 4: Don’t like at all 617 38.1 8: No response 370 22.8 Total 1621 100.0 Q29: If Vidhan Sabha or State elections are held in Uttar Pradesh tomorrow, which party will you vote for? N ",auto_accepted_candidate,party_marginal_percent
9e06156c-e86a-406c-aa60-82db2d25758b,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,109,244,2019_pre_poll_table_244.csv,state,Uttar Pradesh,electorate,all voters,BSP,13.4,003: BSP,(%),13.4,high,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 402 24.8 4: Don’t like at all 617 38.1 8: No response 370 22.8 Total 1621 100.0 Q29: If Vidhan Sabha or State elections are held in Uttar Pradesh tomorrow, which party will you vote for? N ",auto_accepted_candidate,party_marginal_percent
b5600c2d-1b3a-418b-9393-29c3232702ec,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,109,244,2019_pre_poll_table_244.csv,state,Uttar Pradesh,electorate,all voters,TMC,40.0,007: AITC,(%),0.4,high,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 402 24.8 4: Don’t like at all 617 38.1 8: No response 370 22.8 Total 1621 100.0 Q29: If Vidhan Sabha or State elections are held in Uttar Pradesh tomorrow, which party will you vote for? N ",auto_accepted_candidate,party_marginal_percent
8995d238-714c-4b8e-9004-7801813907f7,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,109,244,2019_pre_poll_table_244.csv,state,Uttar Pradesh,electorate,all voters,AAP,10.0,012: AAP,(%),0.1,high,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 402 24.8 4: Don’t like at all 617 38.1 8: No response 370 22.8 Total 1621 100.0 Q29: If Vidhan Sabha or State elections are held in Uttar Pradesh tomorrow, which party will you vote for? N ",auto_accepted_candidate,party_marginal_percent
f5c6d104-7e72-4030-8c4f-ed6fd8045581,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,109,244,2019_pre_poll_table_244.csv,state,Uttar Pradesh,electorate,all voters,SP,26.9,017: SP,(%),26.9,high,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 402 24.8 4: Don’t like at all 617 38.1 8: No response 370 22.8 Total 1621 100.0 Q29: If Vidhan Sabha or State elections are held in Uttar Pradesh tomorrow, which party will you vote for? N ",auto_accepted_candidate,party_marginal_percent
92711a9e-fe72-45ae-8cb6-4a57a797d2da,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,109,244,2019_pre_poll_table_244.csv,state,Uttar Pradesh,electorate,all voters,Others,13.0,998: No response/Can’t say,(%),13.0,high,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 402 24.8 4: Don’t like at all 617 38.1 8: No response 370 22.8 Total 1621 100.0 Q29: If Vidhan Sabha or State elections are held in Uttar Pradesh tomorrow, which party will you vote for? N ",auto_accepted_candidate,party_marginal_percent
31d3b46e-c8e2-44ad-b1e5-c747a1c641d4,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,806,2019_post_poll_table_806.csv,state,West Bengal,electorate,all voters,AAP,35.1,01: Arvind Kejriwal (AAP),(%),35.1,medium,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",needs_review,party_marginal_percent
14d6c7da-df49-4771-9049-1c167f55ccb4,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,806,2019_post_poll_table_806.csv,state,West Bengal,electorate,all voters,BJP,2.0,02: Vijender Gupta (BJP),(%),2.0,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
32678ddc-4f99-41ee-b3f5-8b6b4e4ad0e6,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,806,2019_post_poll_table_806.csv,state,West Bengal,electorate,all voters,INC,5.2,03: Sheila Dikshit (Cong),(%),5.2,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
