year,poll_type,source_file,page,candidate_score,matched_group_types,matched_keywords,likely_table_type,page_text_excerpt,recommended_action
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,13,37,gender;age;religion;caste;rural_urban;welfare_beneficiary;issue_preference;electorate,age;all india;caste;hindu;housing;india;issue;men;muslim;nationalism;religion;religious;rural;sc;scheme;st;welfare,voter_group_party_table,"All India Postpoll NES 2019-Survey Findings N (%) Valid (%) 41: PNB/Nirav Modi Scam 3 .0 .0 43: Agusta Westland issue 0 .0 .0 44: Farmer or farming problems (generally) 266 1.1 1.2 45: Low price for crops, produce/MSP 100 .4 .4 46: Lack of irrigation facilities 72 .3 .3 47: Rural distress/agricultural crisis 12 .1 .1 48: Debt due to agriculture/loan waiver 49 .2 .2 49: Stray cattle issue/cows eati",auto_extract
2024,pre_poll,pre-poll/2024/prepoll_report_2024.pdf,12,36,gender;age;religion;caste;class;education;rural_urban;issue_preference,age;city;corruption;development;education;hindu;inc;india;inflation;issue;men;poor;religious;sc;st;unemployment;women,voter_group_party_table,Social and Political Barometer Prepoll Study 2024-Survey Findings N (%) 04: Hindutva 446 4.5 05: Reservation 149 1.5 06: India‟s international image 775 7.7 07: Citizenship amendment act 117 1.2 08: Handling of Corruption/scam 162 1.6 09: Control over Price rise /inflation 91 .9 10: Tackling issues of development 383 3.8 11: Creating better infrastructure for roads or transportation etc. 491 4.9 1,auto_extract
2024,pre_poll,pre-poll/2024/prepoll_report_2024.pdf,11,35,gender;age;religion;caste;class;education;issue_preference,age;bjp;corruption;education;inc;income;inflation;issue;men;nda;poor;religious;sc;st;unemployment;women,voter_group_party_table,Social and Political Barometer Prepoll Study 2024-Survey Findings N (%) Valid (%) Missing 99: Not applicable 5631 56.2 Total 10019 100.0 b: (If no in Q22) Why should the BJP-led NDA government at the Centre not get another chance? N (%) Valid (%) Valid 01: Increasing unemployment 1220 12.2 31.6 02: Falling/decreasing income 414 4.1 10.7 03: Dealing with corruption/scams 253 2.5 6.6 04: Favouring b,auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,12,34,gender;age;caste;class;education;rural_urban;issue_preference;electorate,age;all india;bjp;city;college;corruption;development;india;men;party;poor;sc;school;st;vote,voter_group_party_table,"All India Postpoll NES 2019-Survey Findings N (%) Valid (%) 09: Hunger, starvation, Lack of food 65 .3 .3 10: GST 196 .8 .9 11: Demonetization 188 .8 .8 12: Development 3203 13.2 14.3 13: Lack of development 513 2.1 2.3 14: Good governance/good delivery 199 .8 .9 15: Poor governance 48 .2 .2 16: Condition of roads/highways 199 .8 .9 17: Transport services – buses, trains, flights 67 .3 .3 18: Cond",auto_extract
2024,pre_poll,pre-poll/2024/prepoll_report_2024.pdf,25,33,gender;age;religion;caste;issue_preference,age;bjp;corruption;development;hindu;india;issue;men;others;party;sc;st;unemployment;vote,voter_group_party_table,"Social and Political Barometer Prepoll Study 2024-Survey Findings Q51: Recently, many leaders from different parties have joined the BJP. Some people say that these leaders like the party and hence joined it while others believe that they are using BJP as a shield to protect themselves from enforcement agencies like the ED or CBI. What is your opinion? N (%) 01: The leaders like the party 2656 26.",auto_extract
2019,pre_poll,pre-poll/2019/prepoll_2019_results.pdf,18,32,gender;age;caste;class;education;rural_urban;issue_preference,age;bjp;city;college;congress;development;education;men;party;poor;sc;school;st;vote,voter_group_party_table,"NES 2019 Prepoll-Survey findings.docx N (%) 10: GST 62 .6 11: Demonetization 47 .5 12: Development /vikaas (generally) 1492 14.9 13: Lack of development 147 1.5 14: Good governance/good delivery of services 71 .7 15: Poor governance/poor delivery of services 35 .4 16: Condition of roads/highways 78 .8 17: Transport services – buses, trains, flights 19 .2 18: Condition of hospitals/health facilitie",auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,86,31,gender;age;religion;caste;electorate,age;all india;caste;christian;dalit;hindu;india;men;muslim;obc;religion;sc;sikh;st;upper caste,voter_group_party_table,All India Postpoll NES 2019-Survey Findings N (%) 700: Ashrafs (Sayyad Shaikh) 651 2.7 710: Mughal (Khan) 282 1.2 720: Rajput (Peasant Proprietors) 91 .4 730: Other Upper Caste Muslim 62 .3 732: Muslim Middle for Kashmir 60 .2 740: Peasants/Traders 148 .6 750: Craftsmen/Weavers 481 2.0 760: Service 142 .6 770: Ex-Untouchables/Muslim Dalits 69 .3 780: Other Muslim OBC 249 1.0 790: Manipuri Muslim 5,auto_extract
2024,pre_poll,pre-poll/2024/prepoll_report_2024.pdf,13,31,gender;age;religion;caste;education;issue_preference,age;bjp;education;hindu;india;issue;men;muslim;others;religion;religious;sc;st;women,voter_group_party_table,Social and Political Barometer Prepoll Study 2024-Survey Findings N (%) 12: Education 105 1.0 13: Issue related to Farmers 278 2.8 14: Promoting communalism/religious discrimination 319 3.2 15: Lack of handling of crimes against women 85 .8 16: Bad situation of law and order 50 .5 17: CAA (Citizenship Amendment Act) 124 1.2 96: Like any work 526 5.2 97: Other issue not mentioned above 96 1.0 98: C,auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,11,30,gender;age;caste;class;issue_preference;electorate,age;all india;caste;community;india;issue;men;others;poor;st;unemployment;vote;voted,voter_group_party_table,All India Postpoll NES 2019-Survey Findings N (%) Valid (%) Missing 9: N.A. 1855 7.7 Total 24235 100.0 e: (If Yes in Q7d) Whose advice did you consider the most? N (%) Valid (%) Valid 01: Local Political Leader 128 .5 4.2 02: Husband/wife 941 3.9 30.9 03: Other family members 959 4.0 31.5 04: Caste/community leaders 60 .2 2.0 05: Friends/neighbors 186 .8 6.1 06: Co-workers/colleagues 7 .0 .2 07: S,auto_extract
2019,pre_poll,pre-poll/2019/prepoll_2019_results.pdf,17,30,gender;age;caste;class;issue_preference,age;development;inc;income;issue;men;nda;party;poor;rich;st;unemployment;vote,voter_group_party_table,NES 2019 Prepoll-Survey findings.docx N (%) Valid (%) 093: MNM 1 .0 .0 101: RLD 9 .1 .1 124: NTK 0 .0 .0 600: NDA 2 .0 .0 900: Independent 1 .0 .0 901: No party 1 .0 .0 902: NOTA 2 .0 .0 998: No response/Can’t say 1608 16.1 17.7 Total 9064 90.6 100.0 Missing 999: Didn't vote 946 9.4 Total 10010 100.0 Q12: What will be the most important issue for you while voting in the coming Lok Sabha election? ,auto_extract
2024,post_poll,post-poll/2024/postpoll_study_2024.pdf,8,30,gender;age;religion;caste;education;rural_urban;welfare_beneficiary;issue_preference,age;city;corruption;development;education;inc;india;inflation;leadership;men;ration;religious;st;unemployment,issue_preference_table,Social and Political Barometer Posttpoll Study 2024-Survey Findings N (%) 09: Dealing with corruption 440 2.2 10: Controlling price rise 112 .6 11: Taking initiative for development 984 5.0 12: Creating better infrastructure 354 1.8 13: Satisfactory economic growth 93 .5 14: Running the administration efficiently 135 .7 15: Improving in supply of drinking water 238 1.2 16: Improvement in electrici,auto_extract
2024,pre_poll,pre-poll/2024/prepoll_report_2024.pdf,18,30,gender;age;religion;caste;class;welfare_beneficiary;issue_preference,age;bjp;corruption;hindu;inc;income;men;nationalism;sc;scheme;st;unemployment;welfare,voter_group_party_table,"Social and Political Barometer Prepoll Study 2024-Survey Findings Q34: The BJP is making many promises as Modi sarkar ki Guarantee. Do you think it is very likely, somewhat likely or not much likely or not at all likely that the BJP, if returned to power, will fulfill those promises? N (%) 01: Very likely 2270 22.7 02: Somewhat 3262 32.6 03: Not much 1595 15.9 04: Not at all 1904 19.0 98: Don‟t kn",auto_extract
2019,pre_poll,pre-poll/2019/prepoll_2019_results.pdf,19,29,gender;age;religion;caste;rural_urban;welfare_beneficiary;issue_preference,age;corruption;housing;issue;men;religion;religious;rural;sc;scheme;st;vote;welfare,voter_group_party_table,NES 2019 Prepoll-Survey findings.docx N (%) 33: Vote against a coalition government 1 .0 34: Vote for a coalition government 7 .1 35: Vote for a candidate/any particular candidate 17 .2 36: Corruption (generally) 336 3.4 37: Corrupt politicians 28 .3 38: Corruption of government officers 21 .2 39: Scams (generally) 15 .2 40: Rafale aircraft scam 24 .2 41: PNB/Nirav Modi Scam 3 .0 43: Agusta Westla,auto_extract
2024,post_poll,post-poll/2024/postpoll_study_2024.pdf,37,29,age;religion;caste;rural_urban,age;caste;christian;city;hindu;muslim;obc;others;religion;sc;sikh;st;town;village,voter_group_party_table,"Social and Political Barometer Posttpoll Study 2024-Survey Findings N (%) Total 19663 100.0 Z8: And what caste group do you belong to - SC, ST, OBC or General? N (%) 01: Scheduled Caste (SC) 3323 16.9 02: Scheduled Tribe (ST) 1594 8.1 03: Other Backward Caste (OBC) 7716 39.2 04: General 5272 26.8 97: Others 633 3.2 98: Don’t know 1124 5.7 Total 19663 100.0 Z9: Which religion do you belong to? N (%",auto_extract
2024,pre_poll,pre-poll/2024/prepoll_report_2024.pdf,30,29,age;religion;caste;rural_urban,age;caste;christian;city;hindu;muslim;obc;others;religion;sc;sikh;st;town;village,voter_group_party_table,"Social and Political Barometer Prepoll Study 2024-Survey Findings Z7: And what caste group do you belong to - SC, ST, OBC or General? N (%) 01: Scheduled Caste (SC) 1634 16.3 02: Scheduled Tribe (ST) 768 7.7 03: Other Backward Caste (OBC) 4621 46.1 04: Others (General) 2438 24.3 98: Don‟t know 557 5.6 Total 10019 100.0 Z8: Which religion do you belong to? N (%) 01: Hindu 8028 80.1 02: Muslim 1468 ",auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,288,28,gender;age;caste;issue_preference;electorate,age;all india;bjp;congress;inc;india;issue;men;party;st;vote,voter_group_party_table,"All India Postpoll NES 2019-Survey Findings N (%) Valid (%) Total 548 100.0 c: (If heard of Forest Rights Act) How important was the Forest Rights Act issue for you while voting in the Lok Sabha election – very important, somewhat important, not much important or not at all important? N (%) Valid (%) Valid 1: Very important 47 8.6 25.1 2: Somewhat important 54 9.8 28.9 3: Not much important 14 2.6",auto_extract
