col_0,col_1,N,(%)
,02: Bengali,313,1.3
,03: Bodo,18,.1
,04: Dogri,46,.2
,05: English,4176,17.2
,06: Gujarati,98,.4
,07: Hindi,2320,9.6
,08: Kannada,198,.8
,09: Kashmiri,63,.3
,10: Konkani,0,.0
,11: Maithili,1,.0
,12: Malayalam,106,.4
,13: Manipuri/Meithei,8,.0
,14: Marathi,188,.8
,15: Nepali,3,.0
,16: Oriya,14,.1
,17: Punjabi,51,.2
,18: Sanskrit,2,.0
,21: Tamil,736,3.0
,22: Telugu,120,.5
,23: Urdu,3,.0
,30: Haryanavi,1,.0
,31: Marwari,3,.0
,32: Bhojpuri,8,.0
,38: Bhili,2,.0
,42: Bagheli,1,.0
,43: Nimari,2,.0
,48: Oraon,1,.0
,49: Bus,1,.0
