col_0,col_1,N,(%),Valid (%)
Valid,001: Congress,1458,14.6,16.1
,002: BJP,3473,34.7,38.3
,003: BSP,215,2.1,2.4
,004: CPI-M,91,.9,1.0
,005: CPI,6,.1,.1
,006: NCP,60,.6,.7
,007: AITC,286,2.9,3.2
,008: JD-U,137,1.4,1.5
,009: LJP,69,.7,.8
,010: RJD,135,1.3,1.5
,011: CPI-ML (L),1,.0,.0
,012: AAP,63,.6,.7
,013: INLD,6,.1,.1
,014: JMM,8,.1,.1
,015: JD-S,34,.3,.4
,016: IUML,0,.0,.0
,017: SP,334,3.3,3.7
,018: Shiv Sena,73,.7,.8
,021: AIMIM,2,.0,.0
,022: TDP,121,1.2,1.3
,023: YSRCP,126,1.3,1.4
,024: Jana Sena,1,.0,.0
