col_0,col_1,N,(%)
,01: Scientists,29,.3
,02: Engineers,60,.6
,03: Doctors,18,.2
,04: Lawyers,19,.2
,05: Accountants,22,.2
,06: College/Univ. Teachers,39,.4
,07: Writers,3,.0
,08: Modern Artists,16,.2
,09: Other higher professionals,10,.1
,10: Science and engineering technicians,7,.1
,11: Computer operators,29,.3
,12: Alternative doctors,9,.1
,13: Medical technicians,20,.2
,14: School teachers,173,1.7
,15: Nursery teachers,55,.6
,16: Folk and commercial artists,7,.1
,18: Priests,35,.4
,19: Other lower professionals,49,.5
,21: Elected Officials: District level elected officials,6,.1
,22: Managers,26,.3
,23: Officials Class I,8,.1
,24: Officials Class II,34,.3
