col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,Valid (%),col_11
Valid,,"00: No one, I voted on my own",,10297,,,52.4,,,56.0,
,,01: Husband/wife,,1475,,,7.5,,,8.0,
,,02: Parents,,698,,,3.5,,,3.8,
,,03: Other family members,,2401,,,12.2,,,13.1,
,,04: Caste/ Community leaders,,975,,,5.0,,,5.3,
,,"05: Religious leaders/Guru, Baba, Maulvi, Padre",,237,,,1.2,,,1.3,
,,06: Friends/neighbours,,597,,,3.0,,,3.2,
,,07: Co-workers/colleagues,,291,,,1.5,,,1.6,
,,08: Local political leader,,593,,,3.0,,,3.2,
,,97: Others,,449,,,2.3,,,2.4,
,,98: Don’t Know,,379,,,1.9,,,2.1,
,,Total,,18393,,,93.5,,,100.0,
Missing,,99: Not applicable,,1270,,,6.5,,,,
Total,,,,19663,,,100.0,,,,
