col_0,col_1,col_2,N,(%),col_5,Valid,col_7
,,,,,,(%),
Valid,,01: Congress/INC,2045,10.4,23.4,,
,,02: BJP/ Bharatiya Janata Party,3784,19.2,43.2,,
,,03: BSP/ Bahujan Samaj Party,273,1.4,3.1,,
,,04: CPI/ Communist Party of India,117,.6,1.3,,
,,05: CPI-M/ Communist Party of India Marxist,167,.9,1.9,,
,,06: CPI-ML/ Communist Party of India Marxist- Leninist,3,.0,.0,,
,,07: NCP (Ajit Pawar)/ Nationalist Congress Party,29,.1,.3,,
,,08: NCP (Sharad Pawar)/ Nationalist Congress Party,141,.7,1.6,,
,,09: JDU/ Janata Dal United,47,.2,.5,,
,,10: AAP/ Aam Admi Party,100,.5,1.1,,
,,11: Shivsena (Eknath Shinde Group),25,.1,.3,,
