col_0,Watch news on T.V.,col_2,col_3,col_4,col_5,col_6,Read the newspaper,col_8,col_9,col_10,col_11,col_12,Listen to news on radio,col_14,col_15,col_16,col_17,col_18,col_19,Read/watch political,col_21,col_22,col_23
,,,,,,,,,,,,,,,,,,,,"material on WhatsApp,",,,
,,,,,,,,,,,,,,,,,,,,"Facebook,",,,
,,,,,,,,,,,,,,,,,,,,"Twitter, Youtube etc",,,
,,N,,,(%),,,N,,,(%),,,N,,,(%),,,N,,(%),
01: Daily,8252,,,42.0,,,3275,,,16.7,,,1352,,,6.9,,,5777,,,29.4,
02: Sometimes,4684,,,23.8,,,4202,,,21.4,,,1930,,,9.8,,,3540,,,18.0,
03: Rarely,2581,,,13.1,,,3760,,,19.1,,,2647,,,13.5,,,2442,,,12.4,
04: Never,2542,,,12.9,,,5743,,,29.2,,,9400,,,47.8,,,4304,,,21.9,
98: No Response,935,,,4.8,,,1675,,,8.5,,,2832,,,14.4,,,1665,,,8.5,
99: No Account,668,,,3.4,,,1008,,,5.1,,,1502,,,7.6,,,1936,,,9.8,
Total,19663,,,100.0,,,19663,,,100.0,,,19663,,,100.0,,,19663,,,100.0,
