col_0,col_1,Facebook,col_3,col_4,col_5,col_6,col_7,Twitter,col_9,col_10,col_11,col_12,col_13,WhatsApp,col_15,col_16,col_17,col_18,col_19,Instagram,col_21,col_22,col_23,col_24,col_25,YouTube,col_27,col_28,col_29,col_30
,,N,,,(%),,,N,,,(%),,,N,,,(%),,,N,,,(%),,,N,,,(%),
01: Daily,4847,,,24.7,,,1275,,,6.5,,,6900,,,35.1,,,3615,,,18.4,,,6355,,,32.3,,
02: Once or twice a day,2381,,,12.1,,,1136,,,5.8,,,2663,,,13.5,,,1909,,,9.7,,,3048,,,15.5,,
03: Some days a week,1472,,,7.5,,,1154,,,5.9,,,1198,,,6.1,,,1369,,,7.0,,,1370,,,7.0,,
04: Some days a month,942,,,4.8,,,1081,,,5.5,,,914,,,4.6,,,1111,,,5.6,,,904,,,4.6,,
05: Very rarely,1077,,,5.5,,,1480,,,7.5,,,842,,,4.3,,,1285,,,6.5,,,966,,,4.9,,
06: Never,2617,,,13.3,,,4374,,,22.2,,,2136,,,10.9,,,3323,,,16.9,,,2152,,,10.9,,
97: No account,4373,,,22.2,,,6874,,,35.0,,,3347,,,17.0,,,5097,,,25.9,,,3253,,,16.5,,
98: No response,1954,,,9.9,,,2288,,,11.6,,,1663,,,8.5,,,1955,,,9.9,,,1615,,,8.2,,
Total,19663,,,100.0,,,19663,,,100.0,,,19663,,,100.0,,,19663,,,100.0,,,19663,,,100.0,,
