col_0,col_1,col_2,col_3,N,col_5,col_6,(%),col_8,col_9,Valid (%),col_11
Valid,,01: Increasing unemployment,,2064,,10.5,,,27.2,,
,,02: Falling/decreasing income,,559,,2.8,,,7.4,,
,,03: Price rise,,2310,,11.7,,,30.4,,
,,04: Favouring big business/particular section of people,,368,,1.9,,,4.8,,
,,05: Increasing corruption,,462,,2.3,,,6.1,,
,,06: Poor condition of roads/transport infrastructure,,61,,.3,,,.8,,
,,07: Unsatisfactory economic growth,,143,,.7,,,1.9,,
,,08: Poor governance,,445,,2.3,,,5.9,,
,,09: Unsatisfactory health care infrastructure/services,,50,,.3,,,.7,,
,,10: Unsatisfactory educational infrastructure,,35,,.2,,,.5,,
,,11: Unsatisfactory work in the agriculture sector,,92,,.5,,,1.2,,
,,12: Improper treatment to farmers,,139,,.7,,,1.8,,
,,13: Growing communalism/religious discrimination,,377,,1.9,,,5.0,,
,,"14: Intolerance, curtailment of civil liberties",,81,,.4,,,1.1,,
,,15: Poor law and order situation,,75,,.4,,,1.0,,
,,97: Any other issue,,87,,.4,,,1.2,,
,,98: Don’t Know/Can’t Say,,248,,1.3,,,3.3,,
,,Total,,7593,,38.6,,,100.0,,
Missing,,99: Not applicable,,12070,,61.4,,,,,
Total,,,,19663,,100.0,,,,,
