col_0,col_1,N,(%),col_4,Valid,col_6
,,,,,(%),
,02: Good policies and welfare schemes,1019,5.2,11.2,,
,03: Better for strengthening Indian civilisation,303,1.5,3.3,,
,04: For protecting religious interests/Construction of Ram temple,475,2.4,5.2,,
,05: Maintaining law and order/national security,283,1.4,3.1,,
,"06: Upliftment of poor, SCs, STs and OBCs",251,1.3,2.7,,
,07: For the development of the country,1926,9.8,21.1,,
,08: Due to leadership of Narendra Modi,1774,9.0,19.5,,
,09: For further economic growth,604,3.1,6.6,,
,10: Better than the available options,474,2.4,5.2,,
,11:Removing Article 370,118,.6,1.3,,
,12: India’s international image,99,.5,1.1,,
,13: Uniform Civil Code,45,.2,.5,,
,97: Any other reason,77,.4,.8,,
,98: Don’t Know/Can’t Say,303,1.5,3.3,,
,Total,9117,46.4,100.0,,
Missing,99: Not Applicable,10546,53.6,,,
Total,,19663,100.0,,,
