col_0,col_1,col_2,col_3,col_4,N,(%),col_7,col_8,Valid (%),col_10
Valid,,01: Higher Professionals,,219,,1.1,,2.3,,
,,02: Lower Professionals,,443,,2.3,,4.6,,
,,03: Government Managerial job,,60,,.3,,.6,,
,,04: Government Administrative job,,105,,.5,,1.1,,
,,05: Government Clerical Jobs,,268,,1.4,,2.8,,
,,06: Government Class IV,,138,,.7,,1.4,,
,,07: Big and Medium Traders,,490,,2.5,,5.1,,
,,08: Small Trader,,758,,3.9,,7.9,,
,,09: Small/Temporary Business,,571,,2.9,,5.9,,
,,10: Service/Service Area,,267,,1.4,,2.8,,
,,11: Skilled Workersr,,801,,4.1,,8.3,,
,,12: Semi-skilled workers,,230,,1.2,,2.4,,
