col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid (%),col_12
,,13: Wage labourer (non-agriculture),,715,,,3.6,,,7.4,,
,,14: Farmer,,2194,,,11.2,,,22.8,,
,,15: Agricultural Labourer,,868,,,4.4,,,9.0,,
,,16: Dairy/Fish/Poultry/Animal Husbandry work,,150,,,.8,,,1.6,,
,,17: Student but doing part time job,,15,,,.1,,,.2,,
,,18: Housewife/househusband but doing part time job,,90,,,.5,,,.9,,
,,19: Student,,86,,,.4,,,.9,,
,,20: Housewife/househusband,,239,,,1.2,,,2.5,,
,,21: Unemployed or looking for employment,,155,,,.8,,,1.6,,
,,97: Any other,,317,,,1.6,,,3.3,,
,,98: Did not tell,,441,,,2.2,,,4.6,,
,,Total,,9619,,,48.9,,,100.0,,
Missing,,99: Not applicable,,10044,,,51.1,,,,,
Total,,,,19663,,,100.0,,,,,
