col_0,col_1,col_2,col_3,N,col_5,col_6,(%),col_8
,,010 Brahmins,911,,,4.6,,
,,020: Bhumihars,171,,,.9,,
,,022: Tyagis: Tyagis,2,,,.0,,
,,025 Rajputs,752,,,3.8,,
,,035 Kayasthas,219,,,1.1,,
,,037: Thondai Mandala Saiva Vellala,2,,,.0,,
,,045 Vaishya,145,,,.7,,
,,055 Jain,26,,,.1,,
,,065 Punjabi Khatris,62,,,.3,,
,,070 Sindhi,4,,,.0,,
,,076: General Upper Castes of Assam,26,,,.1,,
,,077: Karana,16,,,.1,,
,,099 Other Upper Castes,374,,,1.9,,
,,100 Jat (Hindu Only),123,,,.6,,
,,101: Jat (Sikh),0,,,.0,,
,,110: Reddy,98,,,.5,,
,,115: Kamma,44,,,.2,,
