col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,256: Maratha,,48,,,.2,,
,,257: Kunbi,,179,,,.9,,
,,260: Koli,,25,,,.1,,
,,261: Mer,,7,,,.0,,
,,262: Charan: Gharvi,,2,,,.0,,
,,263: Rabari,,20,,,.1,,
,,264: Bharwad,,1,,,.0,,
,,265: Kshatriya,,229,,,1.2,,
,,266: Chaudhary,,6,,,.0,,
,,267: Senai,,6,,,.0,,
,,268: Nadars,,23,,,.1,,
,,269: Ahom,,3,,,.0,,
,,270: Koch,,19,,,.1,,
,,271: Mali,,12,,,.1,,
,,272: Dhangar,,49,,,.3,,
,,273: Vanjari,,15,,,.1,,
,,274: Leva-Patil,,1,,,.0,,
,,275: Gowari,,4,,,.0,,
,,277: Powar,,1,,,.0,,
,,278: Teli,,19,,,.1,,
,,284: Kashyap,,6,,,.0,,
,,286: Kamboj,,1,,,.0,,
,,287: Tomar,,1,,,.0,,
,,288 Mali,,108,,,.6,,
,,299 Other Peasant OBC,,346,,,1.8,,
,,300 Bunkar (Weavers),,43,,,.2,,
,,310 Darzee (Tailors),,26,,,.1,,
,,320 Thatihar (Make Vessel),,16,,,.1,,
,,330 Lakhera (Make Lac Bangles),,46,,,.2,,
,,335 Badhai (Carpenters),,73,,,.4,,
,,345 Kumhar (Potters) (Except those in SC),,120,,,.6,,
,,355 Lohar (Black Smith),,72,,,.4,,
,,365 Sunar (Gold Smith),,39,,,.2,,
