col_0,col_1,01: No,col_3,col_4,col_5,col_6,col_7,02: Yes,col_9,col_10,col_11,col_12,col_13,Total,col_15,col_16,col_17,col_18
,,N,,,(%),,,N,,,(%),,,N,,,(%),
a: Car/Jeep/Van,16334,,,83.1,,,3329,,,16.9,,,19663,,,100.0,,
b: Scooter/Motorcycle/Moped,6058,,,30.8,,,13605,,,69.2,,,19663,,,100.0,,
c: Air conditioner,16420,,,83.5,,,3243,,,16.5,,,19663,,,100.0,,
d: Computer/laptop/i-Pad,14792,,,75.2,,,4871,,,24.8,,,19663,,,100.0,,
e: Electronic Fan/Cooler,2405,,,12.2,,,17258,,,87.8,,,19663,,,100.0,,
f: Washing machine,13372,,,68.0,,,6291,,,32.0,,,19663,,,100.0,,
g: Fridge,9200,,,46.8,,,10463,,,53.2,,,19663,,,100.0,,
h: Television,3410,,,17.3,,,16253,,,82.7,,,19663,,,100.0,,
i: Bank/Post office account,2109,,,10.7,,,17554,,,89.3,,,19663,,,100.0,,
j: ATM/Debit/Credit card,5734,,,29.2,,,13929,,,70.8,,,19663,,,100.0,,
k: LPG gas,2589,,,13.2,,,17074,,,86.8,,,19663,,,100.0,,
