col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid,col_12
,,,,,,,,,,,(%),
Valid,,01: Congress/INC,,2086,,,20.8,,,21.0,,
,,02: BJP/ Bharatiya Janata Party,,3973,,,39.7,,,40.0,,
,,03: BSP/ Bahujan Samaj Party,,298,,,3.0,,,3.0,,
,,04: CPI/ Communist Party of India,,69,,,.7,,,.7,,
,,05: CPI-M/ Communist Party of India Marxist,,124,,,1.2,,,1.2,,
,,06: CPI-ML/ Communist Party of India Marxist- Leninist,,3,,,.0,,,.0,,
,,07: NCP (Ajit Pawar)/ Nationalist Congress Party,,23,,,.2,,,.2,,
,,08: NCP (Sharad Pawar)/ Nationalist Congress Party,,62,,,.6,,,.6,,
,,09: JDU/ Janata Dal United,,123,,,1.2,,,1.2,,
,,10: AAP/ Aam Admi Party,,170,,,1.7,,,1.7,,
,,11: Shivsena (Eknath Shinde Group),,100,,,1.0,,,1.0,,
,,12: Shivsena (Uddhav Thackeray Group),,98,,,1.0,,,1.0,,
,,13: All India Trinamool Congress/AITC,,434,,,4.3,,,4.4,,
,,14: All India Majlis-E-Ittehadul Muslimeen/AIMIM,,5,,,.1,,,.1,,
,,15: Telugu Desam Party/TDP,,266,,,2.7,,,2.7,,
,,16: YuvajanaShramikaRythu Congress Party/ YSRCP,,193,,,1.9,,,1.9,,
,,19: Rashtriya Janata Dal/ RJD,,107,,,1.1,,,1.1,,
,,20: Lok Janshakti Party/LJP,,41,,,.4,,,.4,,
,,21: Lok Janshakti Party Ramvilas/LJP (R),,15,,,.2,,,.2,,
,,22: Janta Congress Chhattisgarh (J) / JCC-J,,3,,,.0,,,.0,,
