col_0,col_1,col_2,col_3,col_4,N,col_6,(%),col_8,col_9,Valid,col_11
,,,,,,,,,,(%),
,,23: Indian National Lok Dal / INLD,,3,,,.0,,.0,,
,,24: Jannayak Janta Party / JJP,,1,,,.0,,.0,,
,,25: Jharkhand Mukti Morcha / JMM,,16,,,.2,,.2,,
,,26: AJSU PARTY,,2,,,.0,,.0,,
,,27: Janata Dal (Secular) / JDS,,37,,,.4,,.4,,
,,28: Indian Union Muslim League / IUML,,85,,,.9,,.9,,
,,29: Maharashtra Navnirman Sena /MNS,,4,,,.0,,.0,,
,,30: BJD/Biju Janata Dal,,159,,,1.6,,1.6,,
,,31: Shiromani Akali Dal / SAD,,33,,,.3,,.3,,
,,33: Bharat Rashtra Samithi /BRS,,71,,,.7,,.7,,
,,34: All India Anna Dravida MunnetraKazhagam / AIADMK,,148,,,1.5,,1.5,,
,,35: Dravida MunnetraKazhagam/ DMK,,288,,,2.9,,2.9,,
,,36: Samajwadi Party / SP,,483,,,4.8,,4.9,,
,,37: Rashtriya Lok Dal / RLD,,7,,,.1,,.1,,
,,38: Jana Sena Party / JSP,,26,,,.3,,.3,,
,,39: Revolutionary Socialist Party / RSP,,1,,,.0,,.0,,
,,41: Kerala Congress (M),,1,,,.0,,.0,,
,,42: Apna Dal (Sonelal),,4,,,.0,,.0,,
,,95: No party/NOTA,,141,,,1.4,,1.4,,
,,96: Independent,,61,,,.6,,.6,,
,,97: Other regional parties,,117,,,1.2,,1.2,,
,,98: No response/Undecided,,50,,,.5,,.5,,
,,Total,,9933,,,99.1,,100.0,,
Missing,,99: I will not vote,,86,,,.9,,,,
Total,,,,10019,,,100.0,,,,
