col_0,col_1,col_2,col_3,N,(%),col_6,col_7,Valid,col_9
,,,,,,,,(%),
Valid,,01: Showcasing of India‟s growing power,,1098,11.0,,29.8,,
,,02: NDA government‟s foreign policy achievement,,605,6.0,,16.4,,
,,03: It will strengthen our foreign trade and economy,,857,8.6,,23.3,,
,,04: Political stunt,,369,3.7,,10.0,,
,,05: Wastage of Money,,437,4.4,,11.9,,
,,97: Any other,,18,.2,,.5,,
,,98: Don‟t know,,296,3.0,,8.0,,
,,Total,,3680,36.7,,100.0,,
Missing,,99: Not applicable,,6339,63.3,,,,
Total,,,,10019,100.0,,,,
