col_0,"Q30: To what extent do you agree with the following statements-Fully agree, Somewhat agree,",col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26
,"Somewhat disagree, Fully disagree",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a: Muslims are as,,,,,,b: Muslims are unnecessarily,,,,,,c: Muslims are as,,,,,,d: There is a need for better,,,,
,,,,trustworthy as anyone,,,,,,appeased/pampered,,,,,,patriotic as any,,,,,,and articulate Muslim leaders,,,,
,,,,else,,,,,,,,,,,,Indian,,,,,,in India,,,,
,,,,N,,,(%),,,N,,,(%),,,N,,,(%),,,N,,,(%),
01: Fully agree,,,3590,,,35.8,,,2211,,,22.1,,,3708,,,37.0,,,3562,,,35.5,,
02: Somewhat agree,,,2549,,,25.4,,,2529,,,25.2,,,2457,,,24.5,,,2139,,,21.3,,
03: Somewhat disagree,,,1190,,,11.9,,,1624,,,16.2,,,1235,,,12.3,,,1174,,,11.7,,
04: Fully disagree,,,1126,,,11.2,,,1604,,,16.0,,,1047,,,10.4,,,1127,,,11.2,,
98: No response,,,1564,,,15.6,,,2051,,,20.5,,,1572,,,15.7,,,2018,,,20.1,,
Total,,,10019,,,100.0,,,10019,,,100.0,,,10019,,,100.0,,,10019,,,100.0,,
