col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,01: Rahul Gandhi,,2229,,,22.3,,
,,02: Narendra Modi,,3876,,,38.7,,
,,03: Arvind Kejriwal,,437,,,4.4,,
,,04: Sharad Pawar,,122,,,1.2,,
,,05: Mamata Banerjee,,286,,,2.9,,
,,06: M. K. Stalin,,129,,,1.3,,
,,07: Akhilesh Yadav,,220,,,2.2,,
,,08: Naveen Patnaik,,34,,,.3,,
,,09: Jagan Reddy,,18,,,.2,,
,,10: Yogi Adityanath,,158,,,1.6,,
,,11: K. Chandra Shekhar Reddy,,21,,,.2,,
,,12: Revanth Reddy,,12,,,.1,,
,,96: No leader is doing so,,608,,,6.1,,
,,97: Any other,,284,,,2.8,,
,,98: Don‟t know,,1584,,,15.8,,
