col_0,col_1,col_2,col_3,Facebook,col_5,col_6,col_7,col_8,col_9,Twitter,col_11,col_12,col_13,col_14,col_15,WhatsApp,col_17,col_18,col_19,col_20,col_21,Instagram,col_23,col_24,col_25,YouTube,col_27,col_28,col_29,col_30
,,,,N,,,(%),,,N,,,(%),,,N,,,(%),,,N,,,(%),N,,,(%),
01: Many times a day,,,1568,,,15.6,,,388,,,3.9,,,3328,,,33.2,,,1729,,,17.3,,3097,,30.9,,
02: Once or twice a day,,,1871,,,18.7,,,575,,,5.7,,,1806,,,18.0,,,1298,,,13.0,,1978,,19.7,,
03: Some days a week,,,766,,,7.6,,,429,,,4.3,,,399,,,4.0,,,471,,,4.7,,505,,5.0,,
04: Some days a month,,,245,,,2.4,,,217,,,2.2,,,161,,,1.6,,,241,,,2.4,,194,,1.9,,
05: Very rarely,,,573,,,5.7,,,482,,,4.8,,,349,,,3.5,,,469,,,4.7,,424,,4.2,,
06: Never,,,1348,,,13.5,,,2074,,,20.7,,,1114,,,11.1,,,1520,,,15.2,,1067,,10.6,,
07: No account,,,2882,,,28.8,,,4962,,,49.5,,,2139,,,21.4,,,3435,,,34.3,,2022,,20.2,,
98: No Response,,,767,,,7.7,,,891,,,8.9,,,722,,,7.2,,,856,,,8.5,,733,,7.3,,
Total,,,10019,,,100.0,,,10019,,,100.0,,,10019,,,100.0,,,10019,,,100.0,,10019,,100.0,,
