col_0,col_1,col_2,col_3,N,col_5,col_6,(%),col_8
,,01: Non-literate (Can‟t read or write at all),1421,,,14.2,,
,,02: Less than Primary,783,,,7.8,,
,,03: Primary pass (Class 5),1057,,,10.6,,
,,04: Middle pass (Class 8),1275,,,12.7,,
,,05: Matriculation pass (Class 10),1524,,,15.2,,
,,06: Studying in Class 11 or 12 or junior college,448,,,4.5,,
,,07: Intermediate pass (Class 12),1310,,,13.1,,
,,08: Diploma (after Class X or XII),213,,,2.1,,
,,09: Graduate/pursuing it/in college,1320,,,13.2,,
,,10: Post Graduate/pursuing it,334,,,3.3,,
,,"11: Higher degree (MPhil, PhD)",41,,,.4,,
,,"12: Professional courses/degree/pursuing it (Law, engineering, etc.).",108,,,1.1,,
,,97: Any other,34,,,.3,,
