col_0,col_1,col_2,col_3,col_4,N,col_6,(%),col_8
,,01: Higher Professionals,,222,,,2.2,
,,02: Lower Professionals,,311,,,3.1,
,,03: Government Managerial job,,50,,,.5,
,,04: Government Administrative job,,42,,,.4,
,,05: Government Clerical Jobs,,129,,,1.3,
,,06: Government Class IV,,100,,,1.0,
,,07: Big and Medium Traders,,203,,,2.0,
,,08: Small Trader,,469,,,4.7,
,,09: Small/Temporary Business,,295,,,2.9,
,,10: Service/Service Area,,206,,,2.1,
,,11: Skilled Workersr,,404,,,4.0,
,,12: Semi-skilled workers,,165,,,1.6,
,,13: Wage labourer (non-agriculture),,524,,,5.2,
,,14: Farmer,,1317,,,13.1,
,,15: Agricultural Labourer,,698,,,7.0,
,,16: Dairy/Fish/Poultry/Animal Husbandry work,,155,,,1.5,
,,17: Student but doing part time job,,130,,,1.3,
,,18: Housewife/househusband but doing part time job,,633,,,6.3,
,,19: Student,,575,,,5.7,
