col_0,col_1,col_2,col_3,01: No,col_5,col_6,col_7,col_8,02: Yes,col_10,col_11,col_12,col_13,col_14,Total,col_16,col_17,col_18,col_19
,,,,,,,,,,,,,,,,,,,
,,,,N,,(%),,,N,,,(%),,,N,,,(%),
,,,,,,,,,,,,,,,,,,,
a: Car/Jeep/Van,,,8138,,,81.2,,1881,,,18.8,,,10019,,,100.0,,
b: Scooter/Motorcycle/Moped,,,3339,,,33.3,,6680,,,66.7,,,10019,,,100.0,,
c: Air conditioner,,,8152,,,81.4,,1867,,,18.6,,,10019,,,100.0,,
d: Computer/laptop/i-Pad,,,7549,,,75.4,,2470,,,24.6,,,10019,,,100.0,,
e: Electronic Fan/Cooler,,,2058,,,20.5,,7961,,,79.5,,,10019,,,100.0,,
f: Washing machine,,,7046,,,70.3,,2973,,,29.7,,,10019,,,100.0,,
g: Fridge,,,4681,,,46.7,,5338,,,53.3,,,10019,,,100.0,,
h: Television,,,2138,,,21.3,,7881,,,78.7,,,10019,,,100.0,,
i: Bank/Post office account,,,1603,,,16.2,,8278,,,83.8,,,9881,,,100.0,,
j: ATM/Debit/Credit card,,,3354,,,33.9,,6527,,,66.1,,,9881,,,100.0,,
k: LPG gas,,,1728,,,17.2,,8291,,,82.8,,,10019,,,100.0,,
l: Internet connection in the house ( Excluding mobile phone),,,7343,,,73.3,,2676,,,26.7,,,10019,,,100.0,,
m: Toilet inside the house,,,2527,,,25.2,,7492,,,74.8,,,10019,,,100.0,,
n: (If village) Pumping set,,,4862,,,69.9,,2090,,,30.1,,,6953,,,100.0,,
o: (If village) Tractor?,,,5821,,,83.7,,1131,,,16.3,,,6953,,,100.0,,
