year,geography_level,state,voter_group_type,voter_group,party_or_alliance,pre_poll_vote_share,post_poll_vote_share,pre_to_post_shift,absolute_shift,shift_direction,notes
2019,national,,age,,INC,15.3,5.2,-10.1,10.1,decreased_post_poll,
2019,national,,age,,INC,17.4,5.2,-12.2,12.2,decreased_post_poll,
2019,national,,age,,INDIA,6.0,,,,unavailable,post-poll row missing
2019,national,,age,,NDA,,5.0,,,unavailable,pre-poll row missing
2019,national,,age,,Others,1.1,,,,unavailable,post-poll row missing
2019,national,,age,,Others,36.0,,,,unavailable,post-poll row missing
2019,national,,age,,Regional,2.6,6.9,4.3,4.3,increased_post_poll,
2019,national,,age,,Regional,41.0,6.9,-34.1,34.1,decreased_post_poll,
2019,national,,age,,UPA,,27.0,,,unavailable,pre-poll row missing
2019,national,,caste,Valid,INC,,7.9,,,unavailable,pre-poll row missing
2019,national,,caste,Valid,INC,,17.8,,,unavailable,pre-poll row missing
2019,national,,caste,Valid,Regional,,35.3,,,unavailable,pre-poll row missing
2019,national,,caste,,BJP,,17.0,,,unavailable,pre-poll row missing
2019,national,,caste,,BJP,,2.0,,,unavailable,pre-poll row missing
2019,national,,caste,,BJP,,5.0,,,unavailable,pre-poll row missing
2019,national,,caste,,BJP,,8.0,,,unavailable,pre-poll row missing
2019,national,,caste,,INC,,74.0,,,unavailable,pre-poll row missing
2019,national,,caste,,INC,,63.0,,,unavailable,pre-poll row missing
2019,national,,caste,,INDIA,,56.0,,,unavailable,pre-poll row missing
2019,national,,caste,,INDIA,,12.0,,,unavailable,pre-poll row missing
2019,national,,caste,,INDIA,,41.5,,,unavailable,pre-poll row missing
2019,national,,caste,,NDA,22.0,100.0,78.0,78.0,increased_post_poll,
2019,national,,caste,,NDA,22.0,7.0,-15.0,15.0,decreased_post_poll,
2019,national,,caste,,NDA,33.0,100.0,67.0,67.0,increased_post_poll,
2019,national,,caste,,NDA,33.0,7.0,-26.0,26.0,decreased_post_poll,
2019,national,,caste,,NDA,100.0,100.0,0.0,0.0,unchanged,
2019,national,,caste,,NDA,100.0,7.0,-93.0,93.0,decreased_post_poll,
2019,national,,caste,,Others,10.0,80.0,70.0,70.0,increased_post_poll,
2019,national,,caste,,Others,10.0,35.0,25.0,25.0,increased_post_poll,
2019,national,,caste,,Others,10.0,8.0,-2.0,2.0,decreased_post_poll,
2019,national,,caste,,Others,10.0,14.0,4.0,4.0,increased_post_poll,
2019,national,,caste,,Others,10.0,87.0,77.0,77.0,increased_post_poll,
2019,national,,caste,,Others,10.0,57.0,47.0,47.0,increased_post_poll,
2019,national,,caste,,Others,10.0,43.6,33.6,33.6,increased_post_poll,
2019,national,,caste,,Others,10.0,5.0,-5.0,5.0,decreased_post_poll,
2019,national,,caste,,Others,10.0,18.0,8.0,8.0,increased_post_poll,
2019,national,,caste,,Others,7.0,80.0,73.0,73.0,increased_post_poll,
2019,national,,caste,,Others,7.0,35.0,28.0,28.0,increased_post_poll,
2019,national,,caste,,Others,7.0,8.0,1.0,1.0,increased_post_poll,
2019,national,,caste,,Others,7.0,14.0,7.0,7.0,increased_post_poll,
2019,national,,caste,,Others,7.0,87.0,80.0,80.0,increased_post_poll,
2019,national,,caste,,Others,7.0,57.0,50.0,50.0,increased_post_poll,
2019,national,,caste,,Others,7.0,43.6,36.6,36.6,increased_post_poll,
2019,national,,caste,,Others,7.0,5.0,-2.0,2.0,decreased_post_poll,
2019,national,,caste,,Others,7.0,18.0,11.0,11.0,increased_post_poll,
2019,national,,caste,,Others,72.0,80.0,8.0,8.0,increased_post_poll,
2019,national,,caste,,Others,72.0,35.0,-37.0,37.0,decreased_post_poll,
2019,national,,caste,,Others,72.0,8.0,-64.0,64.0,decreased_post_poll,
2019,national,,caste,,Others,72.0,14.0,-58.0,58.0,decreased_post_poll,
