year,poll_type,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,sample_size,source_table,source_page,confidence,notes,original_label
2019,post_poll,national,,caste,nan,Regional,9.8,,2019_post_poll_table_005.csv,,medium,auto-cleaned long table,nan | 02: Newspapers
2019,post_poll,national,,caste,nan,Others,80.0,,2019_post_poll_table_005.csv,,medium,auto-cleaned long table,nan | 96: Others
2019,post_poll,national,,caste,nan,Regional,2.4,,2019_post_poll_table_025.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Others,35.0,,2019_post_poll_table_029.csv,,medium,auto-cleaned long table,nan | 96: Others
2019,post_poll,national,,gender,nan,Regional,67.0,,2019_post_poll_table_031.csv,,medium,auto-cleaned long table,"nan | 17: Transport services – buses, trains, flights"
2019,post_poll,national,,gender,nan,BJP,81.0,,2019_post_poll_table_031.csv,,medium,auto-cleaned long table,nan | 28: Vote against Modi or BJP
2019,post_poll,national,,gender,nan,Others,29.0,,2019_post_poll_table_031.csv,,medium,auto-cleaned long table,nan | 32: Vote against any other party or leader
2019,post_poll,national,,caste,nan,Regional,100.0,,2019_post_poll_table_032.csv,,medium,auto-cleaned long table,"nan | 45: Low price for crops, produce/MSP"
2019,post_poll,national,,caste,nan,Others,8.0,,2019_post_poll_table_032.csv,,medium,auto-cleaned long table,nan | 50: Other agricultural problems
2019,post_poll,national,,gender,nan,INDIA,8.0,,2019_post_poll_table_033.csv,,medium,auto-cleaned long table,nan | 87: Improving India’s image in the world
2019,post_poll,national,,caste,nan,INC,74.0,,2019_post_poll_table_047.csv,,medium,auto-cleaned long table,nan | 08: P Chidambaram (INC)
2019,post_poll,national,,caste,nan,INDIA,56.0,,2019_post_poll_table_047.csv,,medium,auto-cleaned long table,nan | 14: Jyotiraditya Scindia
2019,post_poll,national,,caste,nan,Others,14.0,,2019_post_poll_table_047.csv,,medium,auto-cleaned long table,nan | 23: Nitin Gadkari
2019,post_poll,national,,caste,nan,BJP,17.0,,2019_post_poll_table_047.csv,,medium,auto-cleaned long table,nan | 24: Any other BJP leader
2019,post_poll,national,,caste,nan,NDA,100.0,,2019_post_poll_table_047.csv,,medium,auto-cleaned long table,nan | 42: Sarabananda Sonowal (Assam)
2019,post_poll,national,,gender,nan,Regional,2.4,,2019_post_poll_table_057.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,other,Valid,INC,4.0,,2019_post_poll_table_066.csv,,medium,auto-cleaned long table,Valid | 001: INC
2019,post_poll,national,,other,Valid,Others,23.7,,2019_post_poll_table_070.csv,,medium,auto-cleaned long table,Valid | 1: Would have voted for some other party
2019,post_poll,national,,gender,nan,Regional,70.0,,2019_post_poll_table_082.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,gender,nan,Regional,1.9,,2019_post_poll_table_084.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,gender,nan,Others,10.0,,2019_post_poll_table_087.csv,,medium,auto-cleaned long table,nan | 5: Other
2019,post_poll,national,,gender,nan,Regional,1.5,,2019_post_poll_table_087.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,gender,nan,Others,20.0,,2019_post_poll_table_089.csv,,medium,auto-cleaned long table,nan | 5: Other
2019,post_poll,national,,gender,nan,Regional,1.6,,2019_post_poll_table_089.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,gender,nan,Others,42.0,,2019_post_poll_table_091.csv,,medium,auto-cleaned long table,nan | 5: Other
2019,post_poll,national,,gender,nan,Others,30.0,,2019_post_poll_table_094.csv,,medium,auto-cleaned long table,nan | 5: Other
2019,post_poll,national,,gender,nan,Regional,1.7,,2019_post_poll_table_094.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,gender,nan,Others,40.0,,2019_post_poll_table_096.csv,,medium,auto-cleaned long table,nan | 5: Other
2019,post_poll,national,,gender,nan,Regional,2.6,,2019_post_poll_table_096.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,gender,nan,Others,22.0,,2019_post_poll_table_098.csv,,medium,auto-cleaned long table,nan | 5: Other
2019,post_poll,national,,gender,nan,Others,14.0,,2019_post_poll_table_100.csv,,medium,auto-cleaned long table,nan | 5: Other
2019,post_poll,national,,gender,nan,Others,90.0,,2019_post_poll_table_103.csv,,medium,auto-cleaned long table,nan | 5: Other
2019,post_poll,national,,gender,nan,Others,20.0,,2019_post_poll_table_105.csv,,medium,auto-cleaned long table,nan | 5: Other
2019,post_poll,national,,gender,nan,Regional,2.1,,2019_post_poll_table_105.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,1.5,,2019_post_poll_table_106.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,1.6,,2019_post_poll_table_107.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,2.9,,2019_post_poll_table_108.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,3.7,,2019_post_poll_table_109.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,1.9,,2019_post_poll_table_110.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,2.0,,2019_post_poll_table_111.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,2.1,,2019_post_poll_table_112.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,1.8,,2019_post_poll_table_114.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,religion,nan,Others,100.0,,2019_post_poll_table_115.csv,,medium,auto-cleaned long table,nan | 6: Others
2019,post_poll,national,,caste,nan,Regional,1.9,,2019_post_poll_table_116.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,gender,nan,Regional,2.0,,2019_post_poll_table_117.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,religion,Valid,INDIA,27.9,,2019_post_poll_table_118.csv,,medium,auto-cleaned long table,Valid | 1: Indian
2019,post_poll,national,,religion,nan,Others,60.0,,2019_post_poll_table_118.csv,,medium,auto-cleaned long table,nan | 4: Others
2019,post_poll,national,,religion,nan,Regional,90.0,,2019_post_poll_table_118.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.5,,2019_post_poll_table_119.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.1,,2019_post_poll_table_120.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.4,,2019_post_poll_table_122.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.7,,2019_post_poll_table_123.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.3,,2019_post_poll_table_124.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.5,,2019_post_poll_table_126.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,5.0,,2019_post_poll_table_127.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.2,,2019_post_poll_table_128.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.7,,2019_post_poll_table_129.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,5.3,,2019_post_poll_table_130.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.6,,2019_post_poll_table_132.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.7,,2019_post_poll_table_133.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,5.1,,2019_post_poll_table_134.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.8,,2019_post_poll_table_135.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,5.3,,2019_post_poll_table_137.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,5.4,,2019_post_poll_table_138.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.8,,2019_post_poll_table_139.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.8,,2019_post_poll_table_140.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,7.1,,2019_post_poll_table_141.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.2,,2019_post_poll_table_143.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,2.0,,2019_post_poll_table_144.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,Valid,INC,7.9,,2019_post_poll_table_145.csv,,medium,auto-cleaned long table,Valid | 1: Increased
2019,post_poll,national,,caste,nan,Regional,2.1,,2019_post_poll_table_145.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,11.4,,2019_post_poll_table_148.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.4,,2019_post_poll_table_149.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,1.6,,2019_post_poll_table_152.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,2.7,,2019_post_poll_table_153.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,70.0,,2019_post_poll_table_154.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,Valid,INC,17.8,,2019_post_poll_table_156.csv,,medium,auto-cleaned long table,"Valid | 1: Yes, prefer basic income"
2019,post_poll,national,,caste,nan,Regional,5.6,,2019_post_poll_table_157.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.9,,2019_post_poll_table_158.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,age,nan,UPA,27.0,,2019_post_poll_table_160.csv,,medium,auto-cleaned long table,nan | 11: Deen Dayal Upadhyaya Antyodaya Yojana
2019,post_poll,national,,age,nan,NDA,5.0,,2019_post_poll_table_160.csv,,medium,auto-cleaned long table,nan | 14: Deendayal Disabled Rehabilitation Scheme
