year,poll_type,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,sample_size,source_table,source_page,confidence,notes,original_label,dedupe_status,duplicate_count,conflict_flag,dedupe_notes
2019,post_poll,national,,age,,INC,5.2,,2019_post_poll_table_174.csv,,medium,auto-cleaned long table,nan | 2: Being Inclusive & Secular,unique,1,False,
2019,post_poll,national,,age,,NDA,5.0,,2019_post_poll_table_160.csv,,medium,auto-cleaned long table,nan | 14: Deendayal Disabled Rehabilitation Scheme,unique,1,False,
2019,post_poll,national,,age,,Regional,6.9,,2019_post_poll_table_174.csv,,medium,auto-cleaned long table,nan | 9: Can't say/No response,unique,1,False,
2019,post_poll,national,,age,,UPA,27.0,,2019_post_poll_table_160.csv,,medium,auto-cleaned long table,nan | 11: Deen Dayal Upadhyaya Antyodaya Yojana,unique,1,False,
2019,post_poll,national,,caste,,BJP,17.0,,2019_post_poll_table_047.csv,,medium,auto-cleaned long table,nan | 24: Any other BJP leader,duplicate_conflict,4,True,conflicting vote_shares with tied confidence; values=2.0;5.0;8.0;17.0
2019,post_poll,national,,caste,,INC,74.0,,2019_post_poll_table_047.csv,,medium,auto-cleaned long table,nan | 08: P Chidambaram (INC),duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=63.0;74.0
2019,post_poll,national,,caste,,INDIA,56.0,,2019_post_poll_table_047.csv,,medium,auto-cleaned long table,nan | 14: Jyotiraditya Scindia,duplicate_conflict,3,True,conflicting vote_shares with tied confidence; values=12.0;41.5;56.0
2019,post_poll,national,,caste,,NDA,100.0,,2019_post_poll_table_047.csv,,medium,auto-cleaned long table,nan | 42: Sarabananda Sonowal (Assam),duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=7.0;100.0
2019,post_poll,national,,caste,,Others,80.0,,2019_post_poll_table_005.csv,,medium,auto-cleaned long table,nan | 96: Others,duplicate_conflict,9,True,conflicting vote_shares with tied confidence; values=5.0;8.0;14.0;18.0;35.0;43.6;57.0;80.0;87.0
2019,post_poll,national,,caste,,Regional,9.8,,2019_post_poll_table_005.csv,,medium,auto-cleaned long table,nan | 02: Newspapers,duplicate_conflict,62,True,conflicting vote_shares with tied confidence; values=1.4;1.5;1.6;1.7;1.8;1.9;2.0;2.1;2.4;2.7;2.9;3.3;3.5;3.6;3.7;4.0;4.1;4.2;4.3;4.4;4.5;4.6;4.7;4.8;4.9;5.0;5.1;5.3;5.4;5.6;5.8;7.1;9.8;11.4;15.5;19.1;48.0;70.0;84.0;96.0;97.0;99.0;100.0
